Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
savanahhernandez,0,0,0,Unavailable,2020-06-27,03:55:44,Unavailable,,Unavailable,Unavailable,savanahhernandez,savanahhernandez,savanahhernandez,meta-GQWasmrqoksZ.json,GQ,RREEPPLLAACCEE/GQ/Wa/GQWasmrqoksZ.mp4,RREEPPLLAACCEE/GQ/Wa/GQWasmrqoksZ_small.mp4
fcnik,0,0,0,Unavailable,2020-07-31,08:06:25,Unavailable,Unavailable,Unavailable,Unavailable,fcnik,fcnik,fcnik,meta-GQarcB35uRCo.json,GQ,RREEPPLLAACCEE/GQ/ar/GQarcB35uRCo.mp4,RREEPPLLAACCEE/GQ/ar/GQarcB35uRCo_small.mp4
ilmar,0,0,0,Unavailable,2020-11-25,21:36:36,Unavailable,Unavailable,Unavailable,Unavailable,ilmar,ilmar,ilmar,meta-GQdzED4RXBnT.json,GQ,RREEPPLLAACCEE/GQ/dz/GQdzED4RXBnT.mp4,RREEPPLLAACCEE/GQ/dz/GQdzED4RXBnT_small.mp4
samira,0,0,0,Unavailable,2020-09-18,15:15:35,Unavailable,Unavailable,Unavailable,Unavailable,samira,samira,samira,meta-Gq9b67bhxW9s.json,Gq,RREEPPLLAACCEE/Gq/9b/Gq9b67bhxW9s.mp4,RREEPPLLAACCEE/Gq/9b/Gq9b67bhxW9s_small.mp4
P_238389,0,0,0,Unavailable,2020-07-16,14:40:01,Unavailable,Unavailable,Unavailable,Unavailable,P_238389,P_238389,P_238389,meta-gQyevNWJK68G.json,gQ,RREEPPLLAACCEE/gQ/ye/gQyevNWJK68G.mp4,RREEPPLLAACCEE/gQ/ye/gQyevNWJK68G_small.mp4
vince,0,0,0,Unavailable,2020-08-05,21:44:14,Unavailable,Unavailable,Unavailable,Unavailable,vince,vince,vince,meta-gqdaRVDqV1fe.json,gq,RREEPPLLAACCEE/gq/da/gqdaRVDqV1fe.mp4,RREEPPLLAACCEE/gq/da/gqdaRVDqV1fe_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-22,15:33:07,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-gqpNHD0Nu6Lg.json,gq,RREEPPLLAACCEE/gq/pN/gqpNHD0Nu6Lg.mp4,RREEPPLLAACCEE/gq/pN/gqpNHD0Nu6Lg_small.mp4
Unavailable,29.5392,98.3238,238.911,Above Sea Level,2020-12-27,19:05:51,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ4FxYgO6Ytq.json,GQ,RREEPPLLAACCEE/GQ/4F/GQ4FxYgO6Ytq.mp4,RREEPPLLAACCEE/GQ/4F/GQ4FxYgO6Ytq_small.mp4
Unavailable,36.7071,76.2334,5.875,Above Sea Level,2020-12-14,05:43:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ5Yq4e0B3Cx.json,GQ,RREEPPLLAACCEE/GQ/5Y/GQ5Yq4e0B3Cx.mp4,RREEPPLLAACCEE/GQ/5Y/GQ5Yq4e0B3Cx_small.mp4
Unavailable,33.7712,117.9394,26.125,Above Sea Level,2020-08-15,22:31:50,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ7G5FlsKsR4.json,GQ,RREEPPLLAACCEE/GQ/7G/GQ7G5FlsKsR4.mp4,RREEPPLLAACCEE/GQ/7G/GQ7G5FlsKsR4_small.mp4
Unavailable,28.1002,82.3134,9.795,Above Sea Level,2020-10-24,20:59:20,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ7sGmk1KTXj.json,GQ,RREEPPLLAACCEE/GQ/7s/GQ7sGmk1KTXj.mp4,RREEPPLLAACCEE/GQ/7s/GQ7sGmk1KTXj_small.mp4
Unavailable,25.9881,80.1187,1.258,Below Sea Level,2020-09-25,02:53:32,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ96vA5DeXrY.json,GQ,RREEPPLLAACCEE/GQ/96/GQ96vA5DeXrY.mp4,RREEPPLLAACCEE/GQ/96/GQ96vA5DeXrY_small.mp4
Unavailable,40.3198,79.9067,285.092,Above Sea Level,2020-10-07,01:21:55,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQ9n4av99SZY.json,GQ,RREEPPLLAACCEE/GQ/9n/GQ9n4av99SZY.mp4,RREEPPLLAACCEE/GQ/9n/GQ9n4av99SZY_small.mp4
Unavailable,34.2766,118.7738,252.696,Above Sea Level,2020-11-16,20:59:50,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQBYSpt22PeY.json,GQ,RREEPPLLAACCEE/GQ/BY/GQBYSpt22PeY.mp4,RREEPPLLAACCEE/GQ/BY/GQBYSpt22PeY_small.mp4
Unavailable,41.9127,88.1905,231.543,Above Sea Level,2020-07-26,23:55:22,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GQDQoUEDzbEB.json,GQ,RREEPPLLAACCEE/GQ/DQ/GQDQoUEDzbEB.mp4,RREEPPLLAACCEE/GQ/DQ/GQDQoUEDzbEB_small.mp4
