Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
glaub,0,0,0,Unavailable,2020-09-29,20:28:22,Unavailable,Unavailable,Unavailable,Unavailable,glaub,glaub,glaub,meta-Eb9q90tBLDCP.json,Eb,RREEPPLLAACCEE/Eb/9q/Eb9q90tBLDCP.mp4,RREEPPLLAACCEE/Eb/9q/Eb9q90tBLDCP_small.mp4
ryanclo,0,0,0,Unavailable,2020-07-29,20:49:07,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-EbIaaheaXT8m.json,Eb,RREEPPLLAACCEE/Eb/Ia/EbIaaheaXT8m.mp4,RREEPPLLAACCEE/Eb/Ia/EbIaaheaXT8m_small.mp4
peterturner,0,0,0,Unavailable,2020-10-29,19:41:55,Unavailable,Unavailable,Unavailable,Unavailable,peterturner,peterturner,peterturner,meta-EbN6n9w8M1KC.json,Eb,RREEPPLLAACCEE/Eb/N6/EbN6n9w8M1KC.mp4,RREEPPLLAACCEE/Eb/N6/EbN6n9w8M1KC_small.mp4
samue,0,0,0,Unavailable,2020-12-15,19:16:49,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-eB7TlsZqqPaO.json,eB,RREEPPLLAACCEE/eB/7T/eB7TlsZqqPaO.mp4,RREEPPLLAACCEE/eB/7T/eB7TlsZqqPaO_small.mp4
45,0,0,0,Unavailable,2020-11-28,10:07:39,Unavailable,Unavailable,Unavailable,Unavailable,45,45,45,meta-eBYNRT3f34HQ.json,eB,RREEPPLLAACCEE/eB/YN/eBYNRT3f34HQ.mp4,RREEPPLLAACCEE/eB/YN/eBYNRT3f34HQ_small.mp4
Deco,0,0,0,Unavailable,2020-10-24,17:10:05,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-ebbDoYXcUET2.json,eb,RREEPPLLAACCEE/eb/bD/ebbDoYXcUET2.mp4,RREEPPLLAACCEE/eb/bD/ebbDoYXcUET2_small.mp4
Unavailable,45.8271,122.8790,60.724,Above Sea Level,2020-08-04,17:09:42,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EB2fk6s1Cz6r.json,EB,RREEPPLLAACCEE/EB/2f/EB2fk6s1Cz6r.mp4,RREEPPLLAACCEE/EB/2f/EB2fk6s1Cz6r_small.mp4
Unavailable,44.0148,88.5301,225.203,Above Sea Level,2021-01-02,00:08:52,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EB9JE5pTdTw7.json,EB,RREEPPLLAACCEE/EB/9J/EB9JE5pTdTw7.mp4,RREEPPLLAACCEE/EB/9J/EB9JE5pTdTw7_small.mp4
Unavailable,30.1987,95.7546,72.928,Above Sea Level,2020-11-14,15:20:58,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EB9iF62mVSRU.json,EB,RREEPPLLAACCEE/EB/9i/EB9iF62mVSRU.mp4,RREEPPLLAACCEE/EB/9i/EB9iF62mVSRU_small.mp4
Unavailable,36.0616,94.1732,399.385,Above Sea Level,2020-10-23,23:59:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EBKrkd72pAWt.json,EB,RREEPPLLAACCEE/EB/Kr/EBKrkd72pAWt.mp4,RREEPPLLAACCEE/EB/Kr/EBKrkd72pAWt_small.mp4
