Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
anthony072420,0,0,0,Unavailable,2020-12-08,19:12:26,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-h2gzaUuf4Qbs.json,h2,RREEPPLLAACCEE/h2/gz/h2gzaUuf4Qbs.mp4,RREEPPLLAACCEE/h2/gz/h2gzaUuf4Qbs_small.mp4
retina,0,0,0,Unavailable,2020-12-09,20:20:26,Unavailable,Unavailable,Unavailable,Unavailable,retina,retina,retina,meta-h2uaDfJvO0fr.json,h2,RREEPPLLAACCEE/h2/ua/h2uaDfJvO0fr.mp4,RREEPPLLAACCEE/h2/ua/h2uaDfJvO0fr_small.mp4
Unavailable,40.6028,74.3149,28.127,Above Sea Level,2020-09-03,09:56:37,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H233YfZ27Jyo.json,H2,RREEPPLLAACCEE/H2/33/H233YfZ27Jyo.mp4,RREEPPLLAACCEE/H2/33/H233YfZ27Jyo_small.mp4
Unavailable,27.7654,82.4242,3.148,Above Sea Level,2020-11-22,19:30:17,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H294ddoWoSAi.json,H2,RREEPPLLAACCEE/H2/94/H294ddoWoSAi.mp4,RREEPPLLAACCEE/H2/94/H294ddoWoSAi_small.mp4
Unavailable,38.9469,119.7479,1447.786,Above Sea Level,2020-11-13,03:09:28,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2D6IOBan2td.json,H2,RREEPPLLAACCEE/H2/D6/H2D6IOBan2td.mp4,RREEPPLLAACCEE/H2/D6/H2D6IOBan2td_small.mp4
Unavailable,40.8578,74.2333,76.264,Above Sea Level,2020-10-07,17:28:10,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2FLoINaNazP.json,H2,RREEPPLLAACCEE/H2/FL/H2FLoINaNazP.mp4,RREEPPLLAACCEE/H2/FL/H2FLoINaNazP_small.mp4
Unavailable,38.8920,77.0121,6.14,Above Sea Level,2020-12-15,01:28:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2Fj5dHQO1hU.json,H2,RREEPPLLAACCEE/H2/Fj/H2Fj5dHQO1hU.mp4,RREEPPLLAACCEE/H2/Fj/H2Fj5dHQO1hU_small.mp4
Unavailable,33.3062,112.0556,0,Unavailable,2020-11-01,17:43:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2JI6k1yM1KU.json,H2,RREEPPLLAACCEE/H2/JI/H2JI6k1yM1KU.mp4,RREEPPLLAACCEE/H2/JI/H2JI6k1yM1KU_small.mp4
Unavailable,33.8138,117.5451,390.99,Above Sea Level,2020-08-22,11:39:49,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2Lc3sAgJt12.json,H2,RREEPPLLAACCEE/H2/Lc/H2Lc3sAgJt12.mp4,RREEPPLLAACCEE/H2/Lc/H2Lc3sAgJt12_small.mp4
Unavailable,32.7324,96.5402,130.99,Above Sea Level,2020-11-15,03:21:11,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-H2O05TPPmVIx.json,H2,RREEPPLLAACCEE/H2/O0/H2O05TPPmVIx.mp4,RREEPPLLAACCEE/H2/O0/H2O05TPPmVIx_small.mp4
