Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
leona,0,0,0,Unavailable,2020-09-25,01:31:40,Unavailable,Unavailable,Unavailable,Unavailable,leona,leona,leona,meta-2VVjRiwzNnX1.json,2V,RREEPPLLAACCEE/2V/Vj/2VVjRiwzNnX1.mp4,RREEPPLLAACCEE/2V/Vj/2VVjRiwzNnX1_small.mp4
Unavailable,38.8914,77.0045,25.376,Above Sea Level,2021-01-07,16:19:26,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2V11d7jLpi33.json,2V,RREEPPLLAACCEE/2V/11/2V11d7jLpi33.mp4,RREEPPLLAACCEE/2V/11/2V11d7jLpi33_small.mp4
Unavailable,29.8030,94.9843,0,Unavailable,2020-10-24,16:30:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2V325OisreOo.json,2V,RREEPPLLAACCEE/2V/32/2V325OisreOo.mp4,RREEPPLLAACCEE/2V/32/2V325OisreOo_small.mp4
Unavailable,44.9666,69.0633,118.927,Above Sea Level,2020-07-25,23:32:10,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2V58A0r7gwZF.json,2V,RREEPPLLAACCEE/2V/58/2V58A0r7gwZF.mp4,RREEPPLLAACCEE/2V/58/2V58A0r7gwZF_small.mp4
Unavailable,39.7544,75.5690,0,Unavailable,2020-08-28,03:39:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2V7VEVDcWADv.json,2V,RREEPPLLAACCEE/2V/7V/2V7VEVDcWADv.mp4,RREEPPLLAACCEE/2V/7V/2V7VEVDcWADv_small.mp4
Unavailable,40.6940,73.4632,13.3,Above Sea Level,2020-12-31,00:48:38,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VBiiaemKg8a.json,2V,RREEPPLLAACCEE/2V/Bi/2VBiiaemKg8a.mp4,RREEPPLLAACCEE/2V/Bi/2VBiiaemKg8a_small.mp4
Unavailable,42.4930,74.1099,448.829,Above Sea Level,2020-11-22,16:54:58,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VDjwNnSYEcY.json,2V,RREEPPLLAACCEE/2V/Dj/2VDjwNnSYEcY.mp4,RREEPPLLAACCEE/2V/Dj/2VDjwNnSYEcY_small.mp4
Unavailable,35.9726,85.8904,214.842,Above Sea Level,2020-11-23,01:17:45,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VMnEr8Px0J2.json,2V,RREEPPLLAACCEE/2V/Mn/2VMnEr8Px0J2.mp4,RREEPPLLAACCEE/2V/Mn/2VMnEr8Px0J2_small.mp4
Unavailable,40.3922,80.0056,337.138,Above Sea Level,2020-12-08,13:20:35,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VUNqhT8TGzY.json,2V,RREEPPLLAACCEE/2V/UN/2VUNqhT8TGzY.mp4,RREEPPLLAACCEE/2V/UN/2VUNqhT8TGzY_small.mp4
Unavailable,8.6787,115.1762,0,Unavailable,2020-11-20,14:44:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VXmJZ5YG5zI.json,2V,RREEPPLLAACCEE/2V/Xm/2VXmJZ5YG5zI.mp4,RREEPPLLAACCEE/2V/Xm/2VXmJZ5YG5zI_small.mp4
Unavailable,51.5062,.1469,15.962,Above Sea Level,2020-11-15,21:56:34,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VddTDYhsdlM.json,2V,RREEPPLLAACCEE/2V/dd/2VddTDYhsdlM.mp4,RREEPPLLAACCEE/2V/dd/2VddTDYhsdlM_small.mp4
Unavailable,35.0375,81.0291,186.174,Above Sea Level,2020-09-09,18:59:45,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2VpKabKudNSo.json,2V,RREEPPLLAACCEE/2V/pK/2VpKabKudNSo.mp4,RREEPPLLAACCEE/2V/pK/2VpKabKudNSo_small.mp4
Unavailable,48.5148,122.2461,19.397,Above Sea Level,2020-11-08,08:30:00,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2Vtl1HAP00wk.json,2V,RREEPPLLAACCEE/2V/tl/2Vtl1HAP00wk.mp4,RREEPPLLAACCEE/2V/tl/2Vtl1HAP00wk_small.mp4
Unavailable,32.5334,92.6639,0,Unavailable,2020-11-09,18:11:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2Vv4CiHCeS1n.json,2V,RREEPPLLAACCEE/2V/v4/2Vv4CiHCeS1n.mp4,RREEPPLLAACCEE/2V/v4/2Vv4CiHCeS1n_small.mp4
Unavailable,26.1025,80.1299,0,Unavailable,2020-09-29,18:34:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2v91juarfntL.json,2v,RREEPPLLAACCEE/2v/91/2v91juarfntL.mp4,RREEPPLLAACCEE/2v/91/2v91juarfntL_small.mp4
Unavailable,45.3685,122.6006,10.719,Above Sea Level,2020-12-19,22:00:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vDNTfIWkimk.json,2v,RREEPPLLAACCEE/2v/DN/2vDNTfIWkimk.mp4,RREEPPLLAACCEE/2v/DN/2vDNTfIWkimk_small.mp4
Unavailable,37.6817,122.1028,19.185,Above Sea Level,2020-12-09,22:39:53,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vEbbw9c5Dlt.json,2v,RREEPPLLAACCEE/2v/Eb/2vEbbw9c5Dlt.mp4,RREEPPLLAACCEE/2v/Eb/2vEbbw9c5Dlt_small.mp4
Unavailable,28.6169,81.4490,21.444,Above Sea Level,2020-12-06,09:50:37,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vJsuwTirIn2.json,2v,RREEPPLLAACCEE/2v/Js/2vJsuwTirIn2.mp4,RREEPPLLAACCEE/2v/Js/2vJsuwTirIn2_small.mp4
Unavailable,35.8481,80.8385,256.375,Above Sea Level,2020-08-26,02:44:22,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vP5Fp12rbHb.json,2v,RREEPPLLAACCEE/2v/P5/2vP5Fp12rbHb.mp4,RREEPPLLAACCEE/2v/P5/2vP5Fp12rbHb_small.mp4
Unavailable,32.2093,90.1716,78.975,Above Sea Level,2019-06-02,00:36:13,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vXp2liBEJb8.json,2v,RREEPPLLAACCEE/2v/Xp/2vXp2liBEJb8.mp4,RREEPPLLAACCEE/2v/Xp/2vXp2liBEJb8_small.mp4
Unavailable,43.9593,94.2401,317.723,Above Sea Level,2019-07-24,03:29:55,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vYCHXpz4mvH.json,2v,RREEPPLLAACCEE/2v/YC/2vYCHXpz4mvH.mp4,RREEPPLLAACCEE/2v/YC/2vYCHXpz4mvH_small.mp4
Unavailable,42.3052,85.5053,257.545,Above Sea Level,2020-09-01,12:53:53,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vcCx7OCRSVg.json,2v,RREEPPLLAACCEE/2v/cC/2vcCx7OCRSVg.mp4,RREEPPLLAACCEE/2v/cC/2vcCx7OCRSVg_small.mp4
Unavailable,41.8973,71.3859,18.476,Above Sea Level,2020-11-26,21:10:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2ve4AYvNpPyQ.json,2v,RREEPPLLAACCEE/2v/e4/2ve4AYvNpPyQ.mp4,RREEPPLLAACCEE/2v/e4/2ve4AYvNpPyQ_small.mp4
Unavailable,40.3708,74.3742,14.853,Above Sea Level,2020-10-22,21:33:33,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vj393Pd3F1F.json,2v,RREEPPLLAACCEE/2v/j3/2vj393Pd3F1F.mp4,RREEPPLLAACCEE/2v/j3/2vj393Pd3F1F_small.mp4
Unavailable,41.6914,91.8002,246.221,Above Sea Level,2020-12-12,12:41:36,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-2vqyK7g2n2MY.json,2v,RREEPPLLAACCEE/2v/qy/2vqyK7g2n2MY.mp4,RREEPPLLAACCEE/2v/qy/2vqyK7g2n2MY_small.mp4
