Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Gamer,0,0,0,Unavailable,2020-07-26,12:57:50,Unavailable,Unavailable,Unavailable,Unavailable,Gamer,Gamer,Gamer,meta-PYajyPDVbS0u.json,PY,RREEPPLLAACCEE/PY/aj/PYajyPDVbS0u.mp4,RREEPPLLAACCEE/PY/aj/PYajyPDVbS0u_small.mp4
User,0,0,0,Unavailable,2020-06-04,18:11:01,Canon,,,,User,User,User,meta-PYkAFMSaH77j.json,PY,RREEPPLLAACCEE/PY/kA/PYkAFMSaH77j.mp4,RREEPPLLAACCEE/PY/kA/PYkAFMSaH77j_small.mp4
NEW,0,0,0,Unavailable,2020-12-09,22:30:59,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-PyOctyOCOOAi.json,Py,RREEPPLLAACCEE/Py/Oc/PyOctyOCOOAi.mp4,RREEPPLLAACCEE/Py/Oc/PyOctyOCOOAi_small.mp4
benja,0,0,0,Unavailable,2020-12-31,05:15:19,Unavailable,Unavailable,Unavailable,Unavailable,benja,benja,benja,meta-PydhO8VF3otF.json,Py,RREEPPLLAACCEE/Py/dh/PydhO8VF3otF.mp4,RREEPPLLAACCEE/Py/dh/PydhO8VF3otF_small.mp4
Unavailable,40.4483,109.5397,0,Unavailable,2020-11-16,02:38:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PY3VW7F6sSJo.json,PY,RREEPPLLAACCEE/PY/3V/PY3VW7F6sSJo.mp4,RREEPPLLAACCEE/PY/3V/PY3VW7F6sSJo_small.mp4
Unavailable,26.4618,80.0605,2.399,Above Sea Level,2020-11-14,18:13:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PY4B0CHlkdVE.json,PY,RREEPPLLAACCEE/PY/4B/PY4B0CHlkdVE.mp4,RREEPPLLAACCEE/PY/4B/PY4B0CHlkdVE_small.mp4
Unavailable,27.6802,97.3518,5.685,Above Sea Level,2020-12-30,09:53:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PYB5HkLUgi0V.json,PY,RREEPPLLAACCEE/PY/B5/PYB5HkLUgi0V.mp4,RREEPPLLAACCEE/PY/B5/PYB5HkLUgi0V_small.mp4
Unavailable,43.0616,71.5829,167.089,Above Sea Level,2020-10-21,01:35:24,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PYBnihM13zVA.json,PY,RREEPPLLAACCEE/PY/Bn/PYBnihM13zVA.mp4,RREEPPLLAACCEE/PY/Bn/PYBnihM13zVA_small.mp4
Unavailable,39.3432,104.8353,1965.546,Above Sea Level,2020-11-09,03:15:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PYD7cgyGp1QH.json,PY,RREEPPLLAACCEE/PY/D7/PYD7cgyGp1QH.mp4,RREEPPLLAACCEE/PY/D7/PYD7cgyGp1QH_small.mp4
Unavailable,30.4302,89.0034,2.53,Above Sea Level,2020-06-23,23:58:24,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PYEOVfuaWrRW.json,PY,RREEPPLLAACCEE/PY/EO/PYEOVfuaWrRW.mp4,RREEPPLLAACCEE/PY/EO/PYEOVfuaWrRW_small.mp4
Unavailable,42.4746,87.8320,198.733,Above Sea Level,2020-11-10,23:19:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PYKCfOVcd2h7.json,PY,RREEPPLLAACCEE/PY/KC/PYKCfOVcd2h7.mp4,RREEPPLLAACCEE/PY/KC/PYKCfOVcd2h7_small.mp4
