Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
josephdavidsantos,0,0,0,Unavailable,2020-08-12,21:07:51,Unavailable,Unavailable,Unavailable,Unavailable,josephdavidsantos,josephdavidsantos,josephdavidsantos,meta-JKAVVbYAIcCM.json,JK,RREEPPLLAACCEE/JK/AV/JKAVVbYAIcCM.mp4,RREEPPLLAACCEE/JK/AV/JKAVVbYAIcCM_small.mp4
kanz,0,0,0,Unavailable,2020-07-26,11:56:22,Unavailable,Unavailable,Unavailable,Unavailable,عمر,عمر,عمر,meta-Jk9oSlm67wt2.json,Jk,RREEPPLLAACCEE/Jk/9o/Jk9oSlm67wt2.mp4,RREEPPLLAACCEE/Jk/9o/Jk9oSlm67wt2_small.mp4
csms,0,0,0,Unavailable,2019-07-12,14:05:42,Unavailable,Unavailable,Unavailable,Unavailable,csms,csms,csms,meta-JkNRDlhOcHRn.json,Jk,RREEPPLLAACCEE/Jk/NR/JkNRDlhOcHRn.mp4,RREEPPLLAACCEE/Jk/NR/JkNRDlhOcHRn_small.mp4
justi,0,0,0,Unavailable,2020-09-18,18:50:58,Unavailable,Unavailable,Unavailable,Unavailable,justi,justi,justi,meta-Jkz71RtIvj32.json,Jk,RREEPPLLAACCEE/Jk/z7/Jkz71RtIvj32.mp4,RREEPPLLAACCEE/Jk/z7/Jkz71RtIvj32_small.mp4
Sophie,0,0,0,Unavailable,2020-10-23,14:16:24,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-jKETGJ6WkcHQ.json,jK,RREEPPLLAACCEE/jK/ET/jKETGJ6WkcHQ.mp4,RREEPPLLAACCEE/jK/ET/jKETGJ6WkcHQ_small.mp4
C3,0,0,0,Unavailable,2020-09-07,15:57:32,Unavailable,Unavailable,Unavailable,Unavailable,Dustin,Dustin,Dustin,meta-jKaeB22dW1Rs.json,jK,RREEPPLLAACCEE/jK/ae/jKaeB22dW1Rs.mp4,RREEPPLLAACCEE/jK/ae/jKaeB22dW1Rs_small.mp4
natalia.carreno,0,0,0,Unavailable,2020-09-29,15:44:06,Unavailable,Unavailable,Unavailable,Unavailable,natalia.carreno,natalia.carreno,natalia.carreno,meta-jk5T3Je2uXlx.json,jk,RREEPPLLAACCEE/jk/5T/jk5T3Je2uXlx.mp4,RREEPPLLAACCEE/jk/5T/jk5T3Je2uXlx_small.mp4
Vitor,0,0,0,Unavailable,2020-10-02,14:39:04,Unavailable,Unavailable,Unavailable,Unavailable,Vitor,Vitor,Vitor,meta-jk9277Rcno6G.json,jk,RREEPPLLAACCEE/jk/92/jk9277Rcno6G.mp4,RREEPPLLAACCEE/jk/92/jk9277Rcno6G_small.mp4
Marcone Silva,0,0,0,Unavailable,2020-10-30,20:45:27,Unavailable,Unavailable,Unavailable,Unavailable,Marcone Silva,Marcone Silva,Marcone Silva,meta-jkJt5ggVRBJs.json,jk,RREEPPLLAACCEE/jk/Jt/jkJt5ggVRBJs.mp4,RREEPPLLAACCEE/jk/Jt/jkJt5ggVRBJs_small.mp4
Kristof,0,0,0,Unavailable,2020-06-14,12:26:16,Unavailable,Unavailable,Unavailable,Unavailable,Kristof,Kristof,Kristof,meta-jkOTdaqISGeH.json,jk,RREEPPLLAACCEE/jk/OT/jkOTdaqISGeH.mp4,RREEPPLLAACCEE/jk/OT/jkOTdaqISGeH_small.mp4
editor01,0,0,0,Unavailable,2020-10-14,19:07:04,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-jkc67e9AYOAy.json,jk,RREEPPLLAACCEE/jk/c6/jkc67e9AYOAy.mp4,RREEPPLLAACCEE/jk/c6/jkc67e9AYOAy_small.mp4
Johnson,0,0,0,Unavailable,2020-12-17,11:43:51,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-jkxTZdKrV0Il.json,jk,RREEPPLLAACCEE/jk/xT/jkxTZdKrV0Il.mp4,RREEPPLLAACCEE/jk/xT/jkxTZdKrV0Il_small.mp4
Unavailable,32.7395,117.0970,0,Unavailable,2020-12-04,17:17:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK0eK9pUlN5S.json,JK,RREEPPLLAACCEE/JK/0e/JK0eK9pUlN5S.mp4,RREEPPLLAACCEE/JK/0e/JK0eK9pUlN5S_small.mp4
Unavailable,34.3966,119.5160,15.654,Above Sea Level,2020-11-01,01:37:33,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK27dfAjyDAk.json,JK,RREEPPLLAACCEE/JK/27/JK27dfAjyDAk.mp4,RREEPPLLAACCEE/JK/27/JK27dfAjyDAk_small.mp4
Unavailable,38.4210,84.5151,0,Unavailable,2020-11-17,00:08:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK3QJBzJUXW4.json,JK,RREEPPLLAACCEE/JK/3Q/JK3QJBzJUXW4.mp4,RREEPPLLAACCEE/JK/3Q/JK3QJBzJUXW4_small.mp4
Unavailable,42.2069,121.7296,0,Unavailable,2019-12-29,21:06:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK3ze5SHNI6K.json,JK,RREEPPLLAACCEE/JK/3z/JK3ze5SHNI6K.mp4,RREEPPLLAACCEE/JK/3z/JK3ze5SHNI6K_small.mp4
Unavailable,42.5416,83.2152,234.848,Above Sea Level,2020-02-22,15:41:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK6Ay3zjk3YY.json,JK,RREEPPLLAACCEE/JK/6A/JK6Ay3zjk3YY.mp4,RREEPPLLAACCEE/JK/6A/JK6Ay3zjk3YY_small.mp4
Unavailable,28.1689,82.5820,16.343,Above Sea Level,2020-07-30,22:11:24,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK6yh5lVHekI.json,JK,RREEPPLLAACCEE/JK/6y/JK6yh5lVHekI.mp4,RREEPPLLAACCEE/JK/6y/JK6yh5lVHekI_small.mp4
Unavailable,34.5129,87.7520,273.741,Above Sea Level,2020-11-30,13:18:19,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JK96RYC7uRo0.json,JK,RREEPPLLAACCEE/JK/96/JK96RYC7uRo0.mp4,RREEPPLLAACCEE/JK/96/JK96RYC7uRo0_small.mp4
Unavailable,15.7963,47.8780,0,Unavailable,2020-06-21,13:22:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JKOvRsBUNSLN.json,JK,RREEPPLLAACCEE/JK/Ov/JKOvRsBUNSLN.mp4,RREEPPLLAACCEE/JK/Ov/JKOvRsBUNSLN_small.mp4
Unavailable,31.5493,82.8699,74.806,Above Sea Level,2020-12-24,18:29:49,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JKSyw0PFQaEu.json,JK,RREEPPLLAACCEE/JK/Sy/JKSyw0PFQaEu.mp4,RREEPPLLAACCEE/JK/Sy/JKSyw0PFQaEu_small.mp4
Unavailable,38.8905,77.0082,0,Unavailable,2021-01-06,20:18:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JKrCxU305gfZ.json,JK,RREEPPLLAACCEE/JK/rC/JKrCxU305gfZ.mp4,RREEPPLLAACCEE/JK/rC/JKrCxU305gfZ_small.mp4
Unavailable,30.3099,89.3253,0,Unavailable,2020-12-13,03:48:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JKs21kiQLj2v.json,JK,RREEPPLLAACCEE/JK/s2/JKs21kiQLj2v.mp4,RREEPPLLAACCEE/JK/s2/JKs21kiQLj2v_small.mp4
Unavailable,39.7880,74.2262,20.792,Above Sea Level,2020-07-20,23:07:00,Apple,iPad Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JKyKYo0vIlik.json,JK,RREEPPLLAACCEE/JK/yK/JKyKYo0vIlik.mp4,RREEPPLLAACCEE/JK/yK/JKyKYo0vIlik_small.mp4
Unavailable,37.3336,77.6663,94.072,Above Sea Level,2021-01-01,21:43:25,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Jk0vCp1STxlc.json,Jk,RREEPPLLAACCEE/Jk/0v/Jk0vCp1STxlc.mp4,RREEPPLLAACCEE/Jk/0v/Jk0vCp1STxlc_small.mp4
Unavailable,27.9792,82.5025,11.302,Above Sea Level,2020-10-29,17:55:56,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Jk2WYw37wSF7.json,Jk,RREEPPLLAACCEE/Jk/2W/Jk2WYw37wSF7.mp4,RREEPPLLAACCEE/Jk/2W/Jk2WYw37wSF7_small.mp4
Unavailable,40.6816,73.4857,10.269,Above Sea Level,2020-11-03,18:01:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Jk2wO44KJDdx.json,Jk,RREEPPLLAACCEE/Jk/2w/Jk2wO44KJDdx.mp4,RREEPPLLAACCEE/Jk/2w/Jk2wO44KJDdx_small.mp4
Unavailable,27.3639,82.4018,13.597,Above Sea Level,2020-11-10,17:09:02,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Jk9gWVcmxT3q.json,Jk,RREEPPLLAACCEE/Jk/9g/Jk9gWVcmxT3q.mp4,RREEPPLLAACCEE/Jk/9g/Jk9gWVcmxT3q_small.mp4
Unavailable,33.2029,117.2406,102.953,Above Sea Level,2020-06-26,05:59:59,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JkAsvqWfYicp.json,Jk,RREEPPLLAACCEE/Jk/As/JkAsvqWfYicp.mp4,RREEPPLLAACCEE/Jk/As/JkAsvqWfYicp_small.mp4
