Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
joset,0,0,0,Unavailable,2020-11-26,07:25:34,Unavailable,Unavailable,Unavailable,Unavailable,joset,joset,joset,meta-EQmvbB1gkhRy.json,EQ,RREEPPLLAACCEE/EQ/mv/EQmvbB1gkhRy.mp4,RREEPPLLAACCEE/EQ/mv/EQmvbB1gkhRy_small.mp4
Arif Reza,0,0,0,Unavailable,2018-07-02,12:46:43,Unavailable,Unavailable,Unavailable,Unavailable,marcelo,marcelo,marcelo,meta-eQP4lxS3usBd.json,eQ,RREEPPLLAACCEE/eQ/P4/eQP4lxS3usBd.mp4,RREEPPLLAACCEE/eQ/P4/eQP4lxS3usBd_small.mp4
MacBook,0,0,0,Unavailable,2020-10-27,19:16:37,Unavailable,Unavailable,Unavailable,Unavailable,brandonmccurdy,brandonmccurdy,brandonmccurdy,meta-eQl2hZX1xnV7.json,eQ,RREEPPLLAACCEE/eQ/l2/eQl2hZX1xnV7.mp4,RREEPPLLAACCEE/eQ/l2/eQl2hZX1xnV7_small.mp4
F8005,0,0,0,Unavailable,2020-11-29,18:30:38,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-eq8oTLj5sP77.json,eq,RREEPPLLAACCEE/eq/8o/eq8oTLj5sP77.mp4,RREEPPLLAACCEE/eq/8o/eq8oTLj5sP77_small.mp4
davidfillingim,0,0,0,Unavailable,2020-12-11,16:41:12,Unavailable,Unavailable,Unavailable,Unavailable,davidfillingim,davidfillingim,davidfillingim,meta-eq8wLGzut4pV.json,eq,RREEPPLLAACCEE/eq/8w/eq8wLGzut4pV.mp4,RREEPPLLAACCEE/eq/8w/eq8wLGzut4pV_small.mp4
Tee,0,0,0,Unavailable,2020-08-03,03:30:16,Unavailable,Unavailable,Unavailable,Unavailable,Tee,Tee,Tee,meta-eq9jGDAtBYOZ.json,eq,RREEPPLLAACCEE/eq/9j/eq9jGDAtBYOZ.mp4,RREEPPLLAACCEE/eq/9j/eq9jGDAtBYOZ_small.mp4
Unavailable,38.9750,90.7410,133.943,Above Sea Level,2020-11-10,20:50:27,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQ0TVkBTlU3W.json,EQ,RREEPPLLAACCEE/EQ/0T/EQ0TVkBTlU3W.mp4,RREEPPLLAACCEE/EQ/0T/EQ0TVkBTlU3W_small.mp4
Unavailable,30.4164,86.8711,4.864,Above Sea Level,2020-11-11,01:12:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQ0ycqrJ3R3V.json,EQ,RREEPPLLAACCEE/EQ/0y/EQ0ycqrJ3R3V.mp4,RREEPPLLAACCEE/EQ/0y/EQ0ycqrJ3R3V_small.mp4
Unavailable,30.1910,95.6841,54.669,Above Sea Level,2020-11-10,22:54:59,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQ2IN2vxuY4X.json,EQ,RREEPPLLAACCEE/EQ/2I/EQ2IN2vxuY4X.mp4,RREEPPLLAACCEE/EQ/2I/EQ2IN2vxuY4X_small.mp4
Unavailable,33.7871,84.6368,273.315,Above Sea Level,2020-07-22,05:32:25,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQEcr345UMUu.json,EQ,RREEPPLLAACCEE/EQ/Ec/EQEcr345UMUu.mp4,RREEPPLLAACCEE/EQ/Ec/EQEcr345UMUu_small.mp4
Unavailable,44.9378,123.0634,46.386,Above Sea Level,2020-11-13,02:34:16,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQFrbJnQBarb.json,EQ,RREEPPLLAACCEE/EQ/Fr/EQFrbJnQBarb.mp4,RREEPPLLAACCEE/EQ/Fr/EQFrbJnQBarb_small.mp4
Unavailable,40.4609,83.6664,0,Unavailable,2020-06-20,10:20:16,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQMMmhkwYqLb.json,EQ,RREEPPLLAACCEE/EQ/MM/EQMMmhkwYqLb.mp4,RREEPPLLAACCEE/EQ/MM/EQMMmhkwYqLb_small.mp4
Unavailable,40.7921,96.6238,359.052,Above Sea Level,2020-10-02,01:13:30,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQPH6DYk0kzP.json,EQ,RREEPPLLAACCEE/EQ/PH/EQPH6DYk0kzP.mp4,RREEPPLLAACCEE/EQ/PH/EQPH6DYk0kzP_small.mp4
Unavailable,38.8905,77.0055,0,Unavailable,2020-11-14,20:03:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQSgMXRxqqZn.json,EQ,RREEPPLLAACCEE/EQ/Sg/EQSgMXRxqqZn.mp4,RREEPPLLAACCEE/EQ/Sg/EQSgMXRxqqZn_small.mp4
Unavailable,38.1329,76.3804,0,Unavailable,2020-12-12,17:16:25,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-EQw6mAHL621G.json,EQ,RREEPPLLAACCEE/EQ/w6/EQw6mAHL621G.mp4,RREEPPLLAACCEE/EQ/w6/EQw6mAHL621G_small.mp4
