Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Jerry,0,0,0,Unavailable,2020-12-03,04:51:49,Canon,,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-N5D5Vl10q0Lp.json,N5,RREEPPLLAACCEE/N5/D5/N5D5Vl10q0Lp.mp4,RREEPPLLAACCEE/N5/D5/N5D5Vl10q0Lp_small.mp4
jordi,0,0,0,Unavailable,2020-08-06,17:42:15,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-n5xgBwjnMVIb.json,n5,RREEPPLLAACCEE/n5/xg/n5xgBwjnMVIb.mp4,RREEPPLLAACCEE/n5/xg/n5xgBwjnMVIb_small.mp4
Unavailable,35.4906,97.5028,379.801,Above Sea Level,2020-11-07,19:34:53,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N53fbowT8iel.json,N5,RREEPPLLAACCEE/N5/3f/N53fbowT8iel.mp4,RREEPPLLAACCEE/N5/3f/N53fbowT8iel_small.mp4
Unavailable,36.0344,115.0075,571.959,Above Sea Level,2020-09-14,01:05:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N59dHLZSQPGH.json,N5,RREEPPLLAACCEE/N5/9d/N59dHLZSQPGH.mp4,RREEPPLLAACCEE/N5/9d/N59dHLZSQPGH_small.mp4
Unavailable,38.9828,84.0709,271.687,Above Sea Level,2020-11-30,13:35:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5BR446aYObw.json,N5,RREEPPLLAACCEE/N5/BR/N5BR446aYObw.mp4,RREEPPLLAACCEE/N5/BR/N5BR446aYObw_small.mp4
Unavailable,22.5042,114.2414,90.001,Above Sea Level,2020-11-14,05:06:04,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5CUn6tLA0hX.json,N5,RREEPPLLAACCEE/N5/CU/N5CUn6tLA0hX.mp4,RREEPPLLAACCEE/N5/CU/N5CUn6tLA0hX_small.mp4
Unavailable,38.2474,85.5608,211.915,Above Sea Level,2020-12-07,21:06:57,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5Do7STnuPda.json,N5,RREEPPLLAACCEE/N5/Do/N5Do7STnuPda.mp4,RREEPPLLAACCEE/N5/Do/N5Do7STnuPda_small.mp4
Unavailable,34.6515,76.5477,0.719,Above Sea Level,2021-01-09,21:44:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5Fq8N07jwDp.json,N5,RREEPPLLAACCEE/N5/Fq/N5Fq8N07jwDp.mp4,RREEPPLLAACCEE/N5/Fq/N5Fq8N07jwDp_small.mp4
Unavailable,27.8338,97.0433,2.05,Above Sea Level,2020-10-11,00:18:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5GlEhz9hRQ7.json,N5,RREEPPLLAACCEE/N5/Gl/N5GlEhz9hRQ7.mp4,RREEPPLLAACCEE/N5/Gl/N5GlEhz9hRQ7_small.mp4
Unavailable,39.9668,75.1768,26.787,Above Sea Level,2020-11-17,22:10:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-N5JKUI9X5LDi.json,N5,RREEPPLLAACCEE/N5/JK/N5JKUI9X5LDi.mp4,RREEPPLLAACCEE/N5/JK/N5JKUI9X5LDi_small.mp4
