Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
lundo,0,0,0,Unavailable,2020-11-12,08:43:55,NIKON CORPORATION,,,Unavailable,lundo,lundo,lundo,meta-T9LO8vi2T0gE.json,T9,RREEPPLLAACCEE/T9/LO/T9LO8vi2T0gE.mp4,RREEPPLLAACCEE/T9/LO/T9LO8vi2T0gE_small.mp4
VEZZA,0,0,0,Unavailable,2020-08-02,23:04:25,Unavailable,Unavailable,Unavailable,Unavailable,VEZZA,VEZZA,VEZZA,meta-T9RIIX9AiLZ0.json,T9,RREEPPLLAACCEE/T9/RI/T9RIIX9AiLZ0.mp4,RREEPPLLAACCEE/T9/RI/T9RIIX9AiLZ0_small.mp4
admin,0,0,0,Unavailable,2020-11-16,15:21:16,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-T9Z4IdBRHl2X.json,T9,RREEPPLLAACCEE/T9/Z4/T9Z4IdBRHl2X.mp4,RREEPPLLAACCEE/T9/Z4/T9Z4IdBRHl2X_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-07,17:59:49,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-T9ZuHlrnNQ36.json,T9,RREEPPLLAACCEE/T9/Zu/T9ZuHlrnNQ36.mp4,RREEPPLLAACCEE/T9/Zu/T9ZuHlrnNQ36_small.mp4
Johnson,0,0,0,Unavailable,2020-12-06,05:19:20,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-T9vN4ZlOhr4w.json,T9,RREEPPLLAACCEE/T9/vN/T9vN4ZlOhr4w.mp4,RREEPPLLAACCEE/T9/vN/T9vN4ZlOhr4w_small.mp4
paulg,0,0,0,Unavailable,2021-01-06,21:51:12,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-t95eNF0A366Y.json,t9,RREEPPLLAACCEE/t9/5e/t95eNF0A366Y.mp4,RREEPPLLAACCEE/t9/5e/t95eNF0A366Y_small.mp4
usuario,0,0,0,Unavailable,2016-02-17,13:05:04,Unavailable,Unavailable,Unavailable,Unavailable,usuario,usuario,usuario,meta-t9KlEjTY4OrE.json,t9,RREEPPLLAACCEE/t9/Kl/t9KlEjTY4OrE.mp4,RREEPPLLAACCEE/t9/Kl/t9KlEjTY4OrE_small.mp4
Unavailable,28.9338,81.9932,20.411,Above Sea Level,2020-10-23,20:36:43,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T92a2EYDGxhG.json,T9,RREEPPLLAACCEE/T9/2a/T92a2EYDGxhG.mp4,RREEPPLLAACCEE/T9/2a/T92a2EYDGxhG_small.mp4
Unavailable,26.1697,80.1001,3.512,Above Sea Level,2020-10-05,12:51:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T96Gg6jazTr1.json,T9,RREEPPLLAACCEE/T9/6G/T96Gg6jazTr1.mp4,RREEPPLLAACCEE/T9/6G/T96Gg6jazTr1_small.mp4
Unavailable,40.0910,74.1440,12.36,Above Sea Level,2020-12-10,14:01:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-T96IRBMnOmve.json,T9,RREEPPLLAACCEE/T9/6I/T96IRBMnOmve.mp4,RREEPPLLAACCEE/T9/6I/T96IRBMnOmve_small.mp4
