Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
andre,0,0,0,Unavailable,2020-12-19,22:32:49,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-AGlKGJt9ImIH.json,AG,RREEPPLLAACCEE/AG/lK/AGlKGJt9ImIH.mp4,RREEPPLLAACCEE/AG/lK/AGlKGJt9ImIH_small.mp4
Marcus Vieira,0,0,0,Unavailable,2020-07-03,21:26:59,Unavailable,Unavailable,Unavailable,Unavailable,Marcus Vieira,Marcus Vieira,Marcus Vieira,meta-aGJqXJQrsNMn.json,aG,RREEPPLLAACCEE/aG/Jq/aGJqXJQrsNMn.mp4,RREEPPLLAACCEE/aG/Jq/aGJqXJQrsNMn_small.mp4
offli,0,0,0,Unavailable,2020-11-06,23:02:03,Unavailable,Unavailable,Unavailable,Unavailable,offli,offli,offli,meta-aGwrMt5m1APw.json,aG,RREEPPLLAACCEE/aG/wr/aGwrMt5m1APw.mp4,RREEPPLLAACCEE/aG/wr/aGwrMt5m1APw_small.mp4
samiraharger,0,0,0,Unavailable,2020-07-31,17:40:02,Unavailable,Unavailable,Unavailable,Unavailable,samiraharger,samiraharger,samiraharger,meta-ag1LCIKTkCn3.json,ag,RREEPPLLAACCEE/ag/1L/ag1LCIKTkCn3.mp4,RREEPPLLAACCEE/ag/1L/ag1LCIKTkCn3_small.mp4
zhous,0,0,0,Unavailable,2020-10-25,11:55:53,Unavailable,Unavailable,Unavailable,Unavailable,zhous,zhous,zhous,meta-agp8Z869l5nC.json,ag,RREEPPLLAACCEE/ag/p8/agp8Z869l5nC.mp4,RREEPPLLAACCEE/ag/p8/agp8Z869l5nC_small.mp4
Unavailable,39.6747,75.8948,105.61,Above Sea Level,2019-12-25,17:12:13,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AG1yPEoto82g.json,AG,RREEPPLLAACCEE/AG/1y/AG1yPEoto82g.mp4,RREEPPLLAACCEE/AG/1y/AG1yPEoto82g_small.mp4
Unavailable,28.2814,82.1421,0,Unavailable,2020-12-24,16:08:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AG4hlExHj3dg.json,AG,RREEPPLLAACCEE/AG/4h/AG4hlExHj3dg.mp4,RREEPPLLAACCEE/AG/4h/AG4hlExHj3dg_small.mp4
Unavailable,42.6331,72.9300,209.516,Above Sea Level,2020-10-16,16:59:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGCYu4P1chX5.json,AG,RREEPPLLAACCEE/AG/CY/AGCYu4P1chX5.mp4,RREEPPLLAACCEE/AG/CY/AGCYu4P1chX5_small.mp4
Unavailable,42.9243,76.5857,177.706,Above Sea Level,2020-10-13,11:40:41,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGDsoRhg6iEM.json,AG,RREEPPLLAACCEE/AG/Ds/AGDsoRhg6iEM.mp4,RREEPPLLAACCEE/AG/Ds/AGDsoRhg6iEM_small.mp4
Unavailable,35.0387,114.6042,171.459,Above Sea Level,2020-10-15,11:56:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGL69GI5T0t1.json,AG,RREEPPLLAACCEE/AG/L6/AGL69GI5T0t1.mp4,RREEPPLLAACCEE/AG/L6/AGL69GI5T0t1_small.mp4
Unavailable,40.6357,73.6396,2.34,Above Sea Level,2020-11-01,19:12:50,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGRsa4XyXul8.json,AG,RREEPPLLAACCEE/AG/Rs/AGRsa4XyXul8.mp4,RREEPPLLAACCEE/AG/Rs/AGRsa4XyXul8_small.mp4
Unavailable,33.6178,117.9284,3.132,Above Sea Level,2020-10-18,18:58:56,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGSYyxMDHxgl.json,AG,RREEPPLLAACCEE/AG/SY/AGSYyxMDHxgl.mp4,RREEPPLLAACCEE/AG/SY/AGSYyxMDHxgl_small.mp4
Unavailable,33.7262,117.9189,18.435,Above Sea Level,2020-11-16,15:48:05,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGVVmTxLMhaw.json,AG,RREEPPLLAACCEE/AG/VV/AGVVmTxLMhaw.mp4,RREEPPLLAACCEE/AG/VV/AGVVmTxLMhaw_small.mp4
Unavailable,29.1723,82.2206,27.062,Above Sea Level,2020-10-16,22:55:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGYK4Xv3e65R.json,AG,RREEPPLLAACCEE/AG/YK/AGYK4Xv3e65R.mp4,RREEPPLLAACCEE/AG/YK/AGYK4Xv3e65R_small.mp4
Unavailable,30.2829,97.7578,169.622,Above Sea Level,2020-07-02,06:14:37,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGgwuXagoZfL.json,AG,RREEPPLLAACCEE/AG/gw/AGgwuXagoZfL.mp4,RREEPPLLAACCEE/AG/gw/AGgwuXagoZfL_small.mp4
Unavailable,27.6801,97.3518,5.437,Above Sea Level,2021-01-05,08:15:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGhAF0SFRgIW.json,AG,RREEPPLLAACCEE/AG/hA/AGhAF0SFRgIW.mp4,RREEPPLLAACCEE/AG/hA/AGhAF0SFRgIW_small.mp4
Unavailable,33.9696,83.8732,304.182,Above Sea Level,2020-11-07,10:12:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGjnWcFtM3ZV.json,AG,RREEPPLLAACCEE/AG/jn/AGjnWcFtM3ZV.mp4,RREEPPLLAACCEE/AG/jn/AGjnWcFtM3ZV_small.mp4
Unavailable,47.5915,122.0737,113.975,Above Sea Level,2020-10-16,04:45:40,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGlbYt0STKIE.json,AG,RREEPPLLAACCEE/AG/lb/AGlbYt0STKIE.mp4,RREEPPLLAACCEE/AG/lb/AGlbYt0STKIE_small.mp4
Unavailable,42.4666,83.0150,191.462,Above Sea Level,2020-11-10,08:20:33,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGtRsv08UovR.json,AG,RREEPPLLAACCEE/AG/tR/AGtRsv08UovR.mp4,RREEPPLLAACCEE/AG/tR/AGtRsv08UovR_small.mp4
Unavailable,33.8138,117.5451,390.4,Above Sea Level,2020-11-23,12:48:06,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGuw2nFewfK1.json,AG,RREEPPLLAACCEE/AG/uw/AGuw2nFewfK1.mp4,RREEPPLLAACCEE/AG/uw/AGuw2nFewfK1_small.mp4
Unavailable,40.7621,73.8304,17.08,Above Sea Level,2020-11-29,03:32:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGvR0488Li4A.json,AG,RREEPPLLAACCEE/AG/vR/AGvR0488Li4A.mp4,RREEPPLLAACCEE/AG/vR/AGvR0488Li4A_small.mp4
Unavailable,39.0953,76.8104,84.706,Above Sea Level,2018-09-12,21:52:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AGwk0pkArGh2.json,AG,RREEPPLLAACCEE/AG/wk/AGwk0pkArGh2.mp4,RREEPPLLAACCEE/AG/wk/AGwk0pkArGh2_small.mp4
Unavailable,31.5632,97.1953,169.62,Above Sea Level,2020-11-25,20:42:15,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ag2Mh0Ua53hL.json,Ag,RREEPPLLAACCEE/Ag/2M/Ag2Mh0Ua53hL.mp4,RREEPPLLAACCEE/Ag/2M/Ag2Mh0Ua53hL_small.mp4
Unavailable,40.8394,73.2687,41.636,Above Sea Level,2020-10-30,20:51:06,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ag6aLB4mSlvh.json,Ag,RREEPPLLAACCEE/Ag/6a/Ag6aLB4mSlvh.mp4,RREEPPLLAACCEE/Ag/6a/Ag6aLB4mSlvh_small.mp4
Unavailable,39.4031,96.7459,0,Unavailable,2020-10-03,19:12:48,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AgBLqqDUkSQJ.json,Ag,RREEPPLLAACCEE/Ag/BL/AgBLqqDUkSQJ.mp4,RREEPPLLAACCEE/Ag/BL/AgBLqqDUkSQJ_small.mp4
