Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Miroir,0,0,0,Unavailable,2020-06-26,19:24:45,Unavailable,Unavailable,Unavailable,Unavailable,Miroir,Miroir,Miroir,meta-PbOZEMTgONnC.json,Pb,RREEPPLLAACCEE/Pb/OZ/PbOZEMTgONnC.mp4,RREEPPLLAACCEE/Pb/OZ/PbOZEMTgONnC_small.mp4
Owner,0,0,0,Unavailable,2020-05-08,01:50:08,Unavailable,Unavailable,Unavailable,Unavailable,Owner,Owner,Owner,meta-pBpl1xOjPxfo.json,pB,RREEPPLLAACCEE/pB/pl/pBpl1xOjPxfo.mp4,RREEPPLLAACCEE/pB/pl/pBpl1xOjPxfo_small.mp4
Bojan,0,0,0,Unavailable,2021-01-05,17:50:01,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-pb6rdnxZ6uPI.json,pb,RREEPPLLAACCEE/pb/6r/pb6rdnxZ6uPI.mp4,RREEPPLLAACCEE/pb/6r/pb6rdnxZ6uPI_small.mp4
F8005,0,0,0,Unavailable,2020-11-21,10:32:16,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-pbVnabZWoHSz.json,pb,RREEPPLLAACCEE/pb/Vn/pbVnabZWoHSz.mp4,RREEPPLLAACCEE/pb/Vn/pbVnabZWoHSz_small.mp4
Unavailable,41.9478,87.6567,0,Unavailable,2020-08-28,23:18:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PB49Des6Z0f8.json,PB,RREEPPLLAACCEE/PB/49/PB49Des6Z0f8.mp4,RREEPPLLAACCEE/PB/49/PB49Des6Z0f8_small.mp4
Unavailable,32.8092,96.8019,140.772,Above Sea Level,2020-11-19,17:00:00,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBM2Iw2nTE6b.json,PB,RREEPPLLAACCEE/PB/M2/PBM2Iw2nTE6b.mp4,RREEPPLLAACCEE/PB/M2/PBM2Iw2nTE6b_small.mp4
Unavailable,33.6626,117.9850,3.027,Above Sea Level,2020-09-22,03:36:18,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBPB7nE6zBXP.json,PB,RREEPPLLAACCEE/PB/PB/PBPB7nE6zBXP.mp4,RREEPPLLAACCEE/PB/PB/PBPB7nE6zBXP_small.mp4
Unavailable,31.7064,100.1144,512.498,Above Sea Level,2020-11-03,20:00:58,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBafE058JmJv.json,PB,RREEPPLLAACCEE/PB/af/PBafE058JmJv.mp4,RREEPPLLAACCEE/PB/af/PBafE058JmJv_small.mp4
Unavailable,30.4311,88.9603,6.495,Above Sea Level,2021-01-06,23:02:14,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBbuLaO6opgA.json,PB,RREEPPLLAACCEE/PB/bu/PBbuLaO6opgA.mp4,RREEPPLLAACCEE/PB/bu/PBbuLaO6opgA_small.mp4
Unavailable,28.4792,81.3321,29.399,Above Sea Level,2020-11-11,12:43:41,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBbzJJ1hSYz7.json,PB,RREEPPLLAACCEE/PB/bz/PBbzJJ1hSYz7.mp4,RREEPPLLAACCEE/PB/bz/PBbzJJ1hSYz7_small.mp4
Unavailable,28.6172,81.4487,21.437,Above Sea Level,2020-11-13,21:18:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PBtjpIs10PPm.json,PB,RREEPPLLAACCEE/PB/tj/PBtjpIs10PPm.mp4,RREEPPLLAACCEE/PB/tj/PBtjpIs10PPm_small.mp4
