Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
qqxtt,0,0,0,Unavailable,2020-12-02,12:23:30,Unavailable,Unavailable,Unavailable,Unavailable,qqxtt,qqxtt,qqxtt,meta-HEC3iZdyxl1f.json,HE,RREEPPLLAACCEE/HE/C3/HEC3iZdyxl1f.mp4,RREEPPLLAACCEE/HE/C3/HEC3iZdyxl1f_small.mp4
Editor,0,0,0,Unavailable,2020-12-05,01:20:24,Unavailable,Unavailable,Unavailable,Unavailable,Editor,Editor,Editor,meta-HepA6SZGhxuS.json,He,RREEPPLLAACCEE/He/pA/HepA6SZGhxuS.mp4,RREEPPLLAACCEE/He/pA/HepA6SZGhxuS_small.mp4
williamlivingston,0,0,0,Unavailable,2020-11-25,18:52:37,Panasonic,,Unavailable,Unavailable,williamlivingston,williamlivingston,williamlivingston,meta-hE1KwPI61YKK.json,hE,RREEPPLLAACCEE/hE/1K/hE1KwPI61YKK.mp4,RREEPPLLAACCEE/hE/1K/hE1KwPI61YKK_small.mp4
sightfloow,0,0,0,Unavailable,2020-08-26,04:58:17,Unavailable,Unavailable,Unavailable,Unavailable,sightfloow,sightfloow,sightfloow,meta-he6rNThYeiCO.json,he,RREEPPLLAACCEE/he/6r/he6rNThYeiCO.mp4,RREEPPLLAACCEE/he/6r/he6rNThYeiCO_small.mp4
Unavailable,29.9187,97.8738,206.819,Above Sea Level,2020-12-02,21:18:50,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HE4T9rKNsBrK.json,HE,RREEPPLLAACCEE/HE/4T/HE4T9rKNsBrK.mp4,RREEPPLLAACCEE/HE/4T/HE4T9rKNsBrK_small.mp4
Unavailable,33.3494,111.7895,377.505,Above Sea Level,2020-07-31,01:39:01,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HE7Jw8Q15K2T.json,HE,RREEPPLLAACCEE/HE/7J/HE7Jw8Q15K2T.mp4,RREEPPLLAACCEE/HE/7J/HE7Jw8Q15K2T_small.mp4
Unavailable,39.9712,75.5262,137.056,Above Sea Level,2020-07-02,03:19:08,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEHgrwFPmHyO.json,HE,RREEPPLLAACCEE/HE/Hg/HEHgrwFPmHyO.mp4,RREEPPLLAACCEE/HE/Hg/HEHgrwFPmHyO_small.mp4
Unavailable,40.7450,73.2588,14.7,Above Sea Level,2020-10-28,01:28:52,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEKRk6cgKmXv.json,HE,RREEPPLLAACCEE/HE/KR/HEKRk6cgKmXv.mp4,RREEPPLLAACCEE/HE/KR/HEKRk6cgKmXv_small.mp4
Unavailable,34.0013,81.0337,93.179,Above Sea Level,2020-11-12,04:34:57,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HELoLHzSHqh0.json,HE,RREEPPLLAACCEE/HE/Lo/HELoLHzSHqh0.mp4,RREEPPLLAACCEE/HE/Lo/HELoLHzSHqh0_small.mp4
Unavailable,27.9272,82.8109,15.916,Above Sea Level,2020-07-31,21:34:52,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEOa1Dgy7lsm.json,HE,RREEPPLLAACCEE/HE/Oa/HEOa1Dgy7lsm.mp4,RREEPPLLAACCEE/HE/Oa/HEOa1Dgy7lsm_small.mp4
Unavailable,35.3559,80.6809,208.251,Above Sea Level,2020-12-14,01:04:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEPw0YbMHGzm.json,HE,RREEPPLLAACCEE/HE/Pw/HEPw0YbMHGzm.mp4,RREEPPLLAACCEE/HE/Pw/HEPw0YbMHGzm_small.mp4
Unavailable,36.0641,86.7138,194.091,Above Sea Level,2020-12-11,12:23:43,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HERoC30918sv.json,HE,RREEPPLLAACCEE/HE/Ro/HERoC30918sv.mp4,RREEPPLLAACCEE/HE/Ro/HERoC30918sv_small.mp4
Unavailable,25.8650,80.3196,3.496,Above Sea Level,2020-11-29,02:38:32,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HETnSAnTHrEW.json,HE,RREEPPLLAACCEE/HE/Tn/HETnSAnTHrEW.mp4,RREEPPLLAACCEE/HE/Tn/HETnSAnTHrEW_small.mp4
Unavailable,25.2594,49.5477,168.913,Above Sea Level,2020-11-20,19:51:13,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEXQOiNDWLua.json,HE,RREEPPLLAACCEE/HE/XQ/HEXQOiNDWLua.mp4,RREEPPLLAACCEE/HE/XQ/HEXQOiNDWLua_small.mp4
Unavailable,30.5994,87.1798,17.682,Above Sea Level,2020-12-04,16:30:07,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEZXdwPz9cXp.json,HE,RREEPPLLAACCEE/HE/ZX/HEZXdwPz9cXp.mp4,RREEPPLLAACCEE/HE/ZX/HEZXdwPz9cXp_small.mp4
Unavailable,46.3305,120.2012,213.27,Above Sea Level,2020-04-30,03:02:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEdCDsqkuCSf.json,HE,RREEPPLLAACCEE/HE/dC/HEdCDsqkuCSf.mp4,RREEPPLLAACCEE/HE/dC/HEdCDsqkuCSf_small.mp4
Unavailable,36.1528,95.9966,203.729,Above Sea Level,2020-06-21,00:13:39,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEdVbCdEhhKA.json,HE,RREEPPLLAACCEE/HE/dV/HEdVbCdEhhKA.mp4,RREEPPLLAACCEE/HE/dV/HEdVbCdEhhKA_small.mp4
Unavailable,38.8958,77.0316,5.685,Above Sea Level,2020-11-14,15:04:19,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEgdi3FiAxG1.json,HE,RREEPPLLAACCEE/HE/gd/HEgdi3FiAxG1.mp4,RREEPPLLAACCEE/HE/gd/HEgdi3FiAxG1_small.mp4
Unavailable,40.5428,74.1542,0,Unavailable,2020-07-20,15:39:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEjeXn5riLMH.json,HE,RREEPPLLAACCEE/HE/je/HEjeXn5riLMH.mp4,RREEPPLLAACCEE/HE/je/HEjeXn5riLMH_small.mp4
Unavailable,28.5814,81.3034,27.048,Above Sea Level,2021-01-06,20:15:57,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEnQH63JyhBC.json,HE,RREEPPLLAACCEE/HE/nQ/HEnQH63JyhBC.mp4,RREEPPLLAACCEE/HE/nQ/HEnQH63JyhBC_small.mp4
Unavailable,25.8093,80.3199,9.227,Above Sea Level,2021-01-06,17:22:32,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEp2aX729WFq.json,HE,RREEPPLLAACCEE/HE/p2/HEp2aX729WFq.mp4,RREEPPLLAACCEE/HE/p2/HEp2aX729WFq_small.mp4
Unavailable,38.8903,77.0094,21.259,Above Sea Level,2021-01-06,22:37:11,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HErrRC01EIav.json,HE,RREEPPLLAACCEE/HE/rr/HErrRC01EIav.mp4,RREEPPLLAACCEE/HE/rr/HErrRC01EIav_small.mp4
Unavailable,43.9612,78.1412,77,Above Sea Level,2020-06-08,00:01:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HEuErMUfzLit.json,HE,RREEPPLLAACCEE/HE/uE/HEuErMUfzLit.mp4,RREEPPLLAACCEE/HE/uE/HEuErMUfzLit_small.mp4
Unavailable,39.4521,82.9692,209.268,Above Sea Level,2020-11-08,18:22:01,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-He1S1Y8jIF9a.json,He,RREEPPLLAACCEE/He/1S/He1S1Y8jIF9a.mp4,RREEPPLLAACCEE/He/1S/He1S1Y8jIF9a_small.mp4
Unavailable,40.2076,75.2302,106.999,Above Sea Level,2020-09-03,19:33:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-He3CWFlPQ1Av.json,He,RREEPPLLAACCEE/He/3C/He3CWFlPQ1Av.mp4,RREEPPLLAACCEE/He/3C/He3CWFlPQ1Av_small.mp4
Unavailable,35.1216,80.8741,178.471,Above Sea Level,2020-07-20,21:13:08,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-He7WTINWHd3H.json,He,RREEPPLLAACCEE/He/7W/He7WTINWHd3H.mp4,RREEPPLLAACCEE/He/7W/He7WTINWHd3H_small.mp4
Unavailable,33.6286,112.4536,402.564,Above Sea Level,2021-01-07,14:24:43,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-He7v7Yc9qby1.json,He,RREEPPLLAACCEE/He/7v/He7v7Yc9qby1.mp4,RREEPPLLAACCEE/He/7v/He7v7Yc9qby1_small.mp4
