Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Miles,0,0,0,Unavailable,2020-11-15,23:08:22,Apple,,Unavailable,Unavailable,Miles,Miles,Miles,meta-DH8t7nzQUGD8.json,DH,RREEPPLLAACCEE/DH/8t/DH8t7nzQUGD8.mp4,RREEPPLLAACCEE/DH/8t/DH8t7nzQUGD8_small.mp4
mwills,0,0,0,Unavailable,2020-11-19,01:59:28,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-DhrVikBxd7io.json,Dh,RREEPPLLAACCEE/Dh/rV/DhrVikBxd7io.mp4,RREEPPLLAACCEE/Dh/rV/DhrVikBxd7io_small.mp4
xuchenwu,0,0,0,Unavailable,2020-12-30,04:13:07,Unavailable,Unavailable,Unavailable,Unavailable,Admin,xuchenwu,xuchenwu,meta-dH21LeVZlBm6.json,dH,RREEPPLLAACCEE/dH/21/dH21LeVZlBm6.mp4,RREEPPLLAACCEE/dH/21/dH21LeVZlBm6_small.mp4
davidstromain,0,0,0,Unavailable,2020-09-20,20:45:00,Unavailable,Unavailable,Unavailable,Unavailable,davidstromain,davidstromain,davidstromain,meta-dH3FLRxJcCu7.json,dH,RREEPPLLAACCEE/dH/3F/dH3FLRxJcCu7.mp4,RREEPPLLAACCEE/dH/3F/dH3FLRxJcCu7_small.mp4
Mark,0,0,0,Unavailable,2017-07-13,22:13:53,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-dHnaTqqkG5nv.json,dH,RREEPPLLAACCEE/dH/na/dHnaTqqkG5nv.mp4,RREEPPLLAACCEE/dH/na/dHnaTqqkG5nv_small.mp4
xuchenwu,0,0,0,Unavailable,2020-12-24,00:48:13,Unavailable,Unavailable,Unavailable,Unavailable,xuchenwu,xuchenwu,xuchenwu,meta-dhFDjbwkgKQU.json,dh,RREEPPLLAACCEE/dh/FD/dhFDjbwkgKQU.mp4,RREEPPLLAACCEE/dh/FD/dhFDjbwkgKQU_small.mp4
Unavailable,40.3298,79.8574,278.324,Above Sea Level,2020-07-05,00:47:26,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DH18aHo4wdQr.json,DH,RREEPPLLAACCEE/DH/18/DH18aHo4wdQr.mp4,RREEPPLLAACCEE/DH/18/DH18aHo4wdQr_small.mp4
Unavailable,32.9652,97.5885,225.296,Above Sea Level,2020-12-05,16:45:46,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DH41nskqoILE.json,DH,RREEPPLLAACCEE/DH/41/DH41nskqoILE.mp4,RREEPPLLAACCEE/DH/41/DH41nskqoILE_small.mp4
Unavailable,35.8291,80.8741,270.432,Above Sea Level,2020-11-18,00:07:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DH4T4FxHjB2h.json,DH,RREEPPLLAACCEE/DH/4T/DH4T4FxHjB2h.mp4,RREEPPLLAACCEE/DH/4T/DH4T4FxHjB2h_small.mp4
Unavailable,36.6193,93.3214,282.402,Above Sea Level,2020-09-05,18:11:15,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DH4t9LAN5LGL.json,DH,RREEPPLLAACCEE/DH/4t/DH4t9LAN5LGL.mp4,RREEPPLLAACCEE/DH/4t/DH4t9LAN5LGL_small.mp4
Unavailable,42.9300,71.4297,74.121,Above Sea Level,2020-10-25,18:26:50,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DH74EFdP2pi6.json,DH,RREEPPLLAACCEE/DH/74/DH74EFdP2pi6.mp4,RREEPPLLAACCEE/DH/74/DH74EFdP2pi6_small.mp4
Unavailable,39.8482,75.9859,0,Unavailable,2020-11-16,20:25:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DHCKRo6U2MSe.json,DH,RREEPPLLAACCEE/DH/CK/DHCKRo6U2MSe.mp4,RREEPPLLAACCEE/DH/CK/DHCKRo6U2MSe_small.mp4
Unavailable,39.0408,77.4527,71.093,Above Sea Level,2020-11-22,14:25:33,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DHLRuE90yT0w.json,DH,RREEPPLLAACCEE/DH/LR/DHLRuE90yT0w.mp4,RREEPPLLAACCEE/DH/LR/DHLRuE90yT0w_small.mp4
Unavailable,38.7240,90.2943,175.094,Above Sea Level,2020-12-15,04:44:46,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DHQ7B08yWwm5.json,DH,RREEPPLLAACCEE/DH/Q7/DHQ7B08yWwm5.mp4,RREEPPLLAACCEE/DH/Q7/DHQ7B08yWwm5_small.mp4
Unavailable,36.1012,119.0422,125.53,Above Sea Level,2020-10-23,02:06:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DHUH3Hwqc4uy.json,DH,RREEPPLLAACCEE/DH/UH/DHUH3Hwqc4uy.mp4,RREEPPLLAACCEE/DH/UH/DHUH3Hwqc4uy_small.mp4
