Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
pquinn,0,0,0,Unavailable,2020-11-19,14:09:52,Canon,,,Unavailable,pquinn,pquinn,pquinn,meta-TMQe3FtNYgQ0.json,TM,RREEPPLLAACCEE/TM/Qe/TMQe3FtNYgQ0.mp4,RREEPPLLAACCEE/TM/Qe/TMQe3FtNYgQ0_small.mp4
Sophie,0,0,0,Unavailable,2020-12-16,21:11:58,Unavailable,Unavailable,Unavailable,Unavailable,Sophie,Sophie,Sophie,meta-TmFDHhik88gj.json,Tm,RREEPPLLAACCEE/Tm/FD/TmFDHhik88gj.mp4,RREEPPLLAACCEE/Tm/FD/TmFDHhik88gj_small.mp4
stoversmac,0,0,0,Unavailable,2020-11-10,21:08:42,Unavailable,Unavailable,Unavailable,Unavailable,stoversmac,stoversmac,stoversmac,meta-TmY7ACNR7Bi2.json,Tm,RREEPPLLAACCEE/Tm/Y7/TmY7ACNR7Bi2.mp4,RREEPPLLAACCEE/Tm/Y7/TmY7ACNR7Bi2_small.mp4
emery,0,0,0,Unavailable,2020-10-03,05:11:34,Unavailable,Unavailable,Unavailable,Unavailable,emery,emery,emery,meta-TmZcrCuaXETI.json,Tm,RREEPPLLAACCEE/Tm/Zc/TmZcrCuaXETI.mp4,RREEPPLLAACCEE/Tm/Zc/TmZcrCuaXETI_small.mp4
Unavailable,37.7712,121.2128,13.62,Above Sea Level,2020-06-23,01:59:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMBbMNTVLvIY.json,TM,RREEPPLLAACCEE/TM/Bb/TMBbMNTVLvIY.mp4,RREEPPLLAACCEE/TM/Bb/TMBbMNTVLvIY_small.mp4
Unavailable,54.4410,6.2617,45.152,Above Sea Level,2020-09-15,09:13:48,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMJaLqQTcQhm.json,TM,RREEPPLLAACCEE/TM/Ja/TMJaLqQTcQhm.mp4,RREEPPLLAACCEE/TM/Ja/TMJaLqQTcQhm_small.mp4
Unavailable,33.1171,117.2378,91.593,Above Sea Level,2020-12-09,02:11:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMLCe1xk7umZ.json,TM,RREEPPLLAACCEE/TM/LC/TMLCe1xk7umZ.mp4,RREEPPLLAACCEE/TM/LC/TMLCe1xk7umZ_small.mp4
Unavailable,40.6816,73.4857,10.269,Above Sea Level,2020-11-03,18:01:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMMpV11LWb1i.json,TM,RREEPPLLAACCEE/TM/Mp/TMMpV11LWb1i.mp4,RREEPPLLAACCEE/TM/Mp/TMMpV11LWb1i_small.mp4
Unavailable,27.5420,81.4879,36,Above Sea Level,2020-11-08,20:38:58,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMOQy81iKFdW.json,TM,RREEPPLLAACCEE/TM/OQ/TMOQy81iKFdW.mp4,RREEPPLLAACCEE/TM/OQ/TMOQy81iKFdW_small.mp4
Unavailable,48.4364,123.3217,19.56,Above Sea Level,2021-01-10,00:30:03,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMOXCS99OIEe.json,TM,RREEPPLLAACCEE/TM/OX/TMOXCS99OIEe.mp4,RREEPPLLAACCEE/TM/OX/TMOXCS99OIEe_small.mp4
Unavailable,35.0520,80.1825,122.412,Above Sea Level,2020-11-08,15:36:07,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMQTNKcTRb5t.json,TM,RREEPPLLAACCEE/TM/QT/TMQTNKcTRb5t.mp4,RREEPPLLAACCEE/TM/QT/TMQTNKcTRb5t_small.mp4
Unavailable,59.6430,151.4674,0,Unavailable,2020-11-13,21:41:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMV7ceXxQoG4.json,TM,RREEPPLLAACCEE/TM/V7/TMV7ceXxQoG4.mp4,RREEPPLLAACCEE/TM/V7/TMV7ceXxQoG4_small.mp4
Unavailable,30.5994,87.1798,16.382,Above Sea Level,2020-12-10,03:33:51,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMX1i1lieA8y.json,TM,RREEPPLLAACCEE/TM/X1/TMX1i1lieA8y.mp4,RREEPPLLAACCEE/TM/X1/TMX1i1lieA8y_small.mp4
Unavailable,46.7930,122.0766,0,Unavailable,2020-06-18,22:19:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMYVuFLDpoXe.json,TM,RREEPPLLAACCEE/TM/YV/TMYVuFLDpoXe.mp4,RREEPPLLAACCEE/TM/YV/TMYVuFLDpoXe_small.mp4
Unavailable,30.3976,95.6757,83.537,Above Sea Level,2020-11-09,04:03:08,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMYWfcEXNzMP.json,TM,RREEPPLLAACCEE/TM/YW/TMYWfcEXNzMP.mp4,RREEPPLLAACCEE/TM/YW/TMYWfcEXNzMP_small.mp4
Unavailable,28.6169,81.4489,21.451,Above Sea Level,2020-11-11,23:02:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMZr1TR85tzF.json,TM,RREEPPLLAACCEE/TM/Zr/TMZr1TR85tzF.mp4,RREEPPLLAACCEE/TM/Zr/TMZr1TR85tzF_small.mp4
Unavailable,36.1001,83.7428,300.94,Above Sea Level,2020-05-28,21:35:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMbNsoLTIEeM.json,TM,RREEPPLLAACCEE/TM/bN/TMbNsoLTIEeM.mp4,RREEPPLLAACCEE/TM/bN/TMbNsoLTIEeM_small.mp4
Unavailable,39.8202,76.9730,183.64,Above Sea Level,2019-07-08,02:33:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMciCtdP36gV.json,TM,RREEPPLLAACCEE/TM/ci/TMciCtdP36gV.mp4,RREEPPLLAACCEE/TM/ci/TMciCtdP36gV_small.mp4
Unavailable,40.9591,85.9855,242.485,Above Sea Level,2020-12-23,21:23:39,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMehDdfZ2wQw.json,TM,RREEPPLLAACCEE/TM/eh/TMehDdfZ2wQw.mp4,RREEPPLLAACCEE/TM/eh/TMehDdfZ2wQw_small.mp4
Unavailable,27.2687,82.4646,10.288,Above Sea Level,2020-07-25,15:33:55,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMgmG7zzGPx0.json,TM,RREEPPLLAACCEE/TM/gm/TMgmG7zzGPx0.mp4,RREEPPLLAACCEE/TM/gm/TMgmG7zzGPx0_small.mp4
Unavailable,28.4110,81.4636,27.738,Above Sea Level,2020-12-18,04:28:33,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TMjcQhZY4XPW.json,TM,RREEPPLLAACCEE/TM/jc/TMjcQhZY4XPW.mp4,RREEPPLLAACCEE/TM/jc/TMjcQhZY4XPW_small.mp4
