Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
tylerwhite,0,0,0,Unavailable,2020-10-29,21:40:40,Unavailable,Unavailable,Unavailable,Unavailable,tylerwhite,tylerwhite,tylerwhite,meta-SitsPSir75xM.json,Si,RREEPPLLAACCEE/Si/ts/SitsPSir75xM.mp4,RREEPPLLAACCEE/Si/ts/SitsPSir75xM_small.mp4
Mello-Gabinete,0,0,0,Unavailable,2020-10-07,01:16:19,Unavailable,Unavailable,Unavailable,Unavailable,Mello-Gabinete,Mello-Gabinete,Mello-Gabinete,meta-sIGkcv2rbxa9.json,sI,RREEPPLLAACCEE/sI/Gk/sIGkcv2rbxa9.mp4,RREEPPLLAACCEE/sI/Gk/sIGkcv2rbxa9_small.mp4
Richard,0,0,0,Unavailable,2020-07-28,13:59:08,Unavailable,Unavailable,Unavailable,Unavailable,ridavies,ridavies,ridavies,meta-sIKtkmohSwx8.json,sI,RREEPPLLAACCEE/sI/Kt/sIKtkmohSwx8.mp4,RREEPPLLAACCEE/sI/Kt/sIKtkmohSwx8_small.mp4
editor01,0,0,0,Unavailable,2020-10-19,21:03:44,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-sImKN4scmv5y.json,sI,RREEPPLLAACCEE/sI/mK/sImKN4scmv5y.mp4,RREEPPLLAACCEE/sI/mK/sImKN4scmv5y_small.mp4
F8005,0,0,0,Unavailable,2020-11-26,14:43:17,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-si9aJBZO7nY0.json,si,RREEPPLLAACCEE/si/9a/si9aJBZO7nY0.mp4,RREEPPLLAACCEE/si/9a/si9aJBZO7nY0_small.mp4
jeffmocini,0,0,0,Unavailable,2020-11-09,22:03:45,Unavailable,Unavailable,Unavailable,Unavailable,jeffmocini,jeffmocini,jeffmocini,meta-siP1zX9zq8MV.json,si,RREEPPLLAACCEE/si/P1/siP1zX9zq8MV.mp4,RREEPPLLAACCEE/si/P1/siP1zX9zq8MV_small.mp4
Unavailable,33.3707,117.1721,199.196,Above Sea Level,2020-12-18,02:20:30,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SI40lr8om17u.json,SI,RREEPPLLAACCEE/SI/40/SI40lr8om17u.mp4,RREEPPLLAACCEE/SI/40/SI40lr8om17u_small.mp4
Unavailable,40.6563,74.3045,28.248,Above Sea Level,2020-11-26,12:35:07,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SI5lKMGzcHli.json,SI,RREEPPLLAACCEE/SI/5l/SI5lKMGzcHli.mp4,RREEPPLLAACCEE/SI/5l/SI5lKMGzcHli_small.mp4
Unavailable,41.7576,111.8242,1388.595,Above Sea Level,2020-11-11,16:54:27,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SI6g56jBM2Au.json,SI,RREEPPLLAACCEE/SI/6g/SI6g56jBM2Au.mp4,RREEPPLLAACCEE/SI/6g/SI6g56jBM2Au_small.mp4
Unavailable,32.2699,101.3866,752.592,Above Sea Level,2020-08-23,00:46:01,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SI9jUHpLFF9y.json,SI,RREEPPLLAACCEE/SI/9j/SI9jUHpLFF9y.mp4,RREEPPLLAACCEE/SI/9j/SI9jUHpLFF9y_small.mp4
Unavailable,35.4208,118.9541,143.721,Above Sea Level,2020-10-25,23:13:37,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIJVPruF7t92.json,SI,RREEPPLLAACCEE/SI/JV/SIJVPruF7t92.mp4,RREEPPLLAACCEE/SI/JV/SIJVPruF7t92_small.mp4
Unavailable,38.8352,104.8227,1834.3,Above Sea Level,2020-10-28,01:43:11,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIKm6gX4YIyN.json,SI,RREEPPLLAACCEE/SI/Km/SIKm6gX4YIyN.mp4,RREEPPLLAACCEE/SI/Km/SIKm6gX4YIyN_small.mp4
Unavailable,38.8913,77.0058,0,Unavailable,2021-01-06,20:41:34,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SINnkDbJKVVy.json,SI,RREEPPLLAACCEE/SI/Nn/SINnkDbJKVVy.mp4,RREEPPLLAACCEE/SI/Nn/SINnkDbJKVVy_small.mp4
Unavailable,29.6894,95.3803,25.75,Above Sea Level,2020-11-12,06:47:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIPBd3fDDvwK.json,SI,RREEPPLLAACCEE/SI/PB/SIPBd3fDDvwK.mp4,RREEPPLLAACCEE/SI/PB/SIPBd3fDDvwK_small.mp4
Unavailable,26.4595,80.1399,6.73,Above Sea Level,2020-12-21,18:59:54,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIQTiwLSxYJG.json,SI,RREEPPLLAACCEE/SI/QT/SIQTiwLSxYJG.mp4,RREEPPLLAACCEE/SI/QT/SIQTiwLSxYJG_small.mp4
Unavailable,28.2069,82.4031,13.668,Above Sea Level,2020-11-13,02:22:08,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIT0q0MUFefg.json,SI,RREEPPLLAACCEE/SI/T0/SIT0q0MUFefg.mp4,RREEPPLLAACCEE/SI/T0/SIT0q0MUFefg_small.mp4
Unavailable,29.8704,84.6620,4.574,Above Sea Level,2020-11-07,22:00:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIVbFbogNXJp.json,SI,RREEPPLLAACCEE/SI/Vb/SIVbFbogNXJp.mp4,RREEPPLLAACCEE/SI/Vb/SIVbFbogNXJp_small.mp4
Unavailable,33.7328,116.2724,17.413,Above Sea Level,2020-12-19,14:50:36,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIW4CJ6y1FoR.json,SI,RREEPPLLAACCEE/SI/W4/SIW4CJ6y1FoR.mp4,RREEPPLLAACCEE/SI/W4/SIW4CJ6y1FoR_small.mp4
Unavailable,33.4800,83.9034,197.743,Above Sea Level,2020-03-07,22:56:47,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIYrj2WZoN4w.json,SI,RREEPPLLAACCEE/SI/Yr/SIYrj2WZoN4w.mp4,RREEPPLLAACCEE/SI/Yr/SIYrj2WZoN4w_small.mp4
Unavailable,27.5289,152.8207,92.736,Above Sea Level,2020-11-22,04:20:50,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIfP0BculAKc.json,SI,RREEPPLLAACCEE/SI/fP/SIfP0BculAKc.mp4,RREEPPLLAACCEE/SI/fP/SIfP0BculAKc_small.mp4
Unavailable,32.9806,96.9931,142.46,Above Sea Level,2020-11-18,15:12:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIhCytBKPeM3.json,SI,RREEPPLLAACCEE/SI/hC/SIhCytBKPeM3.mp4,RREEPPLLAACCEE/SI/hC/SIhCytBKPeM3_small.mp4
Unavailable,45.1797,93.8683,305.718,Above Sea Level,2020-11-18,18:58:06,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SIhDN5txx40f.json,SI,RREEPPLLAACCEE/SI/hD/SIhDN5txx40f.mp4,RREEPPLLAACCEE/SI/hD/SIhDN5txx40f_small.mp4
