Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
ilmar,0,0,0,Unavailable,2020-11-27,18:49:43,Unavailable,Unavailable,Unavailable,Unavailable,ilmar,ilmar,ilmar,meta-BduG7n8zP1ZK.json,Bd,RREEPPLLAACCEE/Bd/uG/BduG7n8zP1ZK.mp4,RREEPPLLAACCEE/Bd/uG/BduG7n8zP1ZK_small.mp4
Croxxover,0,0,0,Unavailable,2020-10-28,16:36:54,Unavailable,Unavailable,Unavailable,Unavailable,Croxxover,Croxxover,Croxxover,meta-bD5MtYLLMbNF.json,bD,RREEPPLLAACCEE/bD/5M/bD5MtYLLMbNF.mp4,RREEPPLLAACCEE/bD/5M/bD5MtYLLMbNF_small.mp4
anthony072420,0,0,0,Unavailable,2020-11-20,19:50:28,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-bDLKTyAaQUQ9.json,bD,RREEPPLLAACCEE/bD/LK/bDLKTyAaQUQ9.mp4,RREEPPLLAACCEE/bD/LK/bDLKTyAaQUQ9_small.mp4
dbr,0,0,0,Unavailable,2020-07-19,16:29:36,Unavailable,Unavailable,Unavailable,Unavailable,dbr,dbr,dbr,meta-bDa9ilRNiV41.json,bD,RREEPPLLAACCEE/bD/a9/bDa9ilRNiV41.mp4,RREEPPLLAACCEE/bD/a9/bDa9ilRNiV41_small.mp4
F6903,0,0,0,Unavailable,2021-01-09,17:36:56,Unavailable,Unavailable,Unavailable,Unavailable,F6903,F6903,F6903,meta-bDcRbaZMx91N.json,bD,RREEPPLLAACCEE/bD/cR/bDcRbaZMx91N.mp4,RREEPPLLAACCEE/bD/cR/bDcRbaZMx91N_small.mp4
imacpro1,0,0,0,Unavailable,2020-08-18,11:30:04,Panasonic,,Unavailable,Unavailable,home,videoimacpro,videoimacpro,meta-bDgeJXlZlI2d.json,bD,RREEPPLLAACCEE/bD/ge/bDgeJXlZlI2d.mp4,RREEPPLLAACCEE/bD/ge/bDgeJXlZlI2d_small.mp4
vadimgrebennikov,0,0,0,Unavailable,2020-11-13,11:54:43,Canon,,,,vadimgrebennikov,vadimgrebennikov,vadimgrebennikov,meta-bdi5TmWN3lIN.json,bd,RREEPPLLAACCEE/bd/i5/bdi5TmWN3lIN.mp4,RREEPPLLAACCEE/bd/i5/bdi5TmWN3lIN_small.mp4
johnl,0,0,0,Unavailable,2021-01-09,17:15:31,Unavailable,Unavailable,Unavailable,Unavailable,johnl,johnl,johnl,meta-bdlw7kve3y02.json,bd,RREEPPLLAACCEE/bd/lw/bdlw7kve3y02.mp4,RREEPPLLAACCEE/bd/lw/bdlw7kve3y02_small.mp4
Unavailable,28.5983,96.6477,6.242,Above Sea Level,2020-09-05,23:16:28,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BD4jGjIk7m41.json,BD,RREEPPLLAACCEE/BD/4j/BD4jGjIk7m41.mp4,RREEPPLLAACCEE/BD/4j/BD4jGjIk7m41_small.mp4
Unavailable,51.7877,1.5268,105.187,Above Sea Level,2020-12-27,14:43:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BD5BzTvfHG7t.json,BD,RREEPPLLAACCEE/BD/5B/BD5BzTvfHG7t.mp4,RREEPPLLAACCEE/BD/5B/BD5BzTvfHG7t_small.mp4
Unavailable,36.8699,93.1440,308.305,Above Sea Level,2019-11-24,18:37:55,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BDDaaH3So58T.json,BD,RREEPPLLAACCEE/BD/Da/BDDaaH3So58T.mp4,RREEPPLLAACCEE/BD/Da/BDDaaH3So58T_small.mp4
Unavailable,33.8313,117.9180,42.89,Above Sea Level,2020-06-22,23:03:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-BDGyxOchTVWW.json,BD,RREEPPLLAACCEE/BD/Gy/BDGyxOchTVWW.mp4,RREEPPLLAACCEE/BD/Gy/BDGyxOchTVWW_small.mp4
