Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jotac,0,0,0,Unavailable,2020-09-07,01:02:38,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-9Pj040twUqgU.json,9P,RREEPPLLAACCEE/9P/j0/9Pj040twUqgU.mp4,RREEPPLLAACCEE/9P/j0/9Pj040twUqgU_small.mp4
Unavailable,33.5492,82.1095,80.051,Above Sea Level,2020-11-26,21:16:26,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9P4R6apSjNNk.json,9P,RREEPPLLAACCEE/9P/4R/9P4R6apSjNNk.mp4,RREEPPLLAACCEE/9P/4R/9P4R6apSjNNk_small.mp4
Unavailable,38.8973,77.0065,0,Unavailable,2021-01-06,20:24:26,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9P8DDrJUAT5Z.json,9P,RREEPPLLAACCEE/9P/8D/9P8DDrJUAT5Z.mp4,RREEPPLLAACCEE/9P/8D/9P8DDrJUAT5Z_small.mp4
Unavailable,41.6653,111.8027,1522.205,Above Sea Level,2020-10-08,00:25:05,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9P8Zge6IpQpX.json,9P,RREEPPLLAACCEE/9P/8Z/9P8Zge6IpQpX.mp4,RREEPPLLAACCEE/9P/8Z/9P8Zge6IpQpX_small.mp4
Unavailable,36.1002,83.7428,299.865,Above Sea Level,2020-08-19,20:29:39,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9PCJRSmk7v5U.json,9P,RREEPPLLAACCEE/9P/CJ/9PCJRSmk7v5U.mp4,RREEPPLLAACCEE/9P/CJ/9PCJRSmk7v5U_small.mp4
Unavailable,32.4275,97.7384,241.99,Above Sea Level,2020-12-18,03:35:29,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9PGbGaFzESMK.json,9P,RREEPPLLAACCEE/9P/Gb/9PGbGaFzESMK.mp4,RREEPPLLAACCEE/9P/Gb/9PGbGaFzESMK_small.mp4
Unavailable,34.2977,118.8833,224.641,Above Sea Level,2020-11-22,00:47:28,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9PRHDNB3tom3.json,9P,RREEPPLLAACCEE/9P/RH/9PRHDNB3tom3.mp4,RREEPPLLAACCEE/9P/RH/9PRHDNB3tom3_small.mp4
Unavailable,34.3637,85.1423,0,Unavailable,2020-11-03,02:57:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9PUeZWLjhjxp.json,9P,RREEPPLLAACCEE/9P/Ue/9PUeZWLjhjxp.mp4,RREEPPLLAACCEE/9P/Ue/9PUeZWLjhjxp_small.mp4
Unavailable,40.4117,111.8909,1366.4,Above Sea Level,2020-11-05,21:27:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Pnsj0McKtBo.json,9P,RREEPPLLAACCEE/9P/ns/9Pnsj0McKtBo.mp4,RREEPPLLAACCEE/9P/ns/9Pnsj0McKtBo_small.mp4
Unavailable,45.0905,69.0026,0,Unavailable,2020-09-07,19:46:33,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Ppg7ZUkp5f3.json,9P,RREEPPLLAACCEE/9P/pg/9Ppg7ZUkp5f3.mp4,RREEPPLLAACCEE/9P/pg/9Ppg7ZUkp5f3_small.mp4
Unavailable,33.3342,112.0107,424.636,Above Sea Level,2020-08-28,02:13:20,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Pu7bzuvIUCp.json,9P,RREEPPLLAACCEE/9P/u7/9Pu7bzuvIUCp.mp4,RREEPPLLAACCEE/9P/u7/9Pu7bzuvIUCp_small.mp4
