Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulg,0,0,0,Unavailable,2020-12-30,18:54:15,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-IJe759gij3aN.json,IJ,RREEPPLLAACCEE/IJ/e7/IJe759gij3aN.mp4,RREEPPLLAACCEE/IJ/e7/IJe759gij3aN_small.mp4
paulg,0,0,0,Unavailable,2020-11-21,19:50:19,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-IjJhl47HJYyP.json,Ij,RREEPPLLAACCEE/Ij/Jh/IjJhl47HJYyP.mp4,RREEPPLLAACCEE/Ij/Jh/IjJhl47HJYyP_small.mp4
Bojan,0,0,0,Unavailable,2021-01-05,17:21:10,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-iJ9Smhu51laB.json,iJ,RREEPPLLAACCEE/iJ/9S/iJ9Smhu51laB.mp4,RREEPPLLAACCEE/iJ/9S/iJ9Smhu51laB_small.mp4
tades,0,0,0,Unavailable,2021-01-08,06:26:31,Unavailable,Unavailable,Unavailable,Unavailable,tades,tades,tades,meta-ijb6yTQJq83B.json,ij,RREEPPLLAACCEE/ij/b6/ijb6yTQJq83B.mp4,RREEPPLLAACCEE/ij/b6/ijb6yTQJq83B_small.mp4
mwills,0,0,0,Unavailable,2020-12-03,19:52:10,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-ijm1YiWMFPzi.json,ij,RREEPPLLAACCEE/ij/m1/ijm1YiWMFPzi.mp4,RREEPPLLAACCEE/ij/m1/ijm1YiWMFPzi_small.mp4
Unavailable,42.6629,74.7231,547.599,Above Sea Level,2020-12-12,15:17:33,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IJ0lfm97geYg.json,IJ,RREEPPLLAACCEE/IJ/0l/IJ0lfm97geYg.mp4,RREEPPLLAACCEE/IJ/0l/IJ0lfm97geYg_small.mp4
Unavailable,61.2121,149.8732,57.638,Above Sea Level,2020-11-24,02:23:47,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IJ48i1IJPOaa.json,IJ,RREEPPLLAACCEE/IJ/48/IJ48i1IJPOaa.mp4,RREEPPLLAACCEE/IJ/48/IJ48i1IJPOaa_small.mp4
Unavailable,29.0080,96.2085,18.513,Above Sea Level,2020-11-15,19:01:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IJ8DUmoqFWta.json,IJ,RREEPPLLAACCEE/IJ/8D/IJ8DUmoqFWta.mp4,RREEPPLLAACCEE/IJ/8D/IJ8DUmoqFWta_small.mp4
Unavailable,43.0747,88.3990,274.923,Above Sea Level,2020-11-21,13:49:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IJ8YONA7aa5v.json,IJ,RREEPPLLAACCEE/IJ/8Y/IJ8YONA7aa5v.mp4,RREEPPLLAACCEE/IJ/8Y/IJ8YONA7aa5v_small.mp4
Unavailable,33.9211,117.4367,0,Unavailable,2020-07-15,22:49:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-IJ9yIGiuy2zR.json,IJ,RREEPPLLAACCEE/IJ/9y/IJ9yIGiuy2zR.mp4,RREEPPLLAACCEE/IJ/9y/IJ9yIGiuy2zR_small.mp4
