Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Ali Uluisik,0,0,0,Unavailable,2021-01-02,20:23:51,Unavailable,Unavailable,Unavailable,Unavailable,Ali Uluisik,Ali Uluisik,Ali Uluisik,meta-MATJFQvNHKRk.json,MA,RREEPPLLAACCEE/MA/TJ/MATJFQvNHKRk.mp4,RREEPPLLAACCEE/MA/TJ/MATJFQvNHKRk_small.mp4
katherine.parker.DESKTOP-N3IME5E,0,0,0,Unavailable,2020-12-09,16:55:58,Unavailable,Unavailable,Unavailable,Unavailable,katherine.parker.DESKTOP-N3IME5E,katherine.parker.DESKTOP-N3IME5E,katherine.parker.DESKTOP-N3IME5E,meta-MAb2TzNesIQG.json,MA,RREEPPLLAACCEE/MA/b2/MAb2TzNesIQG.mp4,RREEPPLLAACCEE/MA/b2/MAb2TzNesIQG_small.mp4
CheneyFamily,0,0,0,Unavailable,2020-11-07,00:58:32,Unavailable,Unavailable,Unavailable,Unavailable,CheneyFamily,CheneyFamily,CheneyFamily,meta-MaoPN8egDF1j.json,Ma,RREEPPLLAACCEE/Ma/oP/MaoPN8egDF1j.mp4,RREEPPLLAACCEE/Ma/oP/MaoPN8egDF1j_small.mp4
sabrinajunqua,0,0,0,Unavailable,2020-09-15,18:29:05,Unavailable,Unavailable,Unavailable,Unavailable,sabrinajunqua,sabrinajunqua,sabrinajunqua,meta-mA7ifZZygBfU.json,mA,RREEPPLLAACCEE/mA/7i/mA7ifZZygBfU.mp4,RREEPPLLAACCEE/mA/7i/mA7ifZZygBfU_small.mp4
macbook,0,0,0,Unavailable,2020-08-15,20:02:06,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-mAP7BsSCwzZm.json,mA,RREEPPLLAACCEE/mA/P7/mAP7BsSCwzZm.mp4,RREEPPLLAACCEE/mA/P7/mAP7BsSCwzZm_small.mp4
vasco duarte,0,0,0,Unavailable,2020-12-14,22:57:35,Unavailable,Unavailable,Unavailable,Unavailable,vasco duarte,vasco duarte,vasco duarte,meta-mAhwF4Uj1Z6r.json,mA,RREEPPLLAACCEE/mA/hw/mAhwF4Uj1Z6r.mp4,RREEPPLLAACCEE/mA/hw/mAhwF4Uj1Z6r_small.mp4
admin,0,0,0,Unavailable,2020-11-22,23:36:05,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-mAipkY8gw3eX.json,mA,RREEPPLLAACCEE/mA/ip/mAipkY8gw3eX.mp4,RREEPPLLAACCEE/mA/ip/mAipkY8gw3eX_small.mp4
Sven Hastedt,0,0,0,Unavailable,2020-06-14,01:22:04,Unavailable,Unavailable,Unavailable,Unavailable,mairon,mairon,mairon,meta-mAzYObgxisXZ.json,mA,RREEPPLLAACCEE/mA/zY/mAzYObgxisXZ.mp4,RREEPPLLAACCEE/mA/zY/mAzYObgxisXZ_small.mp4
anthony072420,0,0,0,Unavailable,2021-01-05,14:04:46,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-mawPi2A5HI98.json,ma,RREEPPLLAACCEE/ma/wP/mawPi2A5HI98.mp4,RREEPPLLAACCEE/ma/wP/mawPi2A5HI98_small.mp4
Unavailable,38.8962,77.0320,9.395,Above Sea Level,2020-11-14,15:02:44,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MA08d3wjCxCP.json,MA,RREEPPLLAACCEE/MA/08/MA08d3wjCxCP.mp4,RREEPPLLAACCEE/MA/08/MA08d3wjCxCP_small.mp4
Unavailable,33.8594,118.1464,0,Unavailable,2020-09-10,18:09:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MA1iFfeoD9da.json,MA,RREEPPLLAACCEE/MA/1i/MA1iFfeoD9da.mp4,RREEPPLLAACCEE/MA/1i/MA1iFfeoD9da_small.mp4
Unavailable,35.4630,92.1140,235.32,Above Sea Level,2020-11-12,12:32:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MA52dxD6GNf2.json,MA,RREEPPLLAACCEE/MA/52/MA52dxD6GNf2.mp4,RREEPPLLAACCEE/MA/52/MA52dxD6GNf2_small.mp4
Unavailable,38.3953,90.4797,246.638,Above Sea Level,2020-08-07,15:28:56,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MA5GSWZ3MxoQ.json,MA,RREEPPLLAACCEE/MA/5G/MA5GSWZ3MxoQ.mp4,RREEPPLLAACCEE/MA/5G/MA5GSWZ3MxoQ_small.mp4
Unavailable,32.7321,96.5425,118.736,Above Sea Level,2020-11-16,03:28:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAEFdb7tjrc9.json,MA,RREEPPLLAACCEE/MA/EF/MAEFdb7tjrc9.mp4,RREEPPLLAACCEE/MA/EF/MAEFdb7tjrc9_small.mp4
Unavailable,38.8904,77.0063,27.235,Above Sea Level,2020-12-12,19:50:12,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAEvYmItY5ij.json,MA,RREEPPLLAACCEE/MA/Ev/MAEvYmItY5ij.mp4,RREEPPLLAACCEE/MA/Ev/MAEvYmItY5ij_small.mp4
Unavailable,37.9247,121.9965,107.451,Above Sea Level,2020-12-05,15:56:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAFR15SuD5Zk.json,MA,RREEPPLLAACCEE/MA/FR/MAFR15SuD5Zk.mp4,RREEPPLLAACCEE/MA/FR/MAFR15SuD5Zk_small.mp4
Unavailable,33.8149,118.3912,6.292,Above Sea Level,2020-12-01,17:00:09,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAK7sOqtaaE9.json,MA,RREEPPLLAACCEE/MA/K7/MAK7sOqtaaE9.mp4,RREEPPLLAACCEE/MA/K7/MAK7sOqtaaE9_small.mp4
Unavailable,29.4291,98.5005,0,Unavailable,2020-10-18,21:05:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MALTZNse4Op2.json,MA,RREEPPLLAACCEE/MA/LT/MALTZNse4Op2.mp4,RREEPPLLAACCEE/MA/LT/MALTZNse4Op2_small.mp4
Unavailable,40.7401,73.4369,51.067,Above Sea Level,2020-10-12,22:44:13,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAOn3Sg28Cvx.json,MA,RREEPPLLAACCEE/MA/On/MAOn3Sg28Cvx.mp4,RREEPPLLAACCEE/MA/On/MAOn3Sg28Cvx_small.mp4
Unavailable,35.3751,97.5568,398.519,Above Sea Level,2020-11-09,20:53:05,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAQSKhTpf2eh.json,MA,RREEPPLLAACCEE/MA/QS/MAQSKhTpf2eh.mp4,RREEPPLLAACCEE/MA/QS/MAQSKhTpf2eh_small.mp4
Unavailable,38.8898,77.0104,14.087,Above Sea Level,2021-01-06,19:52:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAUXuBm0ERQ6.json,MA,RREEPPLLAACCEE/MA/UX/MAUXuBm0ERQ6.mp4,RREEPPLLAACCEE/MA/UX/MAUXuBm0ERQ6_small.mp4
Unavailable,34.1899,86.1824,324.951,Above Sea Level,2020-07-31,04:08:11,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAhvVpwXqfE8.json,MA,RREEPPLLAACCEE/MA/hv/MAhvVpwXqfE8.mp4,RREEPPLLAACCEE/MA/hv/MAhvVpwXqfE8_small.mp4
Unavailable,33.9121,117.4613,226.973,Above Sea Level,2020-12-03,04:28:11,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAkI40xB3xC6.json,MA,RREEPPLLAACCEE/MA/kI/MAkI40xB3xC6.mp4,RREEPPLLAACCEE/MA/kI/MAkI40xB3xC6_small.mp4
Unavailable,33.8016,112.0017,578.147,Above Sea Level,2020-11-07,04:11:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAkJpUqT6tGo.json,MA,RREEPPLLAACCEE/MA/kJ/MAkJpUqT6tGo.mp4,RREEPPLLAACCEE/MA/kJ/MAkJpUqT6tGo_small.mp4
Unavailable,57.1704,135.2705,10.75,Above Sea Level,2019-06-28,18:53:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAkrEsAvOKSz.json,MA,RREEPPLLAACCEE/MA/kr/MAkrEsAvOKSz.mp4,RREEPPLLAACCEE/MA/kr/MAkrEsAvOKSz_small.mp4
Unavailable,29.9991,90.1290,0.759,Above Sea Level,2020-11-10,19:32:47,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAy2hrZRfJ4l.json,MA,RREEPPLLAACCEE/MA/y2/MAy2hrZRfJ4l.mp4,RREEPPLLAACCEE/MA/y2/MAy2hrZRfJ4l_small.mp4
Unavailable,40.4034,79.8948,298.076,Above Sea Level,2020-12-04,21:26:31,Apple,iPad Air (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MAzA7ZggWsSy.json,MA,RREEPPLLAACCEE/MA/zA/MAzA7ZggWsSy.mp4,RREEPPLLAACCEE/MA/zA/MAzA7ZggWsSy_small.mp4
Unavailable,36.1444,96.3502,252.809,Above Sea Level,2020-11-07,04:02:26,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma2QnnlKZ3sF.json,Ma,RREEPPLLAACCEE/Ma/2Q/Ma2QnnlKZ3sF.mp4,RREEPPLLAACCEE/Ma/2Q/Ma2QnnlKZ3sF_small.mp4
Unavailable,34.2147,119.1842,0,Unavailable,2020-11-23,00:44:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma2VbtdAcxJp.json,Ma,RREEPPLLAACCEE/Ma/2V/Ma2VbtdAcxJp.mp4,RREEPPLLAACCEE/Ma/2V/Ma2VbtdAcxJp_small.mp4
Unavailable,53.6680,113.3168,670.248,Above Sea Level,2020-11-01,19:05:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma2dCdAgMkzL.json,Ma,RREEPPLLAACCEE/Ma/2d/Ma2dCdAgMkzL.mp4,RREEPPLLAACCEE/Ma/2d/Ma2dCdAgMkzL_small.mp4
Unavailable,26.1747,50.1512,2.132,Above Sea Level,2020-09-23,13:59:58,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma4AroQWfjvX.json,Ma,RREEPPLLAACCEE/Ma/4A/Ma4AroQWfjvX.mp4,RREEPPLLAACCEE/Ma/4A/Ma4AroQWfjvX_small.mp4
Unavailable,28.2386,80.7506,8.331,Above Sea Level,2021-01-02,03:15:58,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma6Ry9LPeVDQ.json,Ma,RREEPPLLAACCEE/Ma/6R/Ma6Ry9LPeVDQ.mp4,RREEPPLLAACCEE/Ma/6R/Ma6Ry9LPeVDQ_small.mp4
Unavailable,40.8207,98.0355,549.226,Above Sea Level,2020-11-14,21:27:41,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma6e013ZzQly.json,Ma,RREEPPLLAACCEE/Ma/6e/Ma6e013ZzQly.mp4,RREEPPLLAACCEE/Ma/6e/Ma6e013ZzQly_small.mp4
Unavailable,47.1457,122.2785,0,Unavailable,2020-11-22,20:55:03,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Ma9Y6tFHHbNU.json,Ma,RREEPPLLAACCEE/Ma/9Y/Ma9Y6tFHHbNU.mp4,RREEPPLLAACCEE/Ma/9Y/Ma9Y6tFHHbNU_small.mp4
Unavailable,39.1652,84.8074,150.458,Above Sea Level,2020-11-14,16:10:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaCjUJS2rPst.json,Ma,RREEPPLLAACCEE/Ma/Cj/MaCjUJS2rPst.mp4,RREEPPLLAACCEE/Ma/Cj/MaCjUJS2rPst_small.mp4
Unavailable,36.6318,87.3980,170.779,Above Sea Level,2020-12-31,02:48:42,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaFBnmise5QW.json,Ma,RREEPPLLAACCEE/Ma/FB/MaFBnmise5QW.mp4,RREEPPLLAACCEE/Ma/FB/MaFBnmise5QW_small.mp4
Unavailable,25.9773,80.3414,2.497,Above Sea Level,2020-11-08,16:07:14,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaFNwg3Ky1Ge.json,Ma,RREEPPLLAACCEE/Ma/FN/MaFNwg3Ky1Ge.mp4,RREEPPLLAACCEE/Ma/FN/MaFNwg3Ky1Ge_small.mp4
Unavailable,34.0951,116.4851,1031.089,Above Sea Level,2020-12-02,21:43:48,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaMtcgqgLzCQ.json,Ma,RREEPPLLAACCEE/Ma/Mt/MaMtcgqgLzCQ.mp4,RREEPPLLAACCEE/Ma/Mt/MaMtcgqgLzCQ_small.mp4
Unavailable,37.8293,76.9147,49.211,Above Sea Level,2020-10-03,22:46:24,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaNGRJSvQER0.json,Ma,RREEPPLLAACCEE/Ma/NG/MaNGRJSvQER0.mp4,RREEPPLLAACCEE/Ma/NG/MaNGRJSvQER0_small.mp4
Unavailable,38.8957,77.0311,6.378,Above Sea Level,2020-12-12,17:56:49,Apple,iPad Pro (11-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaNzEGeIPy8X.json,Ma,RREEPPLLAACCEE/Ma/Nz/MaNzEGeIPy8X.mp4,RREEPPLLAACCEE/Ma/Nz/MaNzEGeIPy8X_small.mp4
Unavailable,47.7689,122.3335,137.977,Above Sea Level,2020-11-20,22:47:31,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaSEUFPgg5cX.json,Ma,RREEPPLLAACCEE/Ma/SE/MaSEUFPgg5cX.mp4,RREEPPLLAACCEE/Ma/SE/MaSEUFPgg5cX_small.mp4
Unavailable,30.2859,81.5136,0,Unavailable,2020-11-10,18:51:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaX8Wvl0STLo.json,Ma,RREEPPLLAACCEE/Ma/X8/MaX8Wvl0STLo.mp4,RREEPPLLAACCEE/Ma/X8/MaX8Wvl0STLo_small.mp4
Unavailable,30.4601,90.0642,10.244,Above Sea Level,2020-07-10,18:07:01,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaZNNsaaAPbn.json,Ma,RREEPPLLAACCEE/Ma/ZN/MaZNNsaaAPbn.mp4,RREEPPLLAACCEE/Ma/ZN/MaZNNsaaAPbn_small.mp4
Unavailable,52.2809,9.3722,0,Unavailable,2020-06-26,09:09:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaafVMWmngxq.json,Ma,RREEPPLLAACCEE/Ma/af/MaafVMWmngxq.mp4,RREEPPLLAACCEE/Ma/af/MaafVMWmngxq_small.mp4
Unavailable,33.4229,111.7309,405.659,Above Sea Level,2020-09-07,04:26:01,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MaalVELQTiUl.json,Ma,RREEPPLLAACCEE/Ma/al/MaalVELQTiUl.mp4,RREEPPLLAACCEE/Ma/al/MaalVELQTiUl_small.mp4
Unavailable,42.8995,87.8664,214.81,Above Sea Level,2020-12-16,17:06:42,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Mac11jfwYaXq.json,Ma,RREEPPLLAACCEE/Ma/c1/Mac11jfwYaXq.mp4,RREEPPLLAACCEE/Ma/c1/Mac11jfwYaXq_small.mp4
Unavailable,31.5631,97.1954,168.9,Above Sea Level,2020-12-03,21:03:01,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MacGAkrZD1ZI.json,Ma,RREEPPLLAACCEE/Ma/cG/MacGAkrZD1ZI.mp4,RREEPPLLAACCEE/Ma/cG/MacGAkrZD1ZI_small.mp4
Unavailable,30.2873,87.5303,0.499,Below Sea Level,2020-07-05,18:42:31,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MadVrSCXUnVH.json,Ma,RREEPPLLAACCEE/Ma/dV/MadVrSCXUnVH.mp4,RREEPPLLAACCEE/Ma/dV/MadVrSCXUnVH_small.mp4
Unavailable,41.1228,81.4001,356.456,Above Sea Level,2020-07-21,21:16:35,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MakecEAKu1OW.json,Ma,RREEPPLLAACCEE/Ma/ke/MakecEAKu1OW.mp4,RREEPPLLAACCEE/Ma/ke/MakecEAKu1OW_small.mp4
