Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
justi,0,0,0,Unavailable,2020-09-15,19:00:07,Unavailable,Unavailable,Unavailable,Unavailable,justi,justi,justi,meta-NSMQbbVIFXD1.json,NS,RREEPPLLAACCEE/NS/MQ/NSMQbbVIFXD1.mp4,RREEPPLLAACCEE/NS/MQ/NSMQbbVIFXD1_small.mp4
phruz,0,0,0,Unavailable,2021-01-07,19:15:32,Unavailable,Unavailable,Unavailable,Unavailable,phruz,phruz,phruz,meta-NSd47tDwnNQi.json,NS,RREEPPLLAACCEE/NS/d4/NSd47tDwnNQi.mp4,RREEPPLLAACCEE/NS/d4/NSd47tDwnNQi_small.mp4
bells,0,0,0,Unavailable,2020-11-30,22:42:17,Unavailable,Unavailable,Unavailable,Unavailable,bells,bells,bells,meta-NshmL5b52N98.json,Ns,RREEPPLLAACCEE/Ns/hm/NshmL5b52N98.mp4,RREEPPLLAACCEE/Ns/hm/NshmL5b52N98_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-14,14:49:54,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-NswOPalZAeaM.json,Ns,RREEPPLLAACCEE/Ns/wO/NswOPalZAeaM.mp4,RREEPPLLAACCEE/Ns/wO/NswOPalZAeaM_small.mp4
Unavailable,35.2557,80.6439,0,Unavailable,2020-12-18,01:52:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NS8bkc6XxU4Y.json,NS,RREEPPLLAACCEE/NS/8b/NS8bkc6XxU4Y.mp4,RREEPPLLAACCEE/NS/8b/NS8bkc6XxU4Y_small.mp4
Unavailable,30.3901,97.8716,318.407,Above Sea Level,2020-11-06,02:45:32,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSD32YPLB8WA.json,NS,RREEPPLLAACCEE/NS/D3/NSD32YPLB8WA.mp4,RREEPPLLAACCEE/NS/D3/NSD32YPLB8WA_small.mp4
Unavailable,33.0209,97.3048,195.266,Above Sea Level,2020-07-17,15:49:27,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSHGr2bDJbK5.json,NS,RREEPPLLAACCEE/NS/HG/NSHGr2bDJbK5.mp4,RREEPPLLAACCEE/NS/HG/NSHGr2bDJbK5_small.mp4
Unavailable,32.9195,97.0774,204.483,Above Sea Level,2020-11-18,22:55:16,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSNBcStdQHel.json,NS,RREEPPLLAACCEE/NS/NB/NSNBcStdQHel.mp4,RREEPPLLAACCEE/NS/NB/NSNBcStdQHel_small.mp4
Unavailable,42.2398,85.5001,0,Unavailable,2020-07-10,15:22:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSQXjZChoFRp.json,NS,RREEPPLLAACCEE/NS/QX/NSQXjZChoFRp.mp4,RREEPPLLAACCEE/NS/QX/NSQXjZChoFRp_small.mp4
Unavailable,40.8172,81.3702,346.118,Above Sea Level,2020-12-14,17:39:31,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSap8evBVeBL.json,NS,RREEPPLLAACCEE/NS/ap/NSap8evBVeBL.mp4,RREEPPLLAACCEE/NS/ap/NSap8evBVeBL_small.mp4
Unavailable,25.8537,80.2958,2.599,Above Sea Level,2020-12-19,00:25:14,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSnLh4kejSLp.json,NS,RREEPPLLAACCEE/NS/nL/NSnLh4kejSLp.mp4,RREEPPLLAACCEE/NS/nL/NSnLh4kejSLp_small.mp4
Unavailable,33.2096,96.9376,169.629,Above Sea Level,2020-10-26,19:50:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSnwuhVqNP67.json,NS,RREEPPLLAACCEE/NS/nw/NSnwuhVqNP67.mp4,RREEPPLLAACCEE/NS/nw/NSnwuhVqNP67_small.mp4
Unavailable,41.7419,111.8154,1444.58,Above Sea Level,2020-11-20,03:25:32,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NSp4r0mbrIV5.json,NS,RREEPPLLAACCEE/NS/p4/NSp4r0mbrIV5.mp4,RREEPPLLAACCEE/NS/p4/NSp4r0mbrIV5_small.mp4
