Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
beckyyeh,0,0,0,Unavailable,2020-09-08,16:39:06,Panasonic,,Unavailable,Unavailable,beckyyeh,beckyyeh,beckyyeh,meta-FJ62fReLw9rJ.json,FJ,RREEPPLLAACCEE/FJ/62/FJ62fReLw9rJ.mp4,RREEPPLLAACCEE/FJ/62/FJ62fReLw9rJ_small.mp4
JB,0,0,0,Unavailable,2020-07-29,13:27:38,Unavailable,Unavailable,Unavailable,Unavailable,JB,JB,JB,meta-Fj3Ds5AwfFB2.json,Fj,RREEPPLLAACCEE/Fj/3D/Fj3Ds5AwfFB2.mp4,RREEPPLLAACCEE/Fj/3D/Fj3Ds5AwfFB2_small.mp4
tades,0,0,0,Unavailable,2021-01-07,08:50:44,Unavailable,Unavailable,Unavailable,Unavailable,tades,tades,tades,meta-Fj5OsMN7Uh35.json,Fj,RREEPPLLAACCEE/Fj/5O/Fj5OsMN7Uh35.mp4,RREEPPLLAACCEE/Fj/5O/Fj5OsMN7Uh35_small.mp4
Chopper Sosa,0,0,0,Unavailable,2020-12-21,17:31:59,Unavailable,Unavailable,Unavailable,Unavailable,Chopper Sosa,Chopper Sosa,Chopper Sosa,meta-FjVqhNMa4M6D.json,Fj,RREEPPLLAACCEE/Fj/Vq/FjVqhNMa4M6D.mp4,RREEPPLLAACCEE/Fj/Vq/FjVqhNMa4M6D_small.mp4
rafestewart,0,0,0,Unavailable,2019-04-07,18:01:15,Unavailable,Unavailable,Unavailable,Unavailable,rafestewart,rafestewart,rafestewart,meta-FjvatKowqgDa.json,Fj,RREEPPLLAACCEE/Fj/va/FjvatKowqgDa.mp4,RREEPPLLAACCEE/Fj/va/FjvatKowqgDa_small.mp4
melaniebuchanan,0,0,0,Unavailable,2020-12-04,02:49:28,Unavailable,,Unavailable,Unavailable,melaniebuchanan,melaniebuchanan,melaniebuchanan,meta-fJN48hcO1zf9.json,fJ,RREEPPLLAACCEE/fJ/N4/fJN48hcO1zf9.mp4,RREEPPLLAACCEE/fJ/N4/fJN48hcO1zf9_small.mp4
vinhsonnguyen,0,0,0,Unavailable,2019-09-05,20:58:14,Unavailable,Unavailable,Unavailable,Unavailable,PremiumBeat,Joska,Joska,meta-fJz3MhR4OOQn.json,fJ,RREEPPLLAACCEE/fJ/z3/fJz3MhR4OOQn.mp4,RREEPPLLAACCEE/fJ/z3/fJz3MhR4OOQn_small.mp4
nicksidor,0,0,0,Unavailable,2020-12-31,19:46:12,Unavailable,,Unavailable,Unavailable,nicksidor,nicksidor,nicksidor,meta-fjN1Usc81cWA.json,fj,RREEPPLLAACCEE/fj/N1/fjN1Usc81cWA.mp4,RREEPPLLAACCEE/fj/N1/fjN1Usc81cWA_small.mp4
Jerry,0,0,0,Unavailable,2020-12-03,15:40:51,Canon,,Unavailable,Unavailable,Jerry,Jerry,Jerry,meta-fjY0wOqaO3oG.json,fj,RREEPPLLAACCEE/fj/Y0/fjY0wOqaO3oG.mp4,RREEPPLLAACCEE/fj/Y0/fjY0wOqaO3oG_small.mp4
Unavailable,38.8955,77.0311,5.764,Above Sea Level,2020-11-14,16:45:22,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJ0QZAt1Y0nU.json,FJ,RREEPPLLAACCEE/FJ/0Q/FJ0QZAt1Y0nU.mp4,RREEPPLLAACCEE/FJ/0Q/FJ0QZAt1Y0nU_small.mp4
Unavailable,40.4115,111.8909,1380.03,Above Sea Level,2020-10-31,20:19:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJ2wyzGkZlu0.json,FJ,RREEPPLLAACCEE/FJ/2w/FJ2wyzGkZlu0.mp4,RREEPPLLAACCEE/FJ/2w/FJ2wyzGkZlu0_small.mp4
Unavailable,40.9856,74.0360,21.072,Above Sea Level,2020-08-31,22:53:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJ5wNJJzg5TN.json,FJ,RREEPPLLAACCEE/FJ/5w/FJ5wNJJzg5TN.mp4,RREEPPLLAACCEE/FJ/5w/FJ5wNJJzg5TN_small.mp4
Unavailable,34.4564,87.2927,0,Unavailable,2020-12-27,18:47:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJ6u269JC3ME.json,FJ,RREEPPLLAACCEE/FJ/6u/FJ6u269JC3ME.mp4,RREEPPLLAACCEE/FJ/6u/FJ6u269JC3ME_small.mp4
Unavailable,26.3115,80.2539,8.351,Above Sea Level,2020-11-21,15:40:20,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJ8xSr8OXf5D.json,FJ,RREEPPLLAACCEE/FJ/8x/FJ8xSr8OXf5D.mp4,RREEPPLLAACCEE/FJ/8x/FJ8xSr8OXf5D_small.mp4
Unavailable,39.7821,86.0345,261.847,Above Sea Level,2020-12-14,02:19:21,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJAPLHe3rkyg.json,FJ,RREEPPLLAACCEE/FJ/AP/FJAPLHe3rkyg.mp4,RREEPPLLAACCEE/FJ/AP/FJAPLHe3rkyg_small.mp4
Unavailable,35.9807,115.0933,781.367,Above Sea Level,2021-01-08,21:57:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJDLKK2N8FB6.json,FJ,RREEPPLLAACCEE/FJ/DL/FJDLKK2N8FB6.mp4,RREEPPLLAACCEE/FJ/DL/FJDLKK2N8FB6_small.mp4
Unavailable,31.5631,97.1955,165.544,Above Sea Level,2020-12-13,01:01:49,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJFv1NmiRl0f.json,FJ,RREEPPLLAACCEE/FJ/Fv/FJFv1NmiRl0f.mp4,RREEPPLLAACCEE/FJ/Fv/FJFv1NmiRl0f_small.mp4
Unavailable,32.0024,81.1053,6.492,Above Sea Level,2020-11-14,15:58:34,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJJHMLCeohSD.json,FJ,RREEPPLLAACCEE/FJ/JH/FJJHMLCeohSD.mp4,RREEPPLLAACCEE/FJ/JH/FJJHMLCeohSD_small.mp4
Unavailable,43.4620,71.3061,225.045,Above Sea Level,2020-11-09,20:30:32,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJK7D4YV3tVv.json,FJ,RREEPPLLAACCEE/FJ/K7/FJK7D4YV3tVv.mp4,RREEPPLLAACCEE/FJ/K7/FJK7D4YV3tVv_small.mp4
Unavailable,40.2953,78.7624,616.939,Above Sea Level,2021-01-06,21:14:29,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJMQn0iFm2NC.json,FJ,RREEPPLLAACCEE/FJ/MQ/FJMQn0iFm2NC.mp4,RREEPPLLAACCEE/FJ/MQ/FJMQn0iFm2NC_small.mp4
Unavailable,37.4144,79.1431,0,Unavailable,2020-10-23,16:56:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJQhpVY7kuJl.json,FJ,RREEPPLLAACCEE/FJ/Qh/FJQhpVY7kuJl.mp4,RREEPPLLAACCEE/FJ/Qh/FJQhpVY7kuJl_small.mp4
Unavailable,40.4143,88.9576,238.163,Above Sea Level,2020-07-02,15:10:32,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJUjkICxRMyr.json,FJ,RREEPPLLAACCEE/FJ/Uj/FJUjkICxRMyr.mp4,RREEPPLLAACCEE/FJ/Uj/FJUjkICxRMyr_small.mp4
Unavailable,33.8608,112.1442,686.493,Above Sea Level,2020-09-05,19:04:11,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FJgqqOrZiGiM.json,FJ,RREEPPLLAACCEE/FJ/gq/FJgqqOrZiGiM.mp4,RREEPPLLAACCEE/FJ/gq/FJgqqOrZiGiM_small.mp4
