Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
colbym,0,0,0,Unavailable,2020-11-18,21:54:15,Unavailable,Unavailable,Unavailable,Unavailable,colbym,colbym,colbym,meta-S0hgNpjqbNqJ.json,S0,RREEPPLLAACCEE/S0/hg/S0hgNpjqbNqJ.mp4,RREEPPLLAACCEE/S0/hg/S0hgNpjqbNqJ_small.mp4
Johnson,0,0,0,Unavailable,2020-10-28,10:21:27,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-S0i32IGVZyIa.json,S0,RREEPPLLAACCEE/S0/i3/S0i32IGVZyIa.mp4,RREEPPLLAACCEE/S0/i3/S0i32IGVZyIa_small.mp4
Unavailable,35.2207,86.1374,0,Unavailable,2020-12-05,00:41:43,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S00SqULxmvIf.json,S0,RREEPPLLAACCEE/S0/0S/S00SqULxmvIf.mp4,RREEPPLLAACCEE/S0/0S/S00SqULxmvIf_small.mp4
Unavailable,42.5756,114.4587,1128.419,Above Sea Level,2020-12-21,04:23:04,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S06CzT5mnnUR.json,S0,RREEPPLLAACCEE/S0/6C/S06CzT5mnnUR.mp4,RREEPPLLAACCEE/S0/6C/S06CzT5mnnUR_small.mp4
Unavailable,45.3108,96.4409,332.611,Above Sea Level,2020-08-24,23:12:22,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S08yGRkCkoWF.json,S0,RREEPPLLAACCEE/S0/8y/S08yGRkCkoWF.mp4,RREEPPLLAACCEE/S0/8y/S08yGRkCkoWF_small.mp4
Unavailable,29.5132,95.2175,0,Unavailable,2020-07-28,23:09:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0ITehJlQ68W.json,S0,RREEPPLLAACCEE/S0/IT/S0ITehJlQ68W.mp4,RREEPPLLAACCEE/S0/IT/S0ITehJlQ68W_small.mp4
Unavailable,28.3354,82.6838,6.752,Above Sea Level,2020-12-08,22:33:21,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0L7T8ETEjPx.json,S0,RREEPPLLAACCEE/S0/L7/S0L7T8ETEjPx.mp4,RREEPPLLAACCEE/S0/L7/S0L7T8ETEjPx_small.mp4
Unavailable,36.9287,86.4134,175.059,Above Sea Level,2020-11-26,15:18:57,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0NV3SqL8lG2.json,S0,RREEPPLLAACCEE/S0/NV/S0NV3SqL8lG2.mp4,RREEPPLLAACCEE/S0/NV/S0NV3SqL8lG2_small.mp4
Unavailable,38.8918,77.0365,0,Unavailable,2021-01-06,12:22:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0RLaNltewMK.json,S0,RREEPPLLAACCEE/S0/RL/S0RLaNltewMK.mp4,RREEPPLLAACCEE/S0/RL/S0RLaNltewMK_small.mp4
Unavailable,40.5927,122.3580,190.605,Above Sea Level,2020-12-14,01:30:45,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0UsSRUM4yM8.json,S0,RREEPPLLAACCEE/S0/Us/S0UsSRUM4yM8.mp4,RREEPPLLAACCEE/S0/Us/S0UsSRUM4yM8_small.mp4
Unavailable,35.9348,86.8834,201.634,Above Sea Level,2020-11-07,03:34:54,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0cEroDi5M7m.json,S0,RREEPPLLAACCEE/S0/cE/S0cEroDi5M7m.mp4,RREEPPLLAACCEE/S0/cE/S0cEroDi5M7m_small.mp4
Unavailable,44.5020,96.4083,545,Above Sea Level,2019-09-08,01:28:54,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0cboRBe1FnC.json,S0,RREEPPLLAACCEE/S0/cb/S0cboRBe1FnC.mp4,RREEPPLLAACCEE/S0/cb/S0cboRBe1FnC_small.mp4
Unavailable,43.6702,116.6926,721.026,Above Sea Level,2020-12-24,17:30:24,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0fqj0EeugmO.json,S0,RREEPPLLAACCEE/S0/fq/S0fqj0EeugmO.mp4,RREEPPLLAACCEE/S0/fq/S0fqj0EeugmO_small.mp4
Unavailable,26.2603,80.0833,1.53,Above Sea Level,2020-12-26,22:32:45,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0kTQuGLJSKr.json,S0,RREEPPLLAACCEE/S0/kT/S0kTQuGLJSKr.mp4,RREEPPLLAACCEE/S0/kT/S0kTQuGLJSKr_small.mp4
Unavailable,47.1675,113.4707,1231.918,Above Sea Level,2020-11-11,20:58:03,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-S0rcDxtYg0av.json,S0,RREEPPLLAACCEE/S0/rc/S0rcDxtYg0av.mp4,RREEPPLLAACCEE/S0/rc/S0rcDxtYg0av_small.mp4
Unavailable,47.1092,122.2192,50.061,Above Sea Level,2020-12-02,06:26:44,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s022dbTl0f7g.json,s0,RREEPPLLAACCEE/s0/22/s022dbTl0f7g.mp4,RREEPPLLAACCEE/s0/22/s022dbTl0f7g_small.mp4
Unavailable,37.5723,84.9303,290.564,Above Sea Level,2020-08-26,18:40:09,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s02mYj0LpeW7.json,s0,RREEPPLLAACCEE/s0/2m/s02mYj0LpeW7.mp4,RREEPPLLAACCEE/s0/2m/s02mYj0LpeW7_small.mp4
Unavailable,30.0704,98.0594,374.97,Above Sea Level,2019-12-31,21:34:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0581c4Lyw0G.json,s0,RREEPPLLAACCEE/s0/58/s0581c4Lyw0G.mp4,RREEPPLLAACCEE/s0/58/s0581c4Lyw0G_small.mp4
Unavailable,28.2319,81.2699,23.383,Above Sea Level,2020-11-11,00:29:02,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s06gdE1mNxGu.json,s0,RREEPPLLAACCEE/s0/6g/s06gdE1mNxGu.mp4,RREEPPLLAACCEE/s0/6g/s06gdE1mNxGu_small.mp4
Unavailable,33.7754,118.0591,0,Unavailable,2020-11-28,04:24:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s06iMr30xEfn.json,s0,RREEPPLLAACCEE/s0/6i/s06iMr30xEfn.mp4,RREEPPLLAACCEE/s0/6i/s06iMr30xEfn_small.mp4
Unavailable,35.1363,78.8814,65.672,Above Sea Level,2021-01-07,23:54:06,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0DU2E2Ztk7H.json,s0,RREEPPLLAACCEE/s0/DU/s0DU2E2Ztk7H.mp4,RREEPPLLAACCEE/s0/DU/s0DU2E2Ztk7H_small.mp4
Unavailable,35.3559,80.6809,208.251,Above Sea Level,2020-12-14,01:04:37,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0I9JWe98Wud.json,s0,RREEPPLLAACCEE/s0/I9/s0I9JWe98Wud.mp4,RREEPPLLAACCEE/s0/I9/s0I9JWe98Wud_small.mp4
Unavailable,30.1906,85.7691,5.336,Above Sea Level,2020-11-20,00:17:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0OT3AQRE4YE.json,s0,RREEPPLLAACCEE/s0/OT/s0OT3AQRE4YE.mp4,RREEPPLLAACCEE/s0/OT/s0OT3AQRE4YE_small.mp4
Unavailable,32.3707,86.1734,80.329,Above Sea Level,2019-11-21,04:43:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0T1mKh55cPR.json,s0,RREEPPLLAACCEE/s0/T1/s0T1mKh55cPR.mp4,RREEPPLLAACCEE/s0/T1/s0T1mKh55cPR_small.mp4
Unavailable,25.8789,80.2777,3.25,Above Sea Level,2020-11-21,18:44:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0TcRmY5WPb3.json,s0,RREEPPLLAACCEE/s0/Tc/s0TcRmY5WPb3.mp4,RREEPPLLAACCEE/s0/Tc/s0TcRmY5WPb3_small.mp4
Unavailable,21.2761,157.8268,2.245,Above Sea Level,2020-12-09,01:39:57,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0ZgAUBUAdCp.json,s0,RREEPPLLAACCEE/s0/Zg/s0ZgAUBUAdCp.mp4,RREEPPLLAACCEE/s0/Zg/s0ZgAUBUAdCp_small.mp4
Unavailable,35.1446,84.5992,554.215,Above Sea Level,2020-12-15,21:54:42,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0e5HfoGLDpo.json,s0,RREEPPLLAACCEE/s0/e5/s0e5HfoGLDpo.mp4,RREEPPLLAACCEE/s0/e5/s0e5HfoGLDpo_small.mp4
Unavailable,39.0744,82.5727,244.25,Above Sea Level,2020-11-27,01:47:46,Apple,iPad Pro (11-inch),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0hWfOu4jL4h.json,s0,RREEPPLLAACCEE/s0/hW/s0hWfOu4jL4h.mp4,RREEPPLLAACCEE/s0/hW/s0hWfOu4jL4h_small.mp4
Unavailable,34.5742,84.4610,425.228,Above Sea Level,2020-08-28,23:55:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0hu6CPh2kEI.json,s0,RREEPPLLAACCEE/s0/hu/s0hu6CPh2kEI.mp4,RREEPPLLAACCEE/s0/hu/s0hu6CPh2kEI_small.mp4
Unavailable,37.5344,80.2139,0,Unavailable,2020-10-17,12:08:45,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0ivG4f3cWMz.json,s0,RREEPPLLAACCEE/s0/iv/s0ivG4f3cWMz.mp4,RREEPPLLAACCEE/s0/iv/s0ivG4f3cWMz_small.mp4
Unavailable,45.4265,75.6944,64.66,Above Sea Level,2020-07-01,16:36:11,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0jpzogx3fIw.json,s0,RREEPPLLAACCEE/s0/jp/s0jpzogx3fIw.mp4,RREEPPLLAACCEE/s0/jp/s0jpzogx3fIw_small.mp4
Unavailable,30.2346,97.7210,150.899,Above Sea Level,2020-08-23,18:50:40,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0l9yRR9yYcb.json,s0,RREEPPLLAACCEE/s0/l9/s0l9yRR9yYcb.mp4,RREEPPLLAACCEE/s0/l9/s0l9yRR9yYcb_small.mp4
Unavailable,40.9284,73.7759,29.041,Above Sea Level,2020-12-06,18:01:43,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0nOeA4s4COm.json,s0,RREEPPLLAACCEE/s0/nO/s0nOeA4s4COm.mp4,RREEPPLLAACCEE/s0/nO/s0nOeA4s4COm_small.mp4
Unavailable,47.2405,122.7605,6.86,Above Sea Level,2019-07-28,03:41:57,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0qAj0d3nTK9.json,s0,RREEPPLLAACCEE/s0/qA/s0qAj0d3nTK9.mp4,RREEPPLLAACCEE/s0/qA/s0qAj0d3nTK9_small.mp4
Unavailable,40.7120,111.7519,2306.183,Above Sea Level,2020-12-29,20:53:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-s0tL86Nk6QK1.json,s0,RREEPPLLAACCEE/s0/tL/s0tL86Nk6QK1.mp4,RREEPPLLAACCEE/s0/tL/s0tL86Nk6QK1_small.mp4
