Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
pipehat,0,0,0,Unavailable,2020-11-13,16:04:18,Unavailable,Unavailable,Unavailable,Unavailable,pipehat,pipehat,pipehat,meta-g96woFUVBKHm.json,g9,RREEPPLLAACCEE/g9/6w/g96woFUVBKHm.mp4,RREEPPLLAACCEE/g9/6w/g96woFUVBKHm_small.mp4
Unavailable,30.3095,97.6723,165.94,Above Sea Level,2020-12-07,18:53:49,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G93Wl37D2T6E.json,G9,RREEPPLLAACCEE/G9/3W/G93Wl37D2T6E.mp4,RREEPPLLAACCEE/G9/3W/G93Wl37D2T6E_small.mp4
Unavailable,35.1572,106.6780,1524.329,Above Sea Level,2020-07-20,23:21:42,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G95wnnCgwucx.json,G9,RREEPPLLAACCEE/G9/5w/G95wnnCgwucx.mp4,RREEPPLLAACCEE/G9/5w/G95wnnCgwucx_small.mp4
Unavailable,41.7264,71.5760,85.461,Above Sea Level,2021-01-06,00:37:21,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G96V4dMieoPE.json,G9,RREEPPLLAACCEE/G9/6V/G96V4dMieoPE.mp4,RREEPPLLAACCEE/G9/6V/G96V4dMieoPE_small.mp4
Unavailable,26.4610,81.8090,7.8,Above Sea Level,2020-12-23,05:39:02,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G96eQrcxRyap.json,G9,RREEPPLLAACCEE/G9/6e/G96eQrcxRyap.mp4,RREEPPLLAACCEE/G9/6e/G96eQrcxRyap_small.mp4
Unavailable,38.1368,90.5546,0,Unavailable,2020-12-23,00:02:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G97kX2kxMRRu.json,G9,RREEPPLLAACCEE/G9/7k/G97kX2kxMRRu.mp4,RREEPPLLAACCEE/G9/7k/G97kX2kxMRRu_small.mp4
Unavailable,33.0404,96.8528,197.635,Above Sea Level,2021-01-01,00:24:16,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G9IODxosBVD8.json,G9,RREEPPLLAACCEE/G9/IO/G9IODxosBVD8.mp4,RREEPPLLAACCEE/G9/IO/G9IODxosBVD8_small.mp4
Unavailable,34.5609,82.6934,221.894,Above Sea Level,2020-09-25,17:32:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G9Mq087FEZav.json,G9,RREEPPLLAACCEE/G9/Mq/G9Mq087FEZav.mp4,RREEPPLLAACCEE/G9/Mq/G9Mq087FEZav_small.mp4
Unavailable,34.0452,118.2608,0,Unavailable,2021-01-04,23:10:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G9RYRcjsD2QX.json,G9,RREEPPLLAACCEE/G9/RY/G9RYRcjsD2QX.mp4,RREEPPLLAACCEE/G9/RY/G9RYRcjsD2QX_small.mp4
Unavailable,41.1053,100.9017,0,Unavailable,2020-11-21,10:55:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-G9X7sLutrnhK.json,G9,RREEPPLLAACCEE/G9/X7/G9X7sLutrnhK.mp4,RREEPPLLAACCEE/G9/X7/G9X7sLutrnhK_small.mp4
