Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Admin,0,0,0,Unavailable,2020-09-15,07:22:41,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-1DQBNTxT6NBg.json,1D,RREEPPLLAACCEE/1D/QB/1DQBNTxT6NBg.mp4,RREEPPLLAACCEE/1D/QB/1DQBNTxT6NBg_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-05,12:20:19,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-1Ddc2V5qDB2l.json,1D,RREEPPLLAACCEE/1D/dc/1Ddc2V5qDB2l.mp4,RREEPPLLAACCEE/1D/dc/1Ddc2V5qDB2l_small.mp4
jamescawley,0,0,0,Unavailable,2019-06-14,16:16:10,Unavailable,Unavailable,Unavailable,Unavailable,jamescawley,jamescawley,jamescawley,meta-1dZnrP3UwEl3.json,1d,RREEPPLLAACCEE/1d/Zn/1dZnrP3UwEl3.mp4,RREEPPLLAACCEE/1d/Zn/1dZnrP3UwEl3_small.mp4
Vinicius Rosa,0,0,0,Unavailable,2020-07-18,00:32:51,Unavailable,Unavailable,Unavailable,Unavailable,Vinicius Rosa,Vinicius Rosa,Vinicius Rosa,meta-1deZZ9qpzCGy.json,1d,RREEPPLLAACCEE/1d/eZ/1deZZ9qpzCGy.mp4,RREEPPLLAACCEE/1d/eZ/1deZZ9qpzCGy_small.mp4
Unavailable,36.4482,87.4495,145.471,Above Sea Level,2021-01-01,17:31:36,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1D1QthMtSjIa.json,1D,RREEPPLLAACCEE/1D/1Q/1D1QthMtSjIa.mp4,RREEPPLLAACCEE/1D/1Q/1D1QthMtSjIa_small.mp4
Unavailable,30.2725,97.7409,162.685,Above Sea Level,2021-01-06,18:38:40,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1D3ShOU2lpuk.json,1D,RREEPPLLAACCEE/1D/3S/1D3ShOU2lpuk.mp4,RREEPPLLAACCEE/1D/3S/1D3ShOU2lpuk_small.mp4
Unavailable,33.9173,117.9554,0,Unavailable,2020-10-17,21:02:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1DA9Fiy1RJe8.json,1D,RREEPPLLAACCEE/1D/A9/1DA9Fiy1RJe8.mp4,RREEPPLLAACCEE/1D/A9/1DA9Fiy1RJe8_small.mp4
Unavailable,39.5059,119.8077,1365.537,Above Sea Level,2020-11-25,18:54:16,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1DGwXCG7ib3Y.json,1D,RREEPPLLAACCEE/1D/Gw/1DGwXCG7ib3Y.mp4,RREEPPLLAACCEE/1D/Gw/1DGwXCG7ib3Y_small.mp4
Unavailable,32.9430,97.1579,197.293,Above Sea Level,2019-06-27,00:40:51,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1DOHmCotBsY5.json,1D,RREEPPLLAACCEE/1D/OH/1DOHmCotBsY5.mp4,RREEPPLLAACCEE/1D/OH/1DOHmCotBsY5_small.mp4
Unavailable,38.9384,94.2053,284.826,Above Sea Level,2020-10-08,19:15:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-1DTOxL8MHJVO.json,1D,RREEPPLLAACCEE/1D/TO/1DTOxL8MHJVO.mp4,RREEPPLLAACCEE/1D/TO/1DTOxL8MHJVO_small.mp4
