Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
90042,0,0,0,Unavailable,2020-11-09,14:43:42,Unavailable,,Unavailable,Unavailable,90042,90042,90042,meta-PCJ1Xhn9FgQ5.json,PC,RREEPPLLAACCEE/PC/J1/PCJ1Xhn9FgQ5.mp4,RREEPPLLAACCEE/PC/J1/PCJ1Xhn9FgQ5_small.mp4
DinoPoli,0,0,0,Unavailable,2020-08-19,16:32:23,Unavailable,Unavailable,Unavailable,Unavailable,DinoPoli,DinoPoli,DinoPoli,meta-PcPktTX8ir0Q.json,Pc,RREEPPLLAACCEE/Pc/Pk/PcPktTX8ir0Q.mp4,RREEPPLLAACCEE/Pc/Pk/PcPktTX8ir0Q_small.mp4
richardkirby,0,0,0,Unavailable,2020-03-06,15:40:53,Unavailable,Unavailable,Unavailable,Unavailable,richardkirby,richardkirby,richardkirby,meta-PcUAQ7Igsdcl.json,Pc,RREEPPLLAACCEE/Pc/UA/PcUAQ7Igsdcl.mp4,RREEPPLLAACCEE/Pc/UA/PcUAQ7Igsdcl_small.mp4
paulg,0,0,0,Unavailable,2020-10-15,23:38:47,,,,Unavailable,paulg,paulg,paulg,meta-pC92pdvCIFvI.json,pC,RREEPPLLAACCEE/pC/92/pC92pdvCIFvI.mp4,RREEPPLLAACCEE/pC/92/pC92pdvCIFvI_small.mp4
augus,0,0,0,Unavailable,2020-08-06,00:04:46,Unavailable,Unavailable,Unavailable,Unavailable,augus,augus,augus,meta-pCb4XIWcNSv5.json,pC,RREEPPLLAACCEE/pC/b4/pCb4XIWcNSv5.mp4,RREEPPLLAACCEE/pC/b4/pCb4XIWcNSv5_small.mp4
Frederic,0,0,0,Unavailable,2021-01-01,05:00:44,Canon,,,,Frederic,Frederic,Frederic,meta-pCyR64bDo2m5.json,pC,RREEPPLLAACCEE/pC/yR/pCyR64bDo2m5.mp4,RREEPPLLAACCEE/pC/yR/pCyR64bDo2m5_small.mp4
andre,0,0,0,Unavailable,2020-12-03,21:02:35,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-pcKIbXF2Lxc5.json,pc,RREEPPLLAACCEE/pc/KI/pcKIbXF2Lxc5.mp4,RREEPPLLAACCEE/pc/KI/pcKIbXF2Lxc5_small.mp4
orlandopulido,0,0,0,Unavailable,2020-11-18,21:29:52,Unavailable,Unavailable,Unavailable,Unavailable,orlandopulido,orlandopulido,orlandopulido,meta-pcSh2Dm74mVZ.json,pc,RREEPPLLAACCEE/pc/Sh/pcSh2Dm74mVZ.mp4,RREEPPLLAACCEE/pc/Sh/pcSh2Dm74mVZ_small.mp4
Unavailable,42.2927,88.3702,292.029,Above Sea Level,2020-11-14,02:40:22,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PC1Bpcq5P5Uy.json,PC,RREEPPLLAACCEE/PC/1B/PC1Bpcq5P5Uy.mp4,RREEPPLLAACCEE/PC/1B/PC1Bpcq5P5Uy_small.mp4
Unavailable,28.6169,81.4490,21.417,Above Sea Level,2020-11-29,18:48:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-PCA0aOL8XTcc.json,PC,RREEPPLLAACCEE/PC/A0/PCA0aOL8XTcc.mp4,RREEPPLLAACCEE/PC/A0/PCA0aOL8XTcc_small.mp4
