Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
ryanclo,0,0,0,Unavailable,2020-08-26,20:35:37,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-TB7IguJMaaSX.json,TB,RREEPPLLAACCEE/TB/7I/TB7IguJMaaSX.mp4,RREEPPLLAACCEE/TB/7I/TB7IguJMaaSX_small.mp4
matthew,0,0,0,Unavailable,2020-11-20,18:20:11,Unavailable,Unavailable,Unavailable,Unavailable,matthew,matthew,matthew,meta-Tb00aY1LpyTH.json,Tb,RREEPPLLAACCEE/Tb/00/Tb00aY1LpyTH.mp4,RREEPPLLAACCEE/Tb/00/Tb00aY1LpyTH_small.mp4
jolow,0,0,0,Unavailable,2020-12-15,18:02:25,Unavailable,Unavailable,Unavailable,Unavailable,jolow,jolow,jolow,meta-Tb376vp9ooEC.json,Tb,RREEPPLLAACCEE/Tb/37/Tb376vp9ooEC.mp4,RREEPPLLAACCEE/Tb/37/Tb376vp9ooEC_small.mp4
paulg,0,0,0,Unavailable,2021-01-04,04:28:06,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-Tb6HkWwCMCUr.json,Tb,RREEPPLLAACCEE/Tb/6H/Tb6HkWwCMCUr.mp4,RREEPPLLAACCEE/Tb/6H/Tb6HkWwCMCUr_small.mp4
davidwallace,0,0,0,Unavailable,2020-07-29,18:14:26,Unavailable,Unavailable,Unavailable,Unavailable,davidwallace,davidwallace,davidwallace,meta-TbzS61HmMCV5.json,Tb,RREEPPLLAACCEE/Tb/zS/TbzS61HmMCV5.mp4,RREEPPLLAACCEE/Tb/zS/TbzS61HmMCV5_small.mp4
Johnson,0,0,0,Unavailable,2020-11-14,12:31:05,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-tbZ0tBoGxhcc.json,tb,RREEPPLLAACCEE/tb/Z0/tbZ0tBoGxhcc.mp4,RREEPPLLAACCEE/tb/Z0/tbZ0tBoGxhcc_small.mp4
Johnson,0,0,0,Unavailable,2020-12-01,10:15:00,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-tbZ3RYcnm4cn.json,tb,RREEPPLLAACCEE/tb/Z3/tbZ3RYcnm4cn.mp4,RREEPPLLAACCEE/tb/Z3/tbZ3RYcnm4cn_small.mp4
Unavailable,39.1612,84.1940,261.37,Above Sea Level,2021-01-03,15:01:42,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TB7WgE7lhzgJ.json,TB,RREEPPLLAACCEE/TB/7W/TB7WgE7lhzgJ.mp4,RREEPPLLAACCEE/TB/7W/TB7WgE7lhzgJ_small.mp4
Unavailable,28.8485,82.0211,27.317,Above Sea Level,2020-08-19,17:49:15,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TB8Pq3NP1LRR.json,TB,RREEPPLLAACCEE/TB/8P/TB8Pq3NP1LRR.mp4,RREEPPLLAACCEE/TB/8P/TB8Pq3NP1LRR_small.mp4
Unavailable,41.1415,73.4940,89.807,Above Sea Level,2020-06-27,18:42:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TBAtXpwLIlLt.json,TB,RREEPPLLAACCEE/TB/At/TBAtXpwLIlLt.mp4,RREEPPLLAACCEE/TB/At/TBAtXpwLIlLt_small.mp4
Unavailable,39.2508,83.5653,315.098,Above Sea Level,2020-04-05,00:36:45,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TBE5JkF6gFAx.json,TB,RREEPPLLAACCEE/TB/E5/TBE5JkF6gFAx.mp4,RREEPPLLAACCEE/TB/E5/TBE5JkF6gFAx_small.mp4
Unavailable,37.7246,97.4869,0,Unavailable,2020-06-24,19:41:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TBEUANtqOjkg.json,TB,RREEPPLLAACCEE/TB/EU/TBEUANtqOjkg.mp4,RREEPPLLAACCEE/TB/EU/TBEUANtqOjkg_small.mp4
Unavailable,4.6996,55.5208,8.689,Above Sea Level,2020-06-26,12:41:45,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TBFfRrjTRQkB.json,TB,RREEPPLLAACCEE/TB/Ff/TBFfRrjTRQkB.mp4,RREEPPLLAACCEE/TB/Ff/TBFfRrjTRQkB_small.mp4
