Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
marklaptop,0,0,0,Unavailable,2020-09-20,04:38:56,Panasonic,,Unavailable,Unavailable,marklaptop,marklaptop,marklaptop,meta-ADkWdanZtlrc.json,AD,RREEPPLLAACCEE/AD/kW/ADkWdanZtlrc.mp4,RREEPPLLAACCEE/AD/kW/ADkWdanZtlrc_small.mp4
Josh Bartels,0,0,0,Unavailable,2020-09-03,05:58:20,Unavailable,Unavailable,Unavailable,Unavailable,Josh Bartels,Josh Bartels,Josh Bartels,meta-aDapwS4xW5Mp.json,aD,RREEPPLLAACCEE/aD/ap/aDapwS4xW5Mp.mp4,RREEPPLLAACCEE/aD/ap/aDapwS4xW5Mp_small.mp4
dansmacbookpro,0,0,0,Unavailable,2020-11-11,21:31:04,Unavailable,Unavailable,Unavailable,Unavailable,dansmacbookpro,dansmacbookpro,dansmacbookpro,meta-adBuElLJbjSc.json,ad,RREEPPLLAACCEE/ad/Bu/adBuElLJbjSc.mp4,RREEPPLLAACCEE/ad/Bu/adBuElLJbjSc_small.mp4
home,0,0,0,Unavailable,2020-08-18,11:27:11,SONY,,,,videoimacpro,videoimacpro,videoimacpro,meta-adnPi13fOoiG.json,ad,RREEPPLLAACCEE/ad/nP/adnPi13fOoiG.mp4,RREEPPLLAACCEE/ad/nP/adnPi13fOoiG_small.mp4
Unavailable,40.5428,74.1543,0,Unavailable,2020-08-22,18:55:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AD0Kqc2wXsz9.json,AD,RREEPPLLAACCEE/AD/0K/AD0Kqc2wXsz9.mp4,RREEPPLLAACCEE/AD/0K/AD0Kqc2wXsz9_small.mp4
Unavailable,43.1311,77.4469,152.49,Above Sea Level,2020-11-13,15:07:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AD4ChgZX8Dnj.json,AD,RREEPPLLAACCEE/AD/4C/AD4ChgZX8Dnj.mp4,RREEPPLLAACCEE/AD/4C/AD4ChgZX8Dnj_small.mp4
Unavailable,40.8898,74.2166,41.159,Above Sea Level,2020-08-07,19:21:36,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AD5rAyNPiOwZ.json,AD,RREEPPLLAACCEE/AD/5r/AD5rAyNPiOwZ.mp4,RREEPPLLAACCEE/AD/5r/AD5rAyNPiOwZ_small.mp4
Unavailable,32.8536,116.9705,110.543,Above Sea Level,2020-10-14,21:48:23,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADAxrdwVTOVg.json,AD,RREEPPLLAACCEE/AD/Ax/ADAxrdwVTOVg.mp4,RREEPPLLAACCEE/AD/Ax/ADAxrdwVTOVg_small.mp4
Unavailable,33.5473,97.4736,246.253,Above Sea Level,2020-11-13,23:06:08,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADFSo1hHeu3F.json,AD,RREEPPLLAACCEE/AD/FS/ADFSo1hHeu3F.mp4,RREEPPLLAACCEE/AD/FS/ADFSo1hHeu3F_small.mp4
Unavailable,38.9413,84.5465,269.353,Above Sea Level,2020-11-17,14:00:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADNUAEhSwubk.json,AD,RREEPPLLAACCEE/AD/NU/ADNUAEhSwubk.mp4,RREEPPLLAACCEE/AD/NU/ADNUAEhSwubk_small.mp4
Unavailable,34.5332,117.2401,894.425,Above Sea Level,2020-12-03,19:24:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADOST1Jf6xNq.json,AD,RREEPPLLAACCEE/AD/OS/ADOST1Jf6xNq.mp4,RREEPPLLAACCEE/AD/OS/ADOST1Jf6xNq_small.mp4
Unavailable,33.1420,97.1153,176.224,Above Sea Level,2020-11-18,04:51:19,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADQh2MRrn1xV.json,AD,RREEPPLLAACCEE/AD/Qh/ADQh2MRrn1xV.mp4,RREEPPLLAACCEE/AD/Qh/ADQh2MRrn1xV_small.mp4
Unavailable,30.1631,81.7308,16.55,Above Sea Level,2020-11-13,13:02:29,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADU6Vd8v33es.json,AD,RREEPPLLAACCEE/AD/U6/ADU6Vd8v33es.mp4,RREEPPLLAACCEE/AD/U6/ADU6Vd8v33es_small.mp4
Unavailable,39.9852,74.7972,16.458,Above Sea Level,2020-07-05,22:38:36,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADmnbAgeFVXa.json,AD,RREEPPLLAACCEE/AD/mn/ADmnbAgeFVXa.mp4,RREEPPLLAACCEE/AD/mn/ADmnbAgeFVXa_small.mp4
Unavailable,48.3263,89.3257,203.242,Above Sea Level,2020-11-09,17:14:46,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADoLmREw1G32.json,AD,RREEPPLLAACCEE/AD/oL/ADoLmREw1G32.mp4,RREEPPLLAACCEE/AD/oL/ADoLmREw1G32_small.mp4
Unavailable,42.6666,82.9261,185.504,Above Sea Level,2020-11-02,11:50:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADs6zqROLuva.json,AD,RREEPPLLAACCEE/AD/s6/ADs6zqROLuva.mp4,RREEPPLLAACCEE/AD/s6/ADs6zqROLuva_small.mp4
Unavailable,30.5403,91.1817,0,Unavailable,2020-07-29,22:04:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADuliEbZkcor.json,AD,RREEPPLLAACCEE/AD/ul/ADuliEbZkcor.mp4,RREEPPLLAACCEE/AD/ul/ADuliEbZkcor_small.mp4
Unavailable,35.0685,106.7260,1549.54,Above Sea Level,2020-08-17,13:34:05,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADv5OCzTPH8C.json,AD,RREEPPLLAACCEE/AD/v5/ADv5OCzTPH8C.mp4,RREEPPLLAACCEE/AD/v5/ADv5OCzTPH8C_small.mp4
Unavailable,34.1850,86.8579,266.237,Above Sea Level,2020-11-16,23:35:13,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ADxDUcpkmJ3r.json,AD,RREEPPLLAACCEE/AD/xD/ADxDUcpkmJ3r.mp4,RREEPPLLAACCEE/AD/xD/ADxDUcpkmJ3r_small.mp4
Unavailable,38.8896,77.0102,10.258,Above Sea Level,2021-01-07,22:06:05,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdArLzDy1ObS.json,Ad,RREEPPLLAACCEE/Ad/Ar/AdArLzDy1ObS.mp4,RREEPPLLAACCEE/Ad/Ar/AdArLzDy1ObS_small.mp4
Unavailable,42.5935,82.8728,0,Unavailable,2020-12-12,20:40:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdHnHI1bHdMy.json,Ad,RREEPPLLAACCEE/Ad/Hn/AdHnHI1bHdMy.mp4,RREEPPLLAACCEE/Ad/Hn/AdHnHI1bHdMy_small.mp4
Unavailable,32.8080,117.0079,229.478,Above Sea Level,2020-07-04,03:02:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdIAQtTltFHR.json,Ad,RREEPPLLAACCEE/Ad/IA/AdIAQtTltFHR.mp4,RREEPPLLAACCEE/Ad/IA/AdIAQtTltFHR_small.mp4
Unavailable,40.3183,79.6938,310.849,Above Sea Level,2020-09-20,14:56:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdMGKaIjg1yN.json,Ad,RREEPPLLAACCEE/Ad/MG/AdMGKaIjg1yN.mp4,RREEPPLLAACCEE/Ad/MG/AdMGKaIjg1yN_small.mp4
Unavailable,40.7819,74.3154,83.273,Above Sea Level,2020-11-01,16:39:04,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdQsaePt3gJD.json,Ad,RREEPPLLAACCEE/Ad/Qs/AdQsaePt3gJD.mp4,RREEPPLLAACCEE/Ad/Qs/AdQsaePt3gJD_small.mp4
Unavailable,33.7007,78.9416,1.975,Above Sea Level,2020-11-03,19:12:16,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-AdRVrB5y9rvA.json,Ad,RREEPPLLAACCEE/Ad/RV/AdRVrB5y9rvA.mp4,RREEPPLLAACCEE/Ad/RV/AdRVrB5y9rvA_small.mp4
