Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
tim,0,0,0,Unavailable,2020-11-24,13:56:51,Unavailable,Unavailable,Unavailable,Unavailable,joassigg,joassigg,joassigg,meta-GFATq02te7Qz.json,GF,RREEPPLLAACCEE/GF/AT/GFATq02te7Qz.mp4,RREEPPLLAACCEE/GF/AT/GFATq02te7Qz_small.mp4
edepaolis,0,0,0,Unavailable,2021-01-01,20:35:49,Unavailable,Unavailable,Unavailable,Unavailable,edepaolis,edepaolis,edepaolis,meta-GFCi6vGsUwUI.json,GF,RREEPPLLAACCEE/GF/Ci/GFCi6vGsUwUI.mp4,RREEPPLLAACCEE/GF/Ci/GFCi6vGsUwUI_small.mp4
pedro-souza.junior,0,0,0,Unavailable,2020-09-15,19:49:17,Unavailable,Unavailable,Unavailable,Unavailable,pedro-souza.junior,pedro-souza.junior,pedro-souza.junior,meta-GFSIj5qKrsLy.json,GF,RREEPPLLAACCEE/GF/SI/GFSIj5qKrsLy.mp4,RREEPPLLAACCEE/GF/SI/GFSIj5qKrsLy_small.mp4
costin,0,0,0,Unavailable,2020-12-21,16:51:39,Unavailable,Unavailable,Unavailable,Unavailable,costin,costin,costin,meta-GFy9plGbvVxj.json,GF,RREEPPLLAACCEE/GF/y9/GFy9plGbvVxj.mp4,RREEPPLLAACCEE/GF/y9/GFy9plGbvVxj_small.mp4
arthurfranceschinelli,0,0,0,Unavailable,2020-07-14,13:06:33,Unavailable,Unavailable,Unavailable,Unavailable,arthurfranceschinelli,arthurfranceschinelli,arthurfranceschinelli,meta-GfHvqWgbBEI1.json,Gf,RREEPPLLAACCEE/Gf/Hv/GfHvqWgbBEI1.mp4,RREEPPLLAACCEE/Gf/Hv/GfHvqWgbBEI1_small.mp4
dongf,0,0,0,Unavailable,2020-11-28,08:34:17,Unavailable,Unavailable,Unavailable,Unavailable,dongf,dongf,dongf,meta-gFEGcY4nkhPx.json,gF,RREEPPLLAACCEE/gF/EG/gFEGcY4nkhPx.mp4,RREEPPLLAACCEE/gF/EG/gFEGcY4nkhPx_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-12-09,18:35:28,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-gFUyDRKqa707.json,gF,RREEPPLLAACCEE/gF/Uy/gFUyDRKqa707.mp4,RREEPPLLAACCEE/gF/Uy/gFUyDRKqa707_small.mp4
Nathan,0,0,0,Unavailable,2020-09-06,18:57:29,Unavailable,Unavailable,Unavailable,Unavailable,imac6475,imac6475,imac6475,meta-gFdnMU5uFWaH.json,gF,RREEPPLLAACCEE/gF/dn/gFdnMU5uFWaH.mp4,RREEPPLLAACCEE/gF/dn/gFdnMU5uFWaH_small.mp4
Vakars,0,0,0,Unavailable,2020-07-19,08:27:04,Unavailable,Unavailable,Unavailable,Unavailable,Vakars,Vakars,Vakars,meta-gFxgv6k6yl5h.json,gF,RREEPPLLAACCEE/gF/xg/gFxgv6k6yl5h.mp4,RREEPPLLAACCEE/gF/xg/gFxgv6k6yl5h_small.mp4
micha,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,micha,micha,micha,meta-gftOK9eyVXdE.json,gf,RREEPPLLAACCEE/gf/tO/gftOK9eyVXdE.mp4,RREEPPLLAACCEE/gf/tO/gftOK9eyVXdE_small.mp4
