Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Ryan,0,0,0,Unavailable,2020-10-26,00:30:43,Unavailable,Unavailable,Unavailable,Unavailable,Ryan,Ryan,Ryan,meta-YW3Xf6axAsfd.json,YW,RREEPPLLAACCEE/YW/3X/YW3Xf6axAsfd.mp4,RREEPPLLAACCEE/YW/3X/YW3Xf6axAsfd_small.mp4
michaelmccumber,0,0,0,Unavailable,2020-05-10,23:25:08,Unavailable,Unavailable,Unavailable,Unavailable,michaelmccumber,michaelmccumber,michaelmccumber,meta-Yw9yBrrVuk5z.json,Yw,RREEPPLLAACCEE/Yw/9y/Yw9yBrrVuk5z.mp4,RREEPPLLAACCEE/Yw/9y/Yw9yBrrVuk5z_small.mp4
santo,0,0,0,Unavailable,2020-07-10,11:27:13,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-YwCBFWIKXHtb.json,Yw,RREEPPLLAACCEE/Yw/CB/YwCBFWIKXHtb.mp4,RREEPPLLAACCEE/Yw/CB/YwCBFWIKXHtb_small.mp4
Nispo,0,0,0,Unavailable,2020-11-18,20:38:17,Unavailable,Unavailable,Unavailable,Unavailable,taylo,taylo,taylo,meta-Ywap8r9vOy49.json,Yw,RREEPPLLAACCEE/Yw/ap/Ywap8r9vOy49.mp4,RREEPPLLAACCEE/Yw/ap/Ywap8r9vOy49_small.mp4
wendy,0,0,0,Unavailable,2020-11-24,06:16:21,Unavailable,Unavailable,Unavailable,Unavailable,wendy,wendy,wendy,meta-yWw0Vgoomnwa.json,yW,RREEPPLLAACCEE/yW/w0/yWw0Vgoomnwa.mp4,RREEPPLLAACCEE/yW/w0/yWw0Vgoomnwa_small.mp4
Admin,0,0,0,Unavailable,2020-09-24,12:39:34,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-ywx2aRi7dFj1.json,yw,RREEPPLLAACCEE/yw/x2/ywx2aRi7dFj1.mp4,RREEPPLLAACCEE/yw/x2/ywx2aRi7dFj1_small.mp4
Unavailable,33.2343,117.3746,71.793,Above Sea Level,2020-11-09,02:32:16,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YW1j5zUpc5ME.json,YW,RREEPPLLAACCEE/YW/1j/YW1j5zUpc5ME.mp4,RREEPPLLAACCEE/YW/1j/YW1j5zUpc5ME_small.mp4
Unavailable,37.5168,83.1256,447.382,Above Sea Level,2020-12-15,04:07:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YW6D15qVk80R.json,YW,RREEPPLLAACCEE/YW/6D/YW6D15qVk80R.mp4,RREEPPLLAACCEE/YW/6D/YW6D15qVk80R_small.mp4
Unavailable,26.2267,80.1660,0,Unavailable,2020-11-06,23:38:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWBFry0mFmkY.json,YW,RREEPPLLAACCEE/YW/BF/YWBFry0mFmkY.mp4,RREEPPLLAACCEE/YW/BF/YWBFry0mFmkY_small.mp4
Unavailable,30.5807,97.8493,294.28,Above Sea Level,2020-07-01,04:41:48,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWBgLNxwmZBO.json,YW,RREEPPLLAACCEE/YW/Bg/YWBgLNxwmZBO.mp4,RREEPPLLAACCEE/YW/Bg/YWBgLNxwmZBO_small.mp4
Unavailable,32.5500,92.3531,37.054,Above Sea Level,2021-01-06,21:11:20,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWEfhpHxXb7v.json,YW,RREEPPLLAACCEE/YW/Ef/YWEfhpHxXb7v.mp4,RREEPPLLAACCEE/YW/Ef/YWEfhpHxXb7v_small.mp4
Unavailable,47.0931,122.4152,0,Unavailable,2020-11-26,23:26:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWIOkzKmMAQN.json,YW,RREEPPLLAACCEE/YW/IO/YWIOkzKmMAQN.mp4,RREEPPLLAACCEE/YW/IO/YWIOkzKmMAQN_small.mp4
Unavailable,35.7331,81.6719,350.71,Above Sea Level,2020-04-15,19:21:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWJGWkHNpFTq.json,YW,RREEPPLLAACCEE/YW/JG/YWJGWkHNpFTq.mp4,RREEPPLLAACCEE/YW/JG/YWJGWkHNpFTq_small.mp4
Unavailable,42.5158,85.1846,297.512,Above Sea Level,2020-11-09,22:00:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWLmZtibJCYR.json,YW,RREEPPLLAACCEE/YW/Lm/YWLmZtibJCYR.mp4,RREEPPLLAACCEE/YW/Lm/YWLmZtibJCYR_small.mp4
Unavailable,40.0939,75.2753,54.422,Above Sea Level,2020-10-19,16:31:19,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YWRYY1Jvmxcx.json,YW,RREEPPLLAACCEE/YW/RY/YWRYY1Jvmxcx.mp4,RREEPPLLAACCEE/YW/RY/YWRYY1Jvmxcx_small.mp4
