Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jordansmedberg,0,0,0,Unavailable,2020-10-03,22:45:56,Unavailable,Unavailable,Unavailable,Unavailable,jordansmedberg,jordansmedberg,jordansmedberg,meta-Ft7mURIyK26l.json,Ft,RREEPPLLAACCEE/Ft/7m/Ft7mURIyK26l.mp4,RREEPPLLAACCEE/Ft/7m/Ft7mURIyK26l_small.mp4
paulg,0,0,0,Unavailable,2020-11-15,17:21:42,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-FtOSKU96Za5B.json,Ft,RREEPPLLAACCEE/Ft/OS/FtOSKU96Za5B.mp4,RREEPPLLAACCEE/Ft/OS/FtOSKU96Za5B_small.mp4
setayesh,0,0,0,Unavailable,2020-12-22,20:36:07,Unavailable,Unavailable,Unavailable,Unavailable,setayesh,setayesh,setayesh,meta-FtjLzzCytZIG.json,Ft,RREEPPLLAACCEE/Ft/jL/FtjLzzCytZIG.mp4,RREEPPLLAACCEE/Ft/jL/FtjLzzCytZIG_small.mp4
Admin,0,0,0,Unavailable,2020-12-24,00:21:00,Canon,,,Unavailable,Admin,Admin,Admin,meta-FtsvLzLroC0h.json,Ft,RREEPPLLAACCEE/Ft/sv/FtsvLzLroC0h.mp4,RREEPPLLAACCEE/Ft/sv/FtsvLzLroC0h_small.mp4
Public,0,0,0,Unavailable,2020-03-19,01:01:17,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-fTh2OHjc4X89.json,fT,RREEPPLLAACCEE/fT/h2/fTh2OHjc4X89.mp4,RREEPPLLAACCEE/fT/h2/fTh2OHjc4X89_small.mp4
User,0,0,0,Unavailable,2020-10-09,17:42:14,Unavailable,Unavailable,Unavailable,Unavailable,User,User,User,meta-fTuBaLk8HFm8.json,fT,RREEPPLLAACCEE/fT/uB/fTuBaLk8HFm8.mp4,RREEPPLLAACCEE/fT/uB/fTuBaLk8HFm8_small.mp4
Unavailable,36.0516,115.4200,1065.627,Above Sea Level,2020-10-23,22:16:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FT1ZRl4YzvpD.json,FT,RREEPPLLAACCEE/FT/1Z/FT1ZRl4YzvpD.mp4,RREEPPLLAACCEE/FT/1Z/FT1ZRl4YzvpD_small.mp4
Unavailable,41.9402,87.6404,248.777,Above Sea Level,2020-11-07,16:29:28,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FTGDj814Vd7X.json,FT,RREEPPLLAACCEE/FT/GD/FTGDj814Vd7X.mp4,RREEPPLLAACCEE/FT/GD/FTGDj814Vd7X_small.mp4
Unavailable,34.2348,84.4956,260.666,Above Sea Level,2020-12-12,19:22:09,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FTJEYZ4HK8UE.json,FT,RREEPPLLAACCEE/FT/JE/FTJEYZ4HK8UE.mp4,RREEPPLLAACCEE/FT/JE/FTJEYZ4HK8UE_small.mp4
Unavailable,36.0808,115.1825,675.172,Above Sea Level,2021-01-07,02:58:57,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FTN7fAgngieh.json,FT,RREEPPLLAACCEE/FT/N7/FTN7fAgngieh.mp4,RREEPPLLAACCEE/FT/N7/FTN7fAgngieh_small.mp4
