Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Unavailable,40.6332,73.7139,0,Unavailable,2020-10-07,19:33:20,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y92trStKdTcw.json,Y9,RREEPPLLAACCEE/Y9/2t/Y92trStKdTcw.mp4,RREEPPLLAACCEE/Y9/2t/Y92trStKdTcw_small.mp4
Unavailable,46.9089,5.1974,192.258,Above Sea Level,2020-11-11,12:01:56,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y98IT32la13M.json,Y9,RREEPPLLAACCEE/Y9/8I/Y98IT32la13M.mp4,RREEPPLLAACCEE/Y9/8I/Y98IT32la13M_small.mp4
Unavailable,30.0388,95.2234,23.637,Above Sea Level,2020-12-04,18:15:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9A4IbD4e7bJ.json,Y9,RREEPPLLAACCEE/Y9/A4/Y9A4IbD4e7bJ.mp4,RREEPPLLAACCEE/Y9/A4/Y9A4IbD4e7bJ_small.mp4
Unavailable,42.9883,87.9790,227.059,Above Sea Level,2020-11-14,18:49:05,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9BZmamrJiqH.json,Y9,RREEPPLLAACCEE/Y9/BZ/Y9BZmamrJiqH.mp4,RREEPPLLAACCEE/Y9/BZ/Y9BZmamrJiqH_small.mp4
Unavailable,45.6066,123.3566,538.071,Above Sea Level,2020-07-04,19:49:51,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9BlX44ekhvX.json,Y9,RREEPPLLAACCEE/Y9/Bl/Y9BlX44ekhvX.mp4,RREEPPLLAACCEE/Y9/Bl/Y9BlX44ekhvX_small.mp4
Unavailable,34.0651,117.4362,340.906,Above Sea Level,2020-07-19,07:56:05,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9DOciuPsm3x.json,Y9,RREEPPLLAACCEE/Y9/DO/Y9DOciuPsm3x.mp4,RREEPPLLAACCEE/Y9/DO/Y9DOciuPsm3x_small.mp4
Unavailable,37.7450,77.5079,75.253,Above Sea Level,2016-05-12,01:16:25,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9S15t6h94bO.json,Y9,RREEPPLLAACCEE/Y9/S1/Y9S15t6h94bO.mp4,RREEPPLLAACCEE/Y9/S1/Y9S15t6h94bO_small.mp4
Unavailable,41.9971,70.9519,13.866,Above Sea Level,2020-12-26,00:56:42,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9TzM7fAH0uK.json,Y9,RREEPPLLAACCEE/Y9/Tz/Y9TzM7fAH0uK.mp4,RREEPPLLAACCEE/Y9/Tz/Y9TzM7fAH0uK_small.mp4
Unavailable,53.0109,122.4464,626.84,Above Sea Level,2020-07-29,03:02:42,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9a6cZKa6s9j.json,Y9,RREEPPLLAACCEE/Y9/a6/Y9a6cZKa6s9j.mp4,RREEPPLLAACCEE/Y9/a6/Y9a6cZKa6s9j_small.mp4
Unavailable,43.4456,73.2043,145.986,Above Sea Level,2020-11-21,14:34:26,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Y9d85kh1PzIE.json,Y9,RREEPPLLAACCEE/Y9/d8/Y9d85kh1PzIE.mp4,RREEPPLLAACCEE/Y9/d8/Y9d85kh1PzIE_small.mp4
