Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
coglebay,0,0,0,Unavailable,2020-11-17,20:27:05,Canon,,,,coglebay,coglebay,coglebay,meta-Wnxff7O9o30K.json,Wn,RREEPPLLAACCEE/Wn/xf/Wnxff7O9o30K.mp4,RREEPPLLAACCEE/Wn/xf/Wnxff7O9o30K_small.mp4
editor01,0,0,0,Unavailable,2020-11-02,03:18:49,Unavailable,Unavailable,Unavailable,Unavailable,editor01,editor01,editor01,meta-wNGKGfMX97Ns.json,wN,RREEPPLLAACCEE/wN/GK/wNGKGfMX97Ns.mp4,RREEPPLLAACCEE/wN/GK/wNGKGfMX97Ns_small.mp4
tyler PC,0,0,0,Unavailable,2020-11-30,10:08:49,Unavailable,Unavailable,Unavailable,Unavailable,tyler PC,tyler PC,tyler PC,meta-wNaIUuKXWoHW.json,wN,RREEPPLLAACCEE/wN/aI/wNaIUuKXWoHW.mp4,RREEPPLLAACCEE/wN/aI/wNaIUuKXWoHW_small.mp4
rj_wilburn,0,0,0,Unavailable,2020-12-13,01:23:54,Unavailable,,Unavailable,Unavailable,rj_wilburn,rj_wilburn,rj_wilburn,meta-wnC738qmx2zY.json,wn,RREEPPLLAACCEE/wn/C7/wnC738qmx2zY.mp4,RREEPPLLAACCEE/wn/C7/wnC738qmx2zY_small.mp4
applicostudio,0,0,0,Unavailable,2020-08-31,18:41:09,Unavailable,,Unavailable,Unavailable,kirk,kirk,kirk,meta-wnbprJwGzj5H.json,wn,RREEPPLLAACCEE/wn/bp/wnbprJwGzj5H.mp4,RREEPPLLAACCEE/wn/bp/wnbprJwGzj5H_small.mp4
Unavailable,40.2630,76.8839,104.3,Above Sea Level,2020-09-12,20:35:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WN368K8yXP60.json,WN,RREEPPLLAACCEE/WN/36/WN368K8yXP60.mp4,RREEPPLLAACCEE/WN/36/WN368K8yXP60_small.mp4
Unavailable,38.8959,77.0320,6.924,Above Sea Level,2020-12-12,03:24:43,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WN5YDt45clIP.json,WN,RREEPPLLAACCEE/WN/5Y/WN5YDt45clIP.mp4,RREEPPLLAACCEE/WN/5Y/WN5YDt45clIP_small.mp4
Unavailable,42.9241,76.5858,193.984,Above Sea Level,2020-07-18,13:57:33,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WN74CA4HNWDB.json,WN,RREEPPLLAACCEE/WN/74/WN74CA4HNWDB.mp4,RREEPPLLAACCEE/WN/74/WN74CA4HNWDB_small.mp4
Unavailable,29.4792,95.1121,8.251,Above Sea Level,2020-11-21,18:24:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WN8qwlLxy53b.json,WN,RREEPPLLAACCEE/WN/8q/WN8qwlLxy53b.mp4,RREEPPLLAACCEE/WN/8q/WN8qwlLxy53b_small.mp4
Unavailable,45.8507,84.6263,200.894,Above Sea Level,2020-10-24,19:38:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNDoQ2eq7HYz.json,WN,RREEPPLLAACCEE/WN/Do/WNDoQ2eq7HYz.mp4,RREEPPLLAACCEE/WN/Do/WNDoQ2eq7HYz_small.mp4
Unavailable,35.4913,97.5034,380.725,Above Sea Level,2021-01-06,19:28:25,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNNBIomKDpcN.json,WN,RREEPPLLAACCEE/WN/NB/WNNBIomKDpcN.mp4,RREEPPLLAACCEE/WN/NB/WNNBIomKDpcN_small.mp4
Unavailable,38.8971,77.0366,16.65,Above Sea Level,2020-08-28,03:35:32,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNNEfNAJTbLd.json,WN,RREEPPLLAACCEE/WN/NE/WNNEfNAJTbLd.mp4,RREEPPLLAACCEE/WN/NE/WNNEfNAJTbLd_small.mp4
Unavailable,38.9057,77.0265,32.875,Above Sea Level,2020-10-30,21:58:07,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNNq53qdFHP9.json,WN,RREEPPLLAACCEE/WN/Nq/WNNq53qdFHP9.mp4,RREEPPLLAACCEE/WN/Nq/WNNq53qdFHP9_small.mp4
Unavailable,40.7922,96.6237,385.592,Above Sea Level,2020-10-30,02:12:49,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNQ6ODIccylI.json,WN,RREEPPLLAACCEE/WN/Q6/WNQ6ODIccylI.mp4,RREEPPLLAACCEE/WN/Q6/WNQ6ODIccylI_small.mp4
Unavailable,33.9190,117.8601,132.547,Above Sea Level,2020-12-18,02:56:14,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNYiwdf4WkTf.json,WN,RREEPPLLAACCEE/WN/Yi/WNYiwdf4WkTf.mp4,RREEPPLLAACCEE/WN/Yi/WNYiwdf4WkTf_small.mp4
Unavailable,36.1190,87.0206,0,Unavailable,2020-10-02,22:34:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNarNO52jix2.json,WN,RREEPPLLAACCEE/WN/ar/WNarNO52jix2.mp4,RREEPPLLAACCEE/WN/ar/WNarNO52jix2_small.mp4
Unavailable,27.7895,82.6323,0,Unavailable,2020-06-29,13:27:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNbAvBletvsS.json,WN,RREEPPLLAACCEE/WN/bA/WNbAvBletvsS.mp4,RREEPPLLAACCEE/WN/bA/WNbAvBletvsS_small.mp4
Unavailable,28.0848,80.7530,0,Unavailable,2020-09-12,18:38:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNhxd8yQF5v9.json,WN,RREEPPLLAACCEE/WN/hx/WNhxd8yQF5v9.mp4,RREEPPLLAACCEE/WN/hx/WNhxd8yQF5v9_small.mp4
Unavailable,33.5021,117.7429,46.242,Above Sea Level,2020-04-04,15:17:50,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-WNmNRVBkTs4l.json,WN,RREEPPLLAACCEE/WN/mN/WNmNRVBkTs4l.mp4,RREEPPLLAACCEE/WN/mN/WNmNRVBkTs4l_small.mp4
