Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
rebelnews,0,0,0,Unavailable,2020-11-09,18:05:05,Unavailable,Unavailable,Unavailable,Unavailable,rebelnews,rebelnews,rebelnews,meta-d7Hfh2wRMZnX.json,d7,RREEPPLLAACCEE/d7/Hf/d7Hfh2wRMZnX.mp4,RREEPPLLAACCEE/d7/Hf/d7Hfh2wRMZnX_small.mp4
06373612104,0,0,0,Unavailable,2020-11-12,17:34:46,samsung,,,Unavailable,06373612104,06373612104,06373612104,meta-d7RH9f4qdgZ2.json,d7,RREEPPLLAACCEE/d7/RH/d7RH9f4qdgZ2.mp4,RREEPPLLAACCEE/d7/RH/d7RH9f4qdgZ2_small.mp4
Unavailable,36.2929,86.6245,152.425,Above Sea Level,2020-11-12,14:07:33,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D704N5RftZCB.json,D7,RREEPPLLAACCEE/D7/04/D704N5RftZCB.mp4,RREEPPLLAACCEE/D7/04/D704N5RftZCB_small.mp4
Unavailable,35.4641,88.5358,161,Above Sea Level,2020-09-09,22:03:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D70GYucFDm8o.json,D7,RREEPPLLAACCEE/D7/0G/D70GYucFDm8o.mp4,RREEPPLLAACCEE/D7/0G/D70GYucFDm8o_small.mp4
Unavailable,40.7479,73.9854,15.723,Above Sea Level,2020-12-21,03:30:47,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D70fBP7PVEBL.json,D7,RREEPPLLAACCEE/D7/0f/D70fBP7PVEBL.mp4,RREEPPLLAACCEE/D7/0f/D70fBP7PVEBL_small.mp4
Unavailable,41.3013,95.8985,299.123,Above Sea Level,2020-10-03,19:46:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D72sDoO3YX59.json,D7,RREEPPLLAACCEE/D7/2s/D72sDoO3YX59.mp4,RREEPPLLAACCEE/D7/2s/D72sDoO3YX59_small.mp4
Unavailable,42.3388,71.0473,4.59,Above Sea Level,2020-12-15,01:42:29,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D74VQt7JSp2N.json,D7,RREEPPLLAACCEE/D7/4V/D74VQt7JSp2N.mp4,RREEPPLLAACCEE/D7/4V/D74VQt7JSp2N_small.mp4
Unavailable,38.8906,77.0095,5.591,Above Sea Level,2021-01-06,20:41:09,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D74suPzrQwTL.json,D7,RREEPPLLAACCEE/D7/4s/D74suPzrQwTL.mp4,RREEPPLLAACCEE/D7/4s/D74suPzrQwTL_small.mp4
Unavailable,29.5091,95.1899,12.612,Above Sea Level,2020-10-31,18:59:56,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D77bAj0i46Pi.json,D7,RREEPPLLAACCEE/D7/7b/D77bAj0i46Pi.mp4,RREEPPLLAACCEE/D7/7b/D77bAj0i46Pi_small.mp4
Unavailable,59.3846,17.0403,3.021,Above Sea Level,2020-11-18,14:59:50,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-D78LgoPDgLlR.json,D7,RREEPPLLAACCEE/D7/8L/D78LgoPDgLlR.mp4,RREEPPLLAACCEE/D7/8L/D78LgoPDgLlR_small.mp4
