Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Deco,0,0,0,Unavailable,2020-10-23,21:35:31,Unavailable,,Unavailable,Unavailable,Deco,Deco,Deco,meta-TFJTfxdeA6iE.json,TF,RREEPPLLAACCEE/TF/JT/TFJTfxdeA6iE.mp4,RREEPPLLAACCEE/TF/JT/TFJTfxdeA6iE_small.mp4
jmzuc,0,0,0,Unavailable,2020-08-24,09:37:27,Unavailable,,Unavailable,Unavailable,jmzuc,jmzuc,jmzuc,meta-TFjVsscwr6Pq.json,TF,RREEPPLLAACCEE/TF/jV/TFjVsscwr6Pq.mp4,RREEPPLLAACCEE/TF/jV/TFjVsscwr6Pq_small.mp4
JamesDunn3,0,0,0,Unavailable,2020-09-12,06:31:13,Unavailable,Unavailable,Unavailable,Unavailable,JamesDunn3,JamesDunn3,JamesDunn3,meta-tF4Tuhi4dNb3.json,tF,RREEPPLLAACCEE/tF/4T/tF4Tuhi4dNb3.mp4,RREEPPLLAACCEE/tF/4T/tF4Tuhi4dNb3_small.mp4
Chadwick,0,0,0,Unavailable,2020-07-13,02:19:08,Unavailable,Unavailable,Unavailable,Unavailable,Chadwick,Chadwick,Chadwick,meta-tfFbzWKIq9mx.json,tf,RREEPPLLAACCEE/tf/Fb/tfFbzWKIq9mx.mp4,RREEPPLLAACCEE/tf/Fb/tfFbzWKIq9mx_small.mp4
Billy,0,0,0,Unavailable,2020-11-13,23:01:27,Sony,,,Unavailable,Billy,Billy,Billy,meta-tftqZq92E56Z.json,tf,RREEPPLLAACCEE/tf/tq/tftqZq92E56Z.mp4,RREEPPLLAACCEE/tf/tq/tftqZq92E56Z_small.mp4
Unavailable,42.5806,87.8339,191.286,Above Sea Level,2020-09-03,17:53:04,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TF2BhRWAQ5x9.json,TF,RREEPPLLAACCEE/TF/2B/TF2BhRWAQ5x9.mp4,RREEPPLLAACCEE/TF/2B/TF2BhRWAQ5x9_small.mp4
Unavailable,38.8872,77.0026,13.792,Above Sea Level,2020-11-14,21:11:24,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TF7onDZ2HdIL.json,TF,RREEPPLLAACCEE/TF/7o/TF7onDZ2HdIL.mp4,RREEPPLLAACCEE/TF/7o/TF7onDZ2HdIL_small.mp4
Unavailable,40.0098,76.8443,136.007,Above Sea Level,2020-12-25,17:22:49,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TF90W5hf6VqH.json,TF,RREEPPLLAACCEE/TF/90/TF90W5hf6VqH.mp4,RREEPPLLAACCEE/TF/90/TF90W5hf6VqH_small.mp4
Unavailable,42.2283,83.6725,0,Unavailable,2020-11-19,20:13:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TF9NN3CYimkY.json,TF,RREEPPLLAACCEE/TF/9N/TF9NN3CYimkY.mp4,RREEPPLLAACCEE/TF/9N/TF9NN3CYimkY_small.mp4
Unavailable,44.3533,72.3468,0,Unavailable,2020-12-12,09:26:47,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFHOsImjTEMV.json,TF,RREEPPLLAACCEE/TF/HO/TFHOsImjTEMV.mp4,RREEPPLLAACCEE/TF/HO/TFHOsImjTEMV_small.mp4
Unavailable,33.5617,117.2114,345.018,Above Sea Level,2020-08-08,23:37:37,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFMwdwl1W36m.json,TF,RREEPPLLAACCEE/TF/Mw/TFMwdwl1W36m.mp4,RREEPPLLAACCEE/TF/Mw/TFMwdwl1W36m_small.mp4
Unavailable,35.7991,86.4651,198.554,Above Sea Level,2020-09-28,21:26:30,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFR5w0yBDfuS.json,TF,RREEPPLLAACCEE/TF/R5/TFR5w0yBDfuS.mp4,RREEPPLLAACCEE/TF/R5/TFR5w0yBDfuS_small.mp4
Unavailable,27.9528,82.5242,2.306,Above Sea Level,2019-12-15,04:37:01,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFRdFZ9SBQQ1.json,TF,RREEPPLLAACCEE/TF/Rd/TFRdFZ9SBQQ1.mp4,RREEPPLLAACCEE/TF/Rd/TFRdFZ9SBQQ1_small.mp4
Unavailable,29.2914,94.7976,4.213,Above Sea Level,2020-12-08,16:35:59,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFVcw52Pu5i0.json,TF,RREEPPLLAACCEE/TF/Vc/TFVcw52Pu5i0.mp4,RREEPPLLAACCEE/TF/Vc/TFVcw52Pu5i0_small.mp4
Unavailable,38.8908,77.0124,15.496,Above Sea Level,2021-01-06,19:35:35,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFY9jqrTi1fT.json,TF,RREEPPLLAACCEE/TF/Y9/TFY9jqrTi1fT.mp4,RREEPPLLAACCEE/TF/Y9/TFY9jqrTi1fT_small.mp4
Unavailable,41.6965,88.2379,208.994,Above Sea Level,2021-01-02,12:59:59,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFZx6tfMN9ue.json,TF,RREEPPLLAACCEE/TF/Zx/TFZx6tfMN9ue.mp4,RREEPPLLAACCEE/TF/Zx/TFZx6tfMN9ue_small.mp4
Unavailable,32.6407,114.4181,121.748,Above Sea Level,2020-12-26,19:00:17,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFco6YwG1nLk.json,TF,RREEPPLLAACCEE/TF/co/TFco6YwG1nLk.mp4,RREEPPLLAACCEE/TF/co/TFco6YwG1nLk_small.mp4
Unavailable,28.6168,81.4490,21.431,Above Sea Level,2021-01-08,16:20:24,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFfWJA43T9qV.json,TF,RREEPPLLAACCEE/TF/fW/TFfWJA43T9qV.mp4,RREEPPLLAACCEE/TF/fW/TFfWJA43T9qV_small.mp4
Unavailable,33.6166,117.9270,7.233,Above Sea Level,2020-10-18,20:50:11,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-TFgZD9oK3nmG.json,TF,RREEPPLLAACCEE/TF/gZ/TFgZD9oK3nmG.mp4,RREEPPLLAACCEE/TF/gZ/TFgZD9oK3nmG_small.mp4
