Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
beenj,0,0,0,Unavailable,2020-10-27,15:01:36,Unavailable,Unavailable,Unavailable,Unavailable,beenj,beenj,beenj,meta-ZXjRzfohfn1N.json,ZX,RREEPPLLAACCEE/ZX/jR/ZXjRzfohfn1N.mp4,RREEPPLLAACCEE/ZX/jR/ZXjRzfohfn1N_small.mp4
josephkeit,0,0,0,Unavailable,2020-12-31,05:03:30,Unavailable,,Unavailable,Unavailable,josephkeit,josephkeit,josephkeit,meta-Zx71kIaaIsti.json,Zx,RREEPPLLAACCEE/Zx/71/Zx71kIaaIsti.mp4,RREEPPLLAACCEE/Zx/71/Zx71kIaaIsti_small.mp4
Admin,0,0,0,Unavailable,2020-12-18,17:30:07,Panasonic,,,Unavailable,joshburstein,joshburstein,joshburstein,meta-Zxiu5RL8WIgu.json,Zx,RREEPPLLAACCEE/Zx/iu/Zxiu5RL8WIgu.mp4,RREEPPLLAACCEE/Zx/iu/Zxiu5RL8WIgu_small.mp4
matthew,0,0,0,Unavailable,2020-12-14,21:04:27,Unavailable,Unavailable,Unavailable,Unavailable,matthew,matthew,matthew,meta-ZxwlTwU1dtBa.json,Zx,RREEPPLLAACCEE/Zx/wl/ZxwlTwU1dtBa.mp4,RREEPPLLAACCEE/Zx/wl/ZxwlTwU1dtBa_small.mp4
katherinelee,0,0,0,Unavailable,2020-07-03,17:12:03,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-zXoXMiCoQDXd.json,zX,RREEPPLLAACCEE/zX/oX/zXoXMiCoQDXd.mp4,RREEPPLLAACCEE/zX/oX/zXoXMiCoQDXd_small.mp4
Unavailable,61.1384,149.9476,0,Unavailable,2020-12-15,20:21:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZX3E3WB9LfQr.json,ZX,RREEPPLLAACCEE/ZX/3E/ZX3E3WB9LfQr.mp4,RREEPPLLAACCEE/ZX/3E/ZX3E3WB9LfQr_small.mp4
Unavailable,28.6169,81.4490,21.448,Above Sea Level,2021-01-05,13:27:47,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZX3ZrGLGL8SM.json,ZX,RREEPPLLAACCEE/ZX/3Z/ZX3ZrGLGL8SM.mp4,RREEPPLLAACCEE/ZX/3Z/ZX3ZrGLGL8SM_small.mp4
Unavailable,33.7567,84.3923,323.85,Above Sea Level,2020-11-20,19:37:03,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZX5es3pmxs1j.json,ZX,RREEPPLLAACCEE/ZX/5e/ZX5es3pmxs1j.mp4,RREEPPLLAACCEE/ZX/5e/ZX5es3pmxs1j_small.mp4
Unavailable,32.5411,94.7545,104.235,Above Sea Level,2021-01-02,20:36:37,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZX6yI35YKjnw.json,ZX,RREEPPLLAACCEE/ZX/6y/ZX6yI35YKjnw.mp4,RREEPPLLAACCEE/ZX/6y/ZX6yI35YKjnw_small.mp4
Unavailable,38.5783,92.1744,191.06,Above Sea Level,2020-11-07,18:45:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXBogyMKB1YI.json,ZX,RREEPPLLAACCEE/ZX/Bo/ZXBogyMKB1YI.mp4,RREEPPLLAACCEE/ZX/Bo/ZXBogyMKB1YI_small.mp4
Unavailable,33.9474,81.4943,183.509,Above Sea Level,2020-11-20,03:36:00,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXG2Oufwnn1J.json,ZX,RREEPPLLAACCEE/ZX/G2/ZXG2Oufwnn1J.mp4,RREEPPLLAACCEE/ZX/G2/ZXG2Oufwnn1J_small.mp4
Unavailable,33.8139,117.5451,390.473,Above Sea Level,2020-07-24,07:12:44,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXG32hce1W9X.json,ZX,RREEPPLLAACCEE/ZX/G3/ZXG32hce1W9X.mp4,RREEPPLLAACCEE/ZX/G3/ZXG32hce1W9X_small.mp4
Unavailable,28.0777,82.4608,14.918,Above Sea Level,2020-11-25,18:06:21,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXKfG09maEKt.json,ZX,RREEPPLLAACCEE/ZX/Kf/ZXKfG09maEKt.mp4,RREEPPLLAACCEE/ZX/Kf/ZXKfG09maEKt_small.mp4
Unavailable,47.9963,122.0950,0,Unavailable,2020-09-20,01:15:34,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXM0w3Rn6RDE.json,ZX,RREEPPLLAACCEE/ZX/M0/ZXM0w3Rn6RDE.mp4,RREEPPLLAACCEE/ZX/M0/ZXM0w3Rn6RDE_small.mp4
Unavailable,40.9853,74.0361,20.085,Above Sea Level,2020-09-14,00:44:49,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXQSmpKz8dt4.json,ZX,RREEPPLLAACCEE/ZX/QS/ZXQSmpKz8dt4.mp4,RREEPPLLAACCEE/ZX/QS/ZXQSmpKz8dt4_small.mp4
Unavailable,48.1011,114.4627,972.89,Above Sea Level,2020-11-20,02:02:09,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-ZXTLdHBYuOSh.json,ZX,RREEPPLLAACCEE/ZX/TL/ZXTLdHBYuOSh.mp4,RREEPPLLAACCEE/ZX/TL/ZXTLdHBYuOSh_small.mp4
