Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
JIM,0,0,0,Unavailable,2020-07-15,19:32:36,Unavailable,Unavailable,Unavailable,Unavailable,JIM,JIM,JIM,meta-5zK5v5YOsFqP.json,5z,RREEPPLLAACCEE/5z/K5/5zK5v5YOsFqP.mp4,RREEPPLLAACCEE/5z/K5/5zK5v5YOsFqP_small.mp4
Unavailable,34.2575,118.8349,248.6,Above Sea Level,2020-05-13,16:52:21,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z10ASZj086c.json,5Z,RREEPPLLAACCEE/5Z/10/5Z10ASZj086c.mp4,RREEPPLLAACCEE/5Z/10/5Z10ASZj086c_small.mp4
Unavailable,33.2893,87.1332,0,Unavailable,2020-11-08,18:01:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5ZBt0I7yDYqq.json,5Z,RREEPPLLAACCEE/5Z/Bt/5ZBt0I7yDYqq.mp4,RREEPPLLAACCEE/5Z/Bt/5ZBt0I7yDYqq_small.mp4
Unavailable,38.2698,82.3305,0,Unavailable,2021-01-07,02:07:41,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5ZDMW8UEpCKu.json,5Z,RREEPPLLAACCEE/5Z/DM/5ZDMW8UEpCKu.mp4,RREEPPLLAACCEE/5Z/DM/5ZDMW8UEpCKu_small.mp4
Unavailable,38.8915,77.0060,0,Unavailable,2020-11-14,19:15:31,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5ZR8tzBr2JjB.json,5Z,RREEPPLLAACCEE/5Z/R8/5ZR8tzBr2JjB.mp4,RREEPPLLAACCEE/5Z/R8/5ZR8tzBr2JjB_small.mp4
Unavailable,28.1529,80.6745,8.688,Above Sea Level,2020-11-07,20:19:10,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5ZREoAIwpxt8.json,5Z,RREEPPLLAACCEE/5Z/RE/5ZREoAIwpxt8.mp4,RREEPPLLAACCEE/5Z/RE/5ZREoAIwpxt8_small.mp4
Unavailable,35.5674,82.5440,606.828,Above Sea Level,2020-10-31,21:34:07,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Zgv6d5l9r1W.json,5Z,RREEPPLLAACCEE/5Z/gv/5Zgv6d5l9r1W.mp4,RREEPPLLAACCEE/5Z/gv/5Zgv6d5l9r1W_small.mp4
Unavailable,42.9885,87.9774,224.117,Above Sea Level,2020-11-14,19:01:01,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Zhf26UujOqL.json,5Z,RREEPPLLAACCEE/5Z/hf/5Zhf26UujOqL.mp4,RREEPPLLAACCEE/5Z/hf/5Zhf26UujOqL_small.mp4
Unavailable,40.5494,111.9769,1417.685,Above Sea Level,2020-12-25,21:47:27,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5ZqK20tbMx2N.json,5Z,RREEPPLLAACCEE/5Z/qK/5ZqK20tbMx2N.mp4,RREEPPLLAACCEE/5Z/qK/5ZqK20tbMx2N_small.mp4
Unavailable,33.6745,117.3931,416.464,Above Sea Level,2020-11-11,19:19:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Zr4G1zpvXlj.json,5Z,RREEPPLLAACCEE/5Z/r4/5Zr4G1zpvXlj.mp4,RREEPPLLAACCEE/5Z/r4/5Zr4G1zpvXlj_small.mp4
Unavailable,41.3544,73.0764,67.871,Above Sea Level,2020-08-02,23:44:21,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zBiJrD6ZhO7.json,5z,RREEPPLLAACCEE/5z/Bi/5zBiJrD6ZhO7.mp4,RREEPPLLAACCEE/5z/Bi/5zBiJrD6ZhO7_small.mp4
Unavailable,24.7163,81.0738,2.568,Above Sea Level,2020-10-31,16:33:36,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zJM49UHnwnq.json,5z,RREEPPLLAACCEE/5z/JM/5zJM49UHnwnq.mp4,RREEPPLLAACCEE/5z/JM/5zJM49UHnwnq_small.mp4
Unavailable,33.6695,117.8488,11.388,Above Sea Level,2021-01-06,20:29:05,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zNWgxKUI4m5.json,5z,RREEPPLLAACCEE/5z/NW/5zNWgxKUI4m5.mp4,RREEPPLLAACCEE/5z/NW/5zNWgxKUI4m5_small.mp4
Unavailable,36.0505,115.1460,644.605,Above Sea Level,2020-11-12,20:09:43,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zTeFLZu2Q5B.json,5z,RREEPPLLAACCEE/5z/Te/5zTeFLZu2Q5B.mp4,RREEPPLLAACCEE/5z/Te/5zTeFLZu2Q5B_small.mp4
Unavailable,32.1297,110.9404,785.176,Above Sea Level,2020-10-19,22:43:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zZPtQfOEck3.json,5z,RREEPPLLAACCEE/5z/ZP/5zZPtQfOEck3.mp4,RREEPPLLAACCEE/5z/ZP/5zZPtQfOEck3_small.mp4
Unavailable,33.4552,94.0791,103.118,Above Sea Level,2020-09-02,20:05:58,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5za2PJ2OJ7CA.json,5z,RREEPPLLAACCEE/5z/a2/5za2PJ2OJ7CA.mp4,RREEPPLLAACCEE/5z/a2/5za2PJ2OJ7CA_small.mp4
Unavailable,42.4861,72.6048,64.557,Above Sea Level,2020-11-07,23:28:51,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zcHGYRDqkJW.json,5z,RREEPPLLAACCEE/5z/cH/5zcHGYRDqkJW.mp4,RREEPPLLAACCEE/5z/cH/5zcHGYRDqkJW_small.mp4
Unavailable,33.0012,96.6362,163.543,Above Sea Level,2020-10-10,13:04:31,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zd0mqx5Gcda.json,5z,RREEPPLLAACCEE/5z/d0/5zd0mqx5Gcda.mp4,RREEPPLLAACCEE/5z/d0/5zd0mqx5Gcda_small.mp4
Unavailable,34.4966,114.3493,170.919,Above Sea Level,2020-11-14,18:11:30,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zxKn73icOzC.json,5z,RREEPPLLAACCEE/5z/xK/5zxKn73icOzC.mp4,RREEPPLLAACCEE/5z/xK/5zxKn73icOzC_small.mp4
Unavailable,35.2058,101.8029,1003.549,Above Sea Level,2020-12-12,20:17:14,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5zxpc5rWiIcl.json,5z,RREEPPLLAACCEE/5z/xp/5zxpc5rWiIcl.mp4,RREEPPLLAACCEE/5z/xp/5zxpc5rWiIcl_small.mp4
Unavailable,44.0421,70.7915,0,Unavailable,2020-08-26,15:16:25,Unavailable,HERO7 Black,,,Unavailble,Unavailable,Unavailable,meta-5zzN7iM3DzdF.json,5z,RREEPPLLAACCEE/5z/zN/5zzN7iM3DzdF.mp4,RREEPPLLAACCEE/5z/zN/5zzN7iM3DzdF_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-10,07:11:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0QyZzRQsQi.json,5Z,RREEPPLLAACCEE/5Z/0Q/5Z0QyZzRQsQi.mp4,RREEPPLLAACCEE/5Z/0Q/5Z0QyZzRQsQi_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-15,07:18:48,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0hBSM3VruI.json,5Z,RREEPPLLAACCEE/5Z/0h/5Z0hBSM3VruI.mp4,RREEPPLLAACCEE/5Z/0h/5Z0hBSM3VruI_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-17,14:14:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0jp9Gssuz3.json,5Z,RREEPPLLAACCEE/5Z/0j/5Z0jp9Gssuz3.mp4,RREEPPLLAACCEE/5Z/0j/5Z0jp9Gssuz3_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-11,18:08:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0viU4U3VLq.json,5Z,RREEPPLLAACCEE/5Z/0v/5Z0viU4U3VLq.mp4,RREEPPLLAACCEE/5Z/0v/5Z0viU4U3VLq_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-19,01:27:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0xORThQuc1.json,5Z,RREEPPLLAACCEE/5Z/0x/5Z0xORThQuc1.mp4,RREEPPLLAACCEE/5Z/0x/5Z0xORThQuc1_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-02,16:19:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z0zdLdVTkBp.json,5Z,RREEPPLLAACCEE/5Z/0z/5Z0zdLdVTkBp.mp4,RREEPPLLAACCEE/5Z/0z/5Z0zdLdVTkBp_small.mp4
Unavailable,0,0,0,Unavailable,2020-03-01,16:18:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z1XLTvbF0kd.json,5Z,RREEPPLLAACCEE/5Z/1X/5Z1XLTvbF0kd.mp4,RREEPPLLAACCEE/5Z/1X/5Z1XLTvbF0kd_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z1n7GevL5zi.json,5Z,RREEPPLLAACCEE/5Z/1n/5Z1n7GevL5zi.mp4,RREEPPLLAACCEE/5Z/1n/5Z1n7GevL5zi_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-17,21:37:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z20Qpg55B16.json,5Z,RREEPPLLAACCEE/5Z/20/5Z20Qpg55B16.mp4,RREEPPLLAACCEE/5Z/20/5Z20Qpg55B16_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z22atSjSyO4.json,5Z,RREEPPLLAACCEE/5Z/22/5Z22atSjSyO4.mp4,RREEPPLLAACCEE/5Z/22/5Z22atSjSyO4_small.mp4
Unavailable,0,0,0,Unavailable,2020-09-26,05:46:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z264g4Fos5d.json,5Z,RREEPPLLAACCEE/5Z/26/5Z264g4Fos5d.mp4,RREEPPLLAACCEE/5Z/26/5Z264g4Fos5d_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-12,16:17:09,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z26gAwENldN.json,5Z,RREEPPLLAACCEE/5Z/26/5Z26gAwENldN.mp4,RREEPPLLAACCEE/5Z/26/5Z26gAwENldN_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2FF2GBseZx.json,5Z,RREEPPLLAACCEE/5Z/2F/5Z2FF2GBseZx.mp4,RREEPPLLAACCEE/5Z/2F/5Z2FF2GBseZx_small.mp4
Unavailable,0,0,0,Unavailable,2021-01-02,20:15:45,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2HpArBwCXc.json,5Z,RREEPPLLAACCEE/5Z/2H/5Z2HpArBwCXc.mp4,RREEPPLLAACCEE/5Z/2H/5Z2HpArBwCXc_small.mp4
Unavailable,0,0,0,Unavailable,2020-09-23,20:56:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2Ohf7amNp1.json,5Z,RREEPPLLAACCEE/5Z/2O/5Z2Ohf7amNp1.mp4,RREEPPLLAACCEE/5Z/2O/5Z2Ohf7amNp1_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2WJCFrxHSj.json,5Z,RREEPPLLAACCEE/5Z/2W/5Z2WJCFrxHSj.mp4,RREEPPLLAACCEE/5Z/2W/5Z2WJCFrxHSj_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-27,21:04:51,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2Z4cXeQvwe.json,5Z,RREEPPLLAACCEE/5Z/2Z/5Z2Z4cXeQvwe.mp4,RREEPPLLAACCEE/5Z/2Z/5Z2Z4cXeQvwe_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z2qUi4p1R0b.json,5Z,RREEPPLLAACCEE/5Z/2q/5Z2qUi4p1R0b.mp4,RREEPPLLAACCEE/5Z/2q/5Z2qUi4p1R0b_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z33CBmoecZM.json,5Z,RREEPPLLAACCEE/5Z/33/5Z33CBmoecZM.mp4,RREEPPLLAACCEE/5Z/33/5Z33CBmoecZM_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-09,23:09:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z35x5i3pHM4.json,5Z,RREEPPLLAACCEE/5Z/35/5Z35x5i3pHM4.mp4,RREEPPLLAACCEE/5Z/35/5Z35x5i3pHM4_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-07,06:01:46,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z35xR5mZErL.json,5Z,RREEPPLLAACCEE/5Z/35/5Z35xR5mZErL.mp4,RREEPPLLAACCEE/5Z/35/5Z35xR5mZErL_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-21,17:43:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z3NkerrdCcg.json,5Z,RREEPPLLAACCEE/5Z/3N/5Z3NkerrdCcg.mp4,RREEPPLLAACCEE/5Z/3N/5Z3NkerrdCcg_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-5Z3k91AYRPy4.json,5Z,RREEPPLLAACCEE/5Z/3k/5Z3k91AYRPy4.mp4,RREEPPLLAACCEE/5Z/3k/5Z3k91AYRPy4_small.mp4
