Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
alexkiker,0,0,0,Unavailable,2021-01-10,09:54:42,Unavailable,Unavailable,Unavailable,Unavailable,smfarmer,smfarmer,smfarmer,meta-36Dbx5f8O07c.json,36,RREEPPLLAACCEE/36/Db/36Dbx5f8O07c.mp4,RREEPPLLAACCEE/36/Db/36Dbx5f8O07c_small.mp4
Trabalho,0,0,0,Unavailable,2020-12-06,16:00:40,Unavailable,Unavailable,Unavailable,Unavailable,Trabalho,Trabalho,Trabalho,meta-36k6P1uKqiQt.json,36,RREEPPLLAACCEE/36/k6/36k6P1uKqiQt.mp4,RREEPPLLAACCEE/36/k6/36k6P1uKqiQt_small.mp4
Unavailable,26.3339,80.2948,3.861,Above Sea Level,2020-11-02,18:22:40,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-364GhBpcdv6C.json,36,RREEPPLLAACCEE/36/4G/364GhBpcdv6C.mp4,RREEPPLLAACCEE/36/4G/364GhBpcdv6C_small.mp4
Unavailable,42.8116,82.7577,221.678,Above Sea Level,2020-12-09,19:42:46,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36AW2XwNTITC.json,36,RREEPPLLAACCEE/36/AW/36AW2XwNTITC.mp4,RREEPPLLAACCEE/36/AW/36AW2XwNTITC_small.mp4
Unavailable,32.8519,96.9432,160.333,Above Sea Level,2020-11-03,02:19:06,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36H1M2XaXRJy.json,36,RREEPPLLAACCEE/36/H1/36H1M2XaXRJy.mp4,RREEPPLLAACCEE/36/H1/36H1M2XaXRJy_small.mp4
Unavailable,40.7369,73.5166,31.268,Above Sea Level,2020-11-28,05:53:50,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36HXCywwgAM4.json,36,RREEPPLLAACCEE/36/HX/36HXCywwgAM4.mp4,RREEPPLLAACCEE/36/HX/36HXCywwgAM4_small.mp4
Unavailable,33.3707,117.1721,199.196,Above Sea Level,2020-12-18,02:20:30,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36MXzu20sJQ4.json,36,RREEPPLLAACCEE/36/MX/36MXzu20sJQ4.mp4,RREEPPLLAACCEE/36/MX/36MXzu20sJQ4_small.mp4
Unavailable,41.8621,87.9656,0,Unavailable,2020-10-28,15:41:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36SStAwZsMgL.json,36,RREEPPLLAACCEE/36/SS/36SStAwZsMgL.mp4,RREEPPLLAACCEE/36/SS/36SStAwZsMgL_small.mp4
Unavailable,34.7272,117.1893,0,Unavailable,2020-08-02,14:30:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36Tru7RZS2XF.json,36,RREEPPLLAACCEE/36/Tr/36Tru7RZS2XF.mp4,RREEPPLLAACCEE/36/Tr/36Tru7RZS2XF_small.mp4
Unavailable,38.3717,81.8088,222.083,Above Sea Level,2020-07-14,02:16:05,Apple,iPad Air (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36VEl540E8GP.json,36,RREEPPLLAACCEE/36/VE/36VEl540E8GP.mp4,RREEPPLLAACCEE/36/VE/36VEl540E8GP_small.mp4
Unavailable,40.5851,124.1579,15.411,Above Sea Level,2020-12-27,22:50:34,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36chCocTJccn.json,36,RREEPPLLAACCEE/36/ch/36chCocTJccn.mp4,RREEPPLLAACCEE/36/ch/36chCocTJccn_small.mp4
Unavailable,38.8918,77.0363,0,Unavailable,2021-01-06,14:28:08,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36dzqKvu5ebk.json,36,RREEPPLLAACCEE/36/dz/36dzqKvu5ebk.mp4,RREEPPLLAACCEE/36/dz/36dzqKvu5ebk_small.mp4
Unavailable,44.1721,93.2383,357.26,Above Sea Level,2020-10-24,16:47:53,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36kAVaFKspRA.json,36,RREEPPLLAACCEE/36/kA/36kAVaFKspRA.mp4,RREEPPLLAACCEE/36/kA/36kAVaFKspRA_small.mp4
Unavailable,43.1587,115.7647,988.884,Above Sea Level,2020-12-03,17:15:06,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36lHtaCNTW1D.json,36,RREEPPLLAACCEE/36/lH/36lHtaCNTW1D.mp4,RREEPPLLAACCEE/36/lH/36lHtaCNTW1D_small.mp4
Unavailable,38.9585,77.0816,107.39,Above Sea Level,2020-07-14,15:46:13,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36mHhMwaXImB.json,36,RREEPPLLAACCEE/36/mH/36mHhMwaXImB.mp4,RREEPPLLAACCEE/36/mH/36mHhMwaXImB_small.mp4
Unavailable,41.8647,88.1428,222.887,Above Sea Level,2020-11-21,19:16:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36pLKcZn8IwB.json,36,RREEPPLLAACCEE/36/pL/36pLKcZn8IwB.mp4,RREEPPLLAACCEE/36/pL/36pLKcZn8IwB_small.mp4
Unavailable,32.9962,96.7939,0,Unavailable,2020-07-20,08:03:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36vOACnlONVP.json,36,RREEPPLLAACCEE/36/vO/36vOACnlONVP.mp4,RREEPPLLAACCEE/36/vO/36vOACnlONVP_small.mp4
Unavailable,26.3248,81.6953,7,Above Sea Level,2020-07-23,21:22:53,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36x1QeCek6BF.json,36,RREEPPLLAACCEE/36/x1/36x1QeCek6BF.mp4,RREEPPLLAACCEE/36/x1/36x1QeCek6BF_small.mp4
Unavailable,33.9010,84.8065,318.79,Above Sea Level,2020-07-20,21:46:29,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36xQHzfwDhr6.json,36,RREEPPLLAACCEE/36/xQ/36xQHzfwDhr6.mp4,RREEPPLLAACCEE/36/xQ/36xQHzfwDhr6_small.mp4
Unavailable,35.7230,114.4847,725.697,Above Sea Level,2020-11-11,15:12:42,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36zk51CtRG1T.json,36,RREEPPLLAACCEE/36/zk/36zk51CtRG1T.mp4,RREEPPLLAACCEE/36/zk/36zk51CtRG1T_small.mp4
Unavailable,0,0,0,Unavailable,2020-11-14,02:37:22,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3601AIEHfe63.json,36,RREEPPLLAACCEE/36/01/3601AIEHfe63.mp4,RREEPPLLAACCEE/36/01/3601AIEHfe63_small.mp4
Unavailable,0,0,0,Unavailable,2020-08-08,08:21:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-3601ZTRndVaJ.json,36,RREEPPLLAACCEE/36/01/3601ZTRndVaJ.mp4,RREEPPLLAACCEE/36/01/3601ZTRndVaJ_small.mp4
Unavailable,0,0,0,Unavailable,2020-12-01,21:15:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-36028dNjlSFC.json,36,RREEPPLLAACCEE/36/02/36028dNjlSFC.mp4,RREEPPLLAACCEE/36/02/36028dNjlSFC_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-360JjhbgVzpP.json,36,RREEPPLLAACCEE/36/0J/360JjhbgVzpP.mp4,RREEPPLLAACCEE/36/0J/360JjhbgVzpP_small.mp4
Unavailable,0,0,0,Unavailable,0000-00-00,00:00:00,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-360MwrKffnP9.json,36,RREEPPLLAACCEE/36/0M/360MwrKffnP9.mp4,RREEPPLLAACCEE/36/0M/360MwrKffnP9_small.mp4
