Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
dantalson,0,0,0,Unavailable,2020-07-22,19:27:42,Unavailable,Unavailable,Unavailable,Unavailable,palmetto,palmetto,palmetto,meta-9RJLbP5lQZTB.json,9R,RREEPPLLAACCEE/9R/JL/9RJLbP5lQZTB.mp4,RREEPPLLAACCEE/9R/JL/9RJLbP5lQZTB_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-10,14:09:37,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-9RmWTptkh8kT.json,9R,RREEPPLLAACCEE/9R/mW/9RmWTptkh8kT.mp4,RREEPPLLAACCEE/9R/mW/9RmWTptkh8kT_small.mp4
macbook,0,0,0,Unavailable,2020-07-28,15:52:04,Unavailable,Unavailable,Unavailable,Unavailable,macbook,macbook,macbook,meta-9Rs9I3baCd4t.json,9R,RREEPPLLAACCEE/9R/s9/9Rs9I3baCd4t.mp4,RREEPPLLAACCEE/9R/s9/9Rs9I3baCd4t_small.mp4
melinachan,0,0,0,Unavailable,2020-09-17,23:14:02,NIKON CORPORATION,,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-9r3wqKfSHw1v.json,9r,RREEPPLLAACCEE/9r/3w/9r3wqKfSHw1v.mp4,RREEPPLLAACCEE/9r/3w/9r3wqKfSHw1v_small.mp4
Adianec Cervantes,0,0,0,Unavailable,2020-08-25,06:13:18,Unavailable,Unavailable,Unavailable,Unavailable,Adianec Cervantes,Adianec Cervantes,Adianec Cervantes,meta-9rhiWXBq8Gju.json,9r,RREEPPLLAACCEE/9r/hi/9rhiWXBq8Gju.mp4,RREEPPLLAACCEE/9r/hi/9rhiWXBq8Gju_small.mp4
Unavailable,38.8965,77.0297,18.124,Below Sea Level,2021-01-05,19:30:16,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9R41xX7bevNI.json,9R,RREEPPLLAACCEE/9R/41/9R41xX7bevNI.mp4,RREEPPLLAACCEE/9R/41/9R41xX7bevNI_small.mp4
Unavailable,59.3846,17.0404,15.77,Above Sea Level,2020-11-25,03:46:31,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RAS3QmQArAw.json,9R,RREEPPLLAACCEE/9R/AS/9RAS3QmQArAw.mp4,RREEPPLLAACCEE/9R/AS/9RAS3QmQArAw_small.mp4
Unavailable,42.2710,84.4156,302.557,Above Sea Level,2020-12-20,20:29:22,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RF8KEinYXmq.json,9R,RREEPPLLAACCEE/9R/F8/9RF8KEinYXmq.mp4,RREEPPLLAACCEE/9R/F8/9RF8KEinYXmq_small.mp4
Unavailable,27.4685,153.0241,11.466,Above Sea Level,2021-01-10,06:09:30,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RJgagJnsryk.json,9R,RREEPPLLAACCEE/9R/Jg/9RJgagJnsryk.mp4,RREEPPLLAACCEE/9R/Jg/9RJgagJnsryk_small.mp4
Unavailable,42.3585,88.1352,235.437,Above Sea Level,2020-10-14,12:01:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RU5BJxhYjhw.json,9R,RREEPPLLAACCEE/9R/U5/9RU5BJxhYjhw.mp4,RREEPPLLAACCEE/9R/U5/9RU5BJxhYjhw_small.mp4
Unavailable,38.1093,92.7897,210.29,Above Sea Level,2020-12-16,18:36:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RYljZkAnrqb.json,9R,RREEPPLLAACCEE/9R/Yl/9RYljZkAnrqb.mp4,RREEPPLLAACCEE/9R/Yl/9RYljZkAnrqb_small.mp4
Unavailable,30.4731,90.2415,8.832,Above Sea Level,2020-12-08,02:08:36,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Rb1LNCk0xBv.json,9R,RREEPPLLAACCEE/9R/b1/9Rb1LNCk0xBv.mp4,RREEPPLLAACCEE/9R/b1/9Rb1LNCk0xBv_small.mp4
Unavailable,26.7700,80.0515,2.08,Above Sea Level,2020-04-10,12:16:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RnmRxhQ1bE6.json,9R,RREEPPLLAACCEE/9R/nm/9RnmRxhQ1bE6.mp4,RREEPPLLAACCEE/9R/nm/9RnmRxhQ1bE6_small.mp4
Unavailable,38.8916,77.0366,15.139,Above Sea Level,2021-01-06,15:32:59,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RrnmonKnZLm.json,9R,RREEPPLLAACCEE/9R/rn/9RrnmonKnZLm.mp4,RREEPPLLAACCEE/9R/rn/9RrnmonKnZLm_small.mp4
Unavailable,42.0088,72.8385,129.349,Above Sea Level,2020-07-18,14:52:36,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9RwU66Bk4S4U.json,9R,RREEPPLLAACCEE/9R/wU/9RwU66Bk4S4U.mp4,RREEPPLLAACCEE/9R/wU/9RwU66Bk4S4U_small.mp4
Unavailable,29.7028,95.3659,13.566,Above Sea Level,2020-04-28,18:34:48,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9Rx08uMWFWqd.json,9R,RREEPPLLAACCEE/9R/x0/9Rx08uMWFWqd.mp4,RREEPPLLAACCEE/9R/x0/9Rx08uMWFWqd_small.mp4
Unavailable,40.6028,74.3150,28.219,Above Sea Level,2020-08-17,21:20:31,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9rDtZy48ulE5.json,9r,RREEPPLLAACCEE/9r/Dt/9rDtZy48ulE5.mp4,RREEPPLLAACCEE/9r/Dt/9rDtZy48ulE5_small.mp4
Unavailable,41.0167,73.9375,5.573,Above Sea Level,2020-08-19,18:25:32,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-9rQUbqdB1Ljt.json,9r,RREEPPLLAACCEE/9r/QU/9rQUbqdB1Ljt.mp4,RREEPPLLAACCEE/9r/QU/9rQUbqdB1Ljt_small.mp4
