Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
ashle,0,0,0,Unavailable,2020-10-10,16:42:24,Unavailable,Unavailable,Unavailable,Unavailable,ashle,ashle,ashle,meta-NZCMQY5xe6Qv.json,NZ,RREEPPLLAACCEE/NZ/CM/NZCMQY5xe6Qv.mp4,RREEPPLLAACCEE/NZ/CM/NZCMQY5xe6Qv_small.mp4
nick,0,0,0,Unavailable,2020-10-20,18:46:47,Unavailable,Unavailable,Unavailable,Unavailable,nick,nick,nick,meta-NZQdDs41uyaH.json,NZ,RREEPPLLAACCEE/NZ/Qd/NZQdDs41uyaH.mp4,RREEPPLLAACCEE/NZ/Qd/NZQdDs41uyaH_small.mp4
matthew,0,0,0,Unavailable,2020-11-19,00:22:11,Canon,,,,matthew,matthew,matthew,meta-Nz6gZvDXeVdO.json,Nz,RREEPPLLAACCEE/Nz/6g/Nz6gZvDXeVdO.mp4,RREEPPLLAACCEE/Nz/6g/Nz6gZvDXeVdO_small.mp4
Cooper HQ,0,0,0,Unavailable,2020-10-14,17:55:32,Unavailable,Unavailable,Unavailable,Unavailable,Cooper HQ,Cooper HQ,Cooper HQ,meta-NzTCI4PRGKDs.json,Nz,RREEPPLLAACCEE/Nz/TC/NzTCI4PRGKDs.mp4,RREEPPLLAACCEE/Nz/TC/NzTCI4PRGKDs_small.mp4
tades,0,0,0,Unavailable,2021-01-07,08:25:22,samsung,,Unavailable,Unavailable,tades,tades,tades,meta-nZbFn7uuH5hW.json,nZ,RREEPPLLAACCEE/nZ/bF/nZbFn7uuH5hW.mp4,RREEPPLLAACCEE/nZ/bF/nZbFn7uuH5hW_small.mp4
Admin,0,0,0,Unavailable,2020-12-21,23:42:12,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-nzHY1kOYchpa.json,nz,RREEPPLLAACCEE/nz/HY/nzHY1kOYchpa.mp4,RREEPPLLAACCEE/nz/HY/nzHY1kOYchpa_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-06,20:25:51,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-nzTE4OTQTCIk.json,nz,RREEPPLLAACCEE/nz/TE/nzTE4OTQTCIk.mp4,RREEPPLLAACCEE/nz/TE/nzTE4OTQTCIk_small.mp4
Unavailable,38.8899,77.0100,15.867,Above Sea Level,2021-01-06,21:38:45,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZ0P8ssAGysd.json,NZ,RREEPPLLAACCEE/NZ/0P/NZ0P8ssAGysd.mp4,RREEPPLLAACCEE/NZ/0P/NZ0P8ssAGysd_small.mp4
Unavailable,36.1664,115.1425,555.29,Above Sea Level,2021-01-06,20:41:51,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZ32N5FKUUCT.json,NZ,RREEPPLLAACCEE/NZ/32/NZ32N5FKUUCT.mp4,RREEPPLLAACCEE/NZ/32/NZ32N5FKUUCT_small.mp4
Unavailable,26.2460,80.0939,2.221,Above Sea Level,2020-11-20,13:56:11,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZ7G9O9GCe7H.json,NZ,RREEPPLLAACCEE/NZ/7G/NZ7G9O9GCe7H.mp4,RREEPPLLAACCEE/NZ/7G/NZ7G9O9GCe7H_small.mp4
Unavailable,40.6695,73.5246,0,Unavailable,2020-12-31,21:44:16,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZ8HR836kw1m.json,NZ,RREEPPLLAACCEE/NZ/8H/NZ8HR836kw1m.mp4,RREEPPLLAACCEE/NZ/8H/NZ8HR836kw1m_small.mp4
Unavailable,38.9508,76.8291,0,Unavailable,2020-10-03,20:00:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZEHgG8Nl3BV.json,NZ,RREEPPLLAACCEE/NZ/EH/NZEHgG8Nl3BV.mp4,RREEPPLLAACCEE/NZ/EH/NZEHgG8Nl3BV_small.mp4
Unavailable,41.8702,87.6769,181.547,Above Sea Level,2020-11-30,00:59:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZWWbCps9CE2.json,NZ,RREEPPLLAACCEE/NZ/WW/NZWWbCps9CE2.mp4,RREEPPLLAACCEE/NZ/WW/NZWWbCps9CE2_small.mp4
Unavailable,34.2573,82.1859,175.681,Above Sea Level,2020-11-26,14:21:51,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NZZIo5xdzcic.json,NZ,RREEPPLLAACCEE/NZ/ZI/NZZIo5xdzcic.mp4,RREEPPLLAACCEE/NZ/ZI/NZZIo5xdzcic_small.mp4
