Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
emilyjiao,0,0,0,Unavailable,2020-09-24,22:48:18,NIKON CORPORATION,,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-YBPQ2cWDW07v.json,YB,RREEPPLLAACCEE/YB/PQ/YBPQ2cWDW07v.mp4,RREEPPLLAACCEE/YB/PQ/YBPQ2cWDW07v_small.mp4
One,0,0,0,Unavailable,2020-12-12,21:34:06,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-yB4LB0M1Dk2W.json,yB,RREEPPLLAACCEE/yB/4L/yB4LB0M1Dk2W.mp4,RREEPPLLAACCEE/yB/4L/yB4LB0M1Dk2W_small.mp4
melinachan,0,0,0,Unavailable,2020-07-08,22:41:05,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-yBkIuXPsEPTD.json,yB,RREEPPLLAACCEE/yB/kI/yBkIuXPsEPTD.mp4,RREEPPLLAACCEE/yB/kI/yBkIuXPsEPTD_small.mp4
Johnson,0,0,0,Unavailable,2020-12-18,11:31:51,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-yb4AtGP69UfU.json,yb,RREEPPLLAACCEE/yb/4A/yb4AtGP69UfU.mp4,RREEPPLLAACCEE/yb/4A/yb4AtGP69UfU_small.mp4
marks,0,0,0,Unavailable,2020-11-07,01:36:52,Unavailable,Unavailable,Unavailable,Unavailable,markstout,marks,markstout,meta-ybYJRtClSTSy.json,yb,RREEPPLLAACCEE/yb/YJ/ybYJRtClSTSy.mp4,RREEPPLLAACCEE/yb/YJ/ybYJRtClSTSy_small.mp4
fredd,0,0,0,Unavailable,2020-01-23,22:47:44,Unavailable,Unavailable,Unavailable,Unavailable,fredd,fredd,fredd,meta-ybennjRGRJbA.json,yb,RREEPPLLAACCEE/yb/en/ybennjRGRJbA.mp4,RREEPPLLAACCEE/yb/en/ybennjRGRJbA_small.mp4
Unavailable,37.6998,122.1778,6.669,Above Sea Level,2020-11-29,20:53:39,Apple,iPad (8th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YB1suEouCmPj.json,YB,RREEPPLLAACCEE/YB/1s/YB1suEouCmPj.mp4,RREEPPLLAACCEE/YB/1s/YB1suEouCmPj_small.mp4
Unavailable,35.1241,106.5486,1657.39,Above Sea Level,2020-11-11,02:12:26,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YB6hiUKQdYTu.json,YB,RREEPPLLAACCEE/YB/6h/YB6hiUKQdYTu.mp4,RREEPPLLAACCEE/YB/6h/YB6hiUKQdYTu_small.mp4
Unavailable,39.9522,86.5476,290.413,Above Sea Level,2020-11-08,21:08:04,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBByi0YsiTwS.json,YB,RREEPPLLAACCEE/YB/By/YBByi0YsiTwS.mp4,RREEPPLLAACCEE/YB/By/YBByi0YsiTwS_small.mp4
Unavailable,30.5681,81.7752,7.3,Above Sea Level,2020-11-15,04:27:27,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBEKcXnJkOnO.json,YB,RREEPPLLAACCEE/YB/EK/YBEKcXnJkOnO.mp4,RREEPPLLAACCEE/YB/EK/YBEKcXnJkOnO_small.mp4
Unavailable,40.6622,73.3827,3.398,Above Sea Level,2020-11-09,20:45:56,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBEoC2TyxpZ1.json,YB,RREEPPLLAACCEE/YB/Eo/YBEoC2TyxpZ1.mp4,RREEPPLLAACCEE/YB/Eo/YBEoC2TyxpZ1_small.mp4
Unavailable,47.0365,122.9037,52.06,Above Sea Level,2020-12-12,20:46:09,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBFdkidnAVuC.json,YB,RREEPPLLAACCEE/YB/Fd/YBFdkidnAVuC.mp4,RREEPPLLAACCEE/YB/Fd/YBFdkidnAVuC_small.mp4
Unavailable,44.0473,123.3449,118.04,Above Sea Level,2020-06-05,20:20:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBJULYgsmYQL.json,YB,RREEPPLLAACCEE/YB/JU/YBJULYgsmYQL.mp4,RREEPPLLAACCEE/YB/JU/YBJULYgsmYQL_small.mp4
Unavailable,46.6369,85.9660,260.619,Above Sea Level,2021-01-02,18:22:29,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBURjhdnEqIA.json,YB,RREEPPLLAACCEE/YB/UR/YBURjhdnEqIA.mp4,RREEPPLLAACCEE/YB/UR/YBURjhdnEqIA_small.mp4
Unavailable,3.9222,73.4551,7.778,Above Sea Level,2020-11-14,07:23:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBb7nth4aXT5.json,YB,RREEPPLLAACCEE/YB/b7/YBb7nth4aXT5.mp4,RREEPPLLAACCEE/YB/b7/YBb7nth4aXT5_small.mp4
Unavailable,45.0105,93.4286,279.064,Above Sea Level,2020-08-07,14:46:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-YBgkwnDckcjn.json,YB,RREEPPLLAACCEE/YB/gk/YBgkwnDckcjn.mp4,RREEPPLLAACCEE/YB/gk/YBgkwnDckcjn_small.mp4
