Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Mark,0,0,0,Unavailable,2017-07-17,22:18:14,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-XHlHTYjzq6Mn.json,XH,RREEPPLLAACCEE/XH/lH/XHlHTYjzq6Mn.mp4,RREEPPLLAACCEE/XH/lH/XHlHTYjzq6Mn_small.mp4
vincefoxx,0,0,0,Unavailable,2020-05-13,00:35:10,Unavailable,Unavailable,Unavailable,Unavailable,vincefoxx,vincefoxx,vincefoxx,meta-XhGsJUcPNtus.json,Xh,RREEPPLLAACCEE/Xh/Gs/XhGsJUcPNtus.mp4,RREEPPLLAACCEE/Xh/Gs/XhGsJUcPNtus_small.mp4
Sameer,0,0,0,Unavailable,2020-07-23,20:43:35,Unavailable,Unavailable,Unavailable,Unavailable,Sameer,Sameer,Sameer,meta-XhgBxV3BiEiN.json,Xh,RREEPPLLAACCEE/Xh/gB/XhgBxV3BiEiN.mp4,RREEPPLLAACCEE/Xh/gB/XhgBxV3BiEiN_small.mp4
jordi,0,0,0,Unavailable,2020-09-23,19:29:08,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-xHEtc7yEKeoj.json,xH,RREEPPLLAACCEE/xH/Et/xHEtc7yEKeoj.mp4,RREEPPLLAACCEE/xH/Et/xHEtc7yEKeoj_small.mp4
Bgregg,0,0,0,Unavailable,2020-10-25,04:51:41,Unavailable,,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-xhGjVUSjIEOV.json,xh,RREEPPLLAACCEE/xh/Gj/xhGjVUSjIEOV.mp4,RREEPPLLAACCEE/xh/Gj/xhGjVUSjIEOV_small.mp4
Unavailable,33.5500,101.8944,992.3,Above Sea Level,2021-01-07,15:16:06,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XH1iVJgbfM2b.json,XH,RREEPPLLAACCEE/XH/1i/XH1iVJgbfM2b.mp4,RREEPPLLAACCEE/XH/1i/XH1iVJgbfM2b_small.mp4
Unavailable,40.5088,74.2403,13.062,Above Sea Level,2021-01-10,01:54:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XH3DBwVGJHVc.json,XH,RREEPPLLAACCEE/XH/3D/XH3DBwVGJHVc.mp4,RREEPPLLAACCEE/XH/3D/XH3DBwVGJHVc_small.mp4
Unavailable,32.8477,96.7127,163.196,Above Sea Level,2020-12-05,03:45:52,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XH7bBVbSwW6E.json,XH,RREEPPLLAACCEE/XH/7b/XH7bBVbSwW6E.mp4,RREEPPLLAACCEE/XH/7b/XH7bBVbSwW6E_small.mp4
Unavailable,39.7850,105.0542,1636.864,Above Sea Level,2020-10-17,02:05:12,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XH8qYD4OuJ6x.json,XH,RREEPPLLAACCEE/XH/8q/XH8qYD4OuJ6x.mp4,RREEPPLLAACCEE/XH/8q/XH8qYD4OuJ6x_small.mp4
Unavailable,28.6087,81.5255,43.121,Above Sea Level,2020-11-12,03:07:11,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHBTaKSxxrG2.json,XH,RREEPPLLAACCEE/XH/BT/XHBTaKSxxrG2.mp4,RREEPPLLAACCEE/XH/BT/XHBTaKSxxrG2_small.mp4
Unavailable,26.2462,80.0939,2.942,Above Sea Level,2020-12-10,21:55:29,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHEVzRa2S0y4.json,XH,RREEPPLLAACCEE/XH/EV/XHEVzRa2S0y4.mp4,RREEPPLLAACCEE/XH/EV/XHEVzRa2S0y4_small.mp4
Unavailable,28.9277,81.9216,28.064,Above Sea Level,2020-10-04,21:42:47,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHKnF4AJvJRh.json,XH,RREEPPLLAACCEE/XH/Kn/XHKnF4AJvJRh.mp4,RREEPPLLAACCEE/XH/Kn/XHKnF4AJvJRh_small.mp4
Unavailable,52.6020,2.1553,107.669,Above Sea Level,2021-01-08,15:04:59,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHMTAKZ3X97k.json,XH,RREEPPLLAACCEE/XH/MT/XHMTAKZ3X97k.mp4,RREEPPLLAACCEE/XH/MT/XHMTAKZ3X97k_small.mp4
Unavailable,49.9500,119.3801,377.17,Above Sea Level,2018-10-22,20:43:53,Apple,iPhone SE,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHNRZez5ZQOn.json,XH,RREEPPLLAACCEE/XH/NR/XHNRZez5ZQOn.mp4,RREEPPLLAACCEE/XH/NR/XHNRZez5ZQOn_small.mp4
Unavailable,38.9828,84.0709,271.459,Above Sea Level,2020-12-05,16:05:59,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHTSfP2URim4.json,XH,RREEPPLLAACCEE/XH/TS/XHTSfP2URim4.mp4,RREEPPLLAACCEE/XH/TS/XHTSfP2URim4_small.mp4
Unavailable,35.7331,81.6720,351,Above Sea Level,2020-04-13,16:20:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHfwtdPoPfOK.json,XH,RREEPPLLAACCEE/XH/fw/XHfwtdPoPfOK.mp4,RREEPPLLAACCEE/XH/fw/XHfwtdPoPfOK_small.mp4
Unavailable,32.2655,90.9173,43.6,Above Sea Level,2020-11-09,16:14:37,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHr7COOLopLy.json,XH,RREEPPLLAACCEE/XH/r7/XHr7COOLopLy.mp4,RREEPPLLAACCEE/XH/r7/XHr7COOLopLy_small.mp4
Unavailable,51.5256,.0259,11.998,Above Sea Level,2020-07-20,03:48:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHxC2ouI01FO.json,XH,RREEPPLLAACCEE/XH/xC/XHxC2ouI01FO.mp4,RREEPPLLAACCEE/XH/xC/XHxC2ouI01FO_small.mp4
Unavailable,38.7240,90.2941,176.364,Above Sea Level,2020-10-22,01:20:59,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XHylSRWibURk.json,XH,RREEPPLLAACCEE/XH/yl/XHylSRWibURk.mp4,RREEPPLLAACCEE/XH/yl/XHylSRWibURk_small.mp4
