Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
peterturner,0,0,0,Unavailable,2020-09-16,17:06:22,Unavailable,Unavailable,Unavailable,Unavailable,peterturner,peterturner,peterturner,meta-Goufmx5aqBUJ.json,Go,RREEPPLLAACCEE/Go/uf/Goufmx5aqBUJ.mp4,RREEPPLLAACCEE/Go/uf/Goufmx5aqBUJ_small.mp4
adart,0,0,0,Unavailable,2020-10-26,01:06:34,Unavailable,Unavailable,Unavailable,Unavailable,adart,adart,adart,meta-gOABTKkUgRZu.json,gO,RREEPPLLAACCEE/gO/AB/gOABTKkUgRZu.mp4,RREEPPLLAACCEE/gO/AB/gOABTKkUgRZu_small.mp4
jotac,0,0,0,Unavailable,2020-07-22,12:38:01,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-gOVkuMX4Abzz.json,gO,RREEPPLLAACCEE/gO/Vk/gOVkuMX4Abzz.mp4,RREEPPLLAACCEE/gO/Vk/gOVkuMX4Abzz_small.mp4
liamnahill,0,0,0,Unavailable,2020-09-16,13:51:22,Unavailable,Unavailable,Unavailable,Unavailable,liamnahill,liamnahill,liamnahill,meta-goHYOxaheL3N.json,go,RREEPPLLAACCEE/go/HY/goHYOxaheL3N.mp4,RREEPPLLAACCEE/go/HY/goHYOxaheL3N_small.mp4
Unavailable,27.7673,82.3797,11.178,Above Sea Level,2020-12-31,18:28:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GO1yReKnU9Hk.json,GO,RREEPPLLAACCEE/GO/1y/GO1yReKnU9Hk.mp4,RREEPPLLAACCEE/GO/1y/GO1yReKnU9Hk_small.mp4
Unavailable,27.0757,82.4251,5.958,Above Sea Level,2020-10-31,17:51:00,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GO2EmSHBPSLk.json,GO,RREEPPLLAACCEE/GO/2E/GO2EmSHBPSLk.mp4,RREEPPLLAACCEE/GO/2E/GO2EmSHBPSLk_small.mp4
Unavailable,59.2771,18.4303,32.107,Above Sea Level,2020-11-16,22:37:08,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GO6QcVFn9DD7.json,GO,RREEPPLLAACCEE/GO/6Q/GO6QcVFn9DD7.mp4,RREEPPLLAACCEE/GO/6Q/GO6QcVFn9DD7_small.mp4
Unavailable,65.1528,149.3408,122.35,Above Sea Level,2020-09-13,03:36:38,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GO6iTMLyv8ME.json,GO,RREEPPLLAACCEE/GO/6i/GO6iTMLyv8ME.mp4,RREEPPLLAACCEE/GO/6i/GO6iTMLyv8ME_small.mp4
Unavailable,41.4719,74.0435,74.483,Above Sea Level,2020-11-07,03:07:48,Apple,iPhone SE (1st generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GOADow6zN07r.json,GO,RREEPPLLAACCEE/GO/AD/GOADow6zN07r.mp4,RREEPPLLAACCEE/GO/AD/GOADow6zN07r_small.mp4
Unavailable,30.6360,86.9533,42.892,Above Sea Level,2020-09-05,02:08:09,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GOKbVmz551oE.json,GO,RREEPPLLAACCEE/GO/Kb/GOKbVmz551oE.mp4,RREEPPLLAACCEE/GO/Kb/GOKbVmz551oE_small.mp4
