Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Yuling,0,0,0,Unavailable,2020-12-19,02:34:52,Unavailable,Unavailable,Unavailable,Unavailable,xuchenwu,xuchenwu,xuchenwu,meta-CZ02b1xUdFcw.json,CZ,RREEPPLLAACCEE/CZ/02/CZ02b1xUdFcw.mp4,RREEPPLLAACCEE/CZ/02/CZ02b1xUdFcw_small.mp4
justincaruso,0,0,0,Unavailable,2020-09-29,21:37:50,Unavailable,Unavailable,Unavailable,Unavailable,justincaruso,justincaruso,justincaruso,meta-CZ80gifLAh1C.json,CZ,RREEPPLLAACCEE/CZ/80/CZ80gifLAh1C.mp4,RREEPPLLAACCEE/CZ/80/CZ80gifLAh1C_small.mp4
martinsellner,0,0,0,Unavailable,2020-07-23,15:48:00,Unavailable,Unavailable,Unavailable,Unavailable,martinsellner,martinsellner,martinsellner,meta-CZvUC2EctTJg.json,CZ,RREEPPLLAACCEE/CZ/vU/CZvUC2EctTJg.mp4,RREEPPLLAACCEE/CZ/vU/CZvUC2EctTJg_small.mp4
erickrodriguez,0,0,0,Unavailable,2021-01-06,14:35:42,Unavailable,Unavailable,Unavailable,Unavailable,erickrodriguez,erickrodriguez,erickrodriguez,meta-CZxcCBeHiMwy.json,CZ,RREEPPLLAACCEE/CZ/xc/CZxcCBeHiMwy.mp4,RREEPPLLAACCEE/CZ/xc/CZxcCBeHiMwy_small.mp4
hernandez,0,0,0,Unavailable,2019-11-05,18:40:02,Unavailable,,Unavailable,Unavailable,hernandez,hernandez,hernandez,meta-CzHQMYlkXuIA.json,Cz,RREEPPLLAACCEE/Cz/HQ/CzHQMYlkXuIA.mp4,RREEPPLLAACCEE/Cz/HQ/CzHQMYlkXuIA_small.mp4
jordi,0,0,0,Unavailable,2020-08-19,11:09:17,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-CzkJ8odrZqty.json,Cz,RREEPPLLAACCEE/Cz/kJ/CzkJ8odrZqty.mp4,RREEPPLLAACCEE/Cz/kJ/CzkJ8odrZqty_small.mp4
chrissingleton,0,0,0,Unavailable,2020-03-30,00:10:38,Unavailable,Unavailable,Unavailable,Unavailable,chrissingleton,chrissingleton,chrissingleton,meta-cZAqXXeGaPZH.json,cZ,RREEPPLLAACCEE/cZ/Aq/cZAqXXeGaPZH.mp4,RREEPPLLAACCEE/cZ/Aq/cZAqXXeGaPZH_small.mp4
Produtora,0,0,0,Unavailable,2021-01-04,15:17:07,Unavailable,Unavailable,Unavailable,Unavailable,Produtora,Produtora,Produtora,meta-cZa3Ouu9h4Rn.json,cZ,RREEPPLLAACCEE/cZ/a3/cZa3Ouu9h4Rn.mp4,RREEPPLLAACCEE/cZ/a3/cZa3Ouu9h4Rn_small.mp4
puro,0,0,0,Unavailable,2020-11-11,17:53:15,Unavailable,Unavailable,Unavailable,Unavailable,puro,puro,puro,meta-czTtaWTWkEF7.json,cz,RREEPPLLAACCEE/cz/Tt/czTtaWTWkEF7.mp4,RREEPPLLAACCEE/cz/Tt/czTtaWTWkEF7_small.mp4
Unavailable,26.1440,80.2059,2.66,Above Sea Level,2018-11-11,23:08:01,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZ0AUq9NWYlu.json,CZ,RREEPPLLAACCEE/CZ/0A/CZ0AUq9NWYlu.mp4,RREEPPLLAACCEE/CZ/0A/CZ0AUq9NWYlu_small.mp4
Unavailable,34.8617,89.9097,110.517,Above Sea Level,2020-11-06,01:01:07,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZ34KPIp0Te3.json,CZ,RREEPPLLAACCEE/CZ/34/CZ34KPIp0Te3.mp4,RREEPPLLAACCEE/CZ/34/CZ34KPIp0Te3_small.mp4
Unavailable,59.3846,17.0403,15.93,Above Sea Level,2020-11-23,15:52:25,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZIqsT2Ah6Yz.json,CZ,RREEPPLLAACCEE/CZ/Iq/CZIqsT2Ah6Yz.mp4,RREEPPLLAACCEE/CZ/Iq/CZIqsT2Ah6Yz_small.mp4
Unavailable,38.8955,77.0296,6.221,Above Sea Level,2020-12-12,17:15:18,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZJC8MfDh80t.json,CZ,RREEPPLLAACCEE/CZ/JC/CZJC8MfDh80t.mp4,RREEPPLLAACCEE/CZ/JC/CZJC8MfDh80t_small.mp4
Unavailable,40.4313,74.2267,23.536,Above Sea Level,2020-06-26,22:14:35,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZOPrObSEPwz.json,CZ,RREEPPLLAACCEE/CZ/OP/CZOPrObSEPwz.mp4,RREEPPLLAACCEE/CZ/OP/CZOPrObSEPwz_small.mp4
Unavailable,32.7629,97.2232,188.36,Above Sea Level,2020-07-02,15:17:58,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZOSTxbmeBec.json,CZ,RREEPPLLAACCEE/CZ/OS/CZOSTxbmeBec.mp4,RREEPPLLAACCEE/CZ/OS/CZOSTxbmeBec_small.mp4
Unavailable,33.1136,96.6435,205.054,Above Sea Level,2020-11-18,22:59:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZQSI658j1et.json,CZ,RREEPPLLAACCEE/CZ/QS/CZQSI658j1et.mp4,RREEPPLLAACCEE/CZ/QS/CZQSI658j1et_small.mp4
Unavailable,33.3702,117.1721,201.5,Above Sea Level,2020-12-04,16:10:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZTNNQ2Bv9R5.json,CZ,RREEPPLLAACCEE/CZ/TN/CZTNNQ2Bv9R5.mp4,RREEPPLLAACCEE/CZ/TN/CZTNNQ2Bv9R5_small.mp4
Unavailable,40.3197,79.9066,288.938,Above Sea Level,2020-11-26,20:40:30,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-CZU5ekIptHLk.json,CZ,RREEPPLLAACCEE/CZ/U5/CZU5ekIptHLk.mp4,RREEPPLLAACCEE/CZ/U5/CZU5ekIptHLk_small.mp4
