Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
mikehogan,0,0,0,Unavailable,2020-10-14,13:36:28,Unavailable,Unavailable,Unavailable,Unavailable,mikehogan,mikehogan,mikehogan,meta-UPQMF8DocojM.json,UP,RREEPPLLAACCEE/UP/QM/UPQMF8DocojM.mp4,RREEPPLLAACCEE/UP/QM/UPQMF8DocojM_small.mp4
samuelcarrancho,0,0,0,Unavailable,2014-07-24,20:36:00,Unavailable,Unavailable,Unavailable,Unavailable,samuelcarrancho,samuelcarrancho,samuelcarrancho,meta-UpMNEnt22t33.json,Up,RREEPPLLAACCEE/Up/MN/UpMNEnt22t33.mp4,RREEPPLLAACCEE/Up/MN/UpMNEnt22t33_small.mp4
PC,0,0,0,Unavailable,2020-12-01,12:44:13,Unavailable,Unavailable,Unavailable,Unavailable,PC,PC,PC,meta-UpOAptZ43gVF.json,Up,RREEPPLLAACCEE/Up/OA/UpOAptZ43gVF.mp4,RREEPPLLAACCEE/Up/OA/UpOAptZ43gVF_small.mp4
a_rad,0,0,0,Unavailable,2020-10-07,12:17:36,Unavailable,Unavailable,Unavailable,Unavailable,a_rad,a_rad,a_rad,meta-uP3WQNYM70zU.json,uP,RREEPPLLAACCEE/uP/3W/uP3WQNYM70zU.mp4,RREEPPLLAACCEE/uP/3W/uP3WQNYM70zU_small.mp4
Shane,0,0,0,Unavailable,2020-11-25,22:19:09,Unavailable,Unavailable,Unavailable,Unavailable,Shane,Shane,Shane,meta-uPUAE0rfgaFx.json,uP,RREEPPLLAACCEE/uP/UA/uPUAE0rfgaFx.mp4,RREEPPLLAACCEE/uP/UA/uPUAE0rfgaFx_small.mp4
anthony072420,0,0,0,Unavailable,2021-01-04,14:15:58,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-uPno5WWnSQvN.json,uP,RREEPPLLAACCEE/uP/no/uPno5WWnSQvN.mp4,RREEPPLLAACCEE/uP/no/uPno5WWnSQvN_small.mp4
Johnson,0,0,0,Unavailable,2020-11-15,00:07:25,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-uPtSQfJtQ37c.json,uP,RREEPPLLAACCEE/uP/tS/uPtSQfJtQ37c.mp4,RREEPPLLAACCEE/uP/tS/uPtSQfJtQ37c_small.mp4
Unavailable,26.7096,80.1873,7.695,Above Sea Level,2020-12-04,00:07:43,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UP2GZSqKTQxF.json,UP,RREEPPLLAACCEE/UP/2G/UP2GZSqKTQxF.mp4,RREEPPLLAACCEE/UP/2G/UP2GZSqKTQxF_small.mp4
Unavailable,40.5850,124.1579,15.104,Above Sea Level,2020-12-31,03:29:51,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UP4jTDVbvrD9.json,UP,RREEPPLLAACCEE/UP/4j/UP4jTDVbvrD9.mp4,RREEPPLLAACCEE/UP/4j/UP4jTDVbvrD9_small.mp4
Unavailable,30.5627,90.4890,13.726,Above Sea Level,2020-11-19,16:40:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UPCYSh0wWdOm.json,UP,RREEPPLLAACCEE/UP/CY/UPCYSh0wWdOm.mp4,RREEPPLLAACCEE/UP/CY/UPCYSh0wWdOm_small.mp4
