Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2020-12-22,11:08:59,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-DXGcpaVNsd7i.json,DX,RREEPPLLAACCEE/DX/Gc/DXGcpaVNsd7i.mp4,RREEPPLLAACCEE/DX/Gc/DXGcpaVNsd7i_small.mp4
mwills,0,0,0,Unavailable,2021-01-05,23:52:39,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-DXuDhIG5umcB.json,DX,RREEPPLLAACCEE/DX/uD/DXuDhIG5umcB.mp4,RREEPPLLAACCEE/DX/uD/DXuDhIG5umcB_small.mp4
Daniel,0,0,0,Unavailable,2020-11-13,22:36:59,Unavailable,Unavailable,Unavailable,Unavailable,Daniel,Daniel,Daniel,meta-Dx4vNbdOM1UD.json,Dx,RREEPPLLAACCEE/Dx/4v/Dx4vNbdOM1UD.mp4,RREEPPLLAACCEE/Dx/4v/Dx4vNbdOM1UD_small.mp4
dongf,0,0,0,Unavailable,2020-11-28,08:34:17,Unavailable,Unavailable,Unavailable,Unavailable,dongf,dongf,dongf,meta-dX5wF1glVWSa.json,dX,RREEPPLLAACCEE/dX/5w/dX5wF1glVWSa.mp4,RREEPPLLAACCEE/dX/5w/dX5wF1glVWSa_small.mp4
Deco,0,0,0,Unavailable,2020-11-12,19:24:34,Unavailable,Unavailable,Unavailable,Unavailable,Deco,Deco,Deco,meta-dXmlHDGR7LYN.json,dX,RREEPPLLAACCEE/dX/ml/dXmlHDGR7LYN.mp4,RREEPPLLAACCEE/dX/ml/dXmlHDGR7LYN_small.mp4
Melanie,0,0,0,Unavailable,2020-12-16,23:59:28,Unavailable,Unavailable,Unavailable,Unavailable,Melanie,Melanie,Melanie,meta-dxkrANaiBxpL.json,dx,RREEPPLLAACCEE/dx/kr/dxkrANaiBxpL.mp4,RREEPPLLAACCEE/dx/kr/dxkrANaiBxpL_small.mp4
Unavailable,35.7432,81.3894,378.118,Above Sea Level,2020-11-02,00:04:03,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX10mnTP30dj.json,DX,RREEPPLLAACCEE/DX/10/DX10mnTP30dj.mp4,RREEPPLLAACCEE/DX/10/DX10mnTP30dj_small.mp4
Unavailable,25.9679,80.1921,4.238,Above Sea Level,2020-07-24,18:55:45,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX1YrNO0rmvJ.json,DX,RREEPPLLAACCEE/DX/1Y/DX1YrNO0rmvJ.mp4,RREEPPLLAACCEE/DX/1Y/DX1YrNO0rmvJ_small.mp4
Unavailable,38.8899,77.0104,22.596,Above Sea Level,2021-01-06,18:33:05,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX3RBg66JdtR.json,DX,RREEPPLLAACCEE/DX/3R/DX3RBg66JdtR.mp4,RREEPPLLAACCEE/DX/3R/DX3RBg66JdtR_small.mp4
Unavailable,26.3548,80.0741,0,Unavailable,2020-10-30,19:21:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX3zOxf6YEF4.json,DX,RREEPPLLAACCEE/DX/3z/DX3zOxf6YEF4.mp4,RREEPPLLAACCEE/DX/3z/DX3zOxf6YEF4_small.mp4
Unavailable,37.8451,83.8335,198.684,Above Sea Level,2020-10-27,01:07:01,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX4GASlbagBH.json,DX,RREEPPLLAACCEE/DX/4G/DX4GASlbagBH.mp4,RREEPPLLAACCEE/DX/4G/DX4GASlbagBH_small.mp4
Unavailable,38.3068,77.4818,46.299,Above Sea Level,2020-12-05,19:54:27,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX4xN6Nnm5HQ.json,DX,RREEPPLLAACCEE/DX/4x/DX4xN6Nnm5HQ.mp4,RREEPPLLAACCEE/DX/4x/DX4xN6Nnm5HQ_small.mp4
Unavailable,32.9585,80.6980,27.457,Above Sea Level,2021-01-08,16:12:01,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DX8PvRpkUA6p.json,DX,RREEPPLLAACCEE/DX/8P/DX8PvRpkUA6p.mp4,RREEPPLLAACCEE/DX/8P/DX8PvRpkUA6p_small.mp4
Unavailable,26.6758,80.0648,1.961,Above Sea Level,2020-12-23,23:45:23,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXDXFYy4qoAW.json,DX,RREEPPLLAACCEE/DX/DX/DXDXFYy4qoAW.mp4,RREEPPLLAACCEE/DX/DX/DXDXFYy4qoAW_small.mp4
Unavailable,41.8926,80.7897,187.794,Above Sea Level,2021-01-06,21:25:51,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXMGp2gsb6I6.json,DX,RREEPPLLAACCEE/DX/MG/DXMGp2gsb6I6.mp4,RREEPPLLAACCEE/DX/MG/DXMGp2gsb6I6_small.mp4
Unavailable,34.3518,85.1609,192.64,Above Sea Level,2020-11-02,02:03:58,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXOXBuJ0vdwE.json,DX,RREEPPLLAACCEE/DX/OX/DXOXBuJ0vdwE.mp4,RREEPPLLAACCEE/DX/OX/DXOXBuJ0vdwE_small.mp4
Unavailable,40.6769,74.2925,29.478,Above Sea Level,2020-09-09,01:53:57,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXP7ks0d2BCO.json,DX,RREEPPLLAACCEE/DX/P7/DXP7ks0d2BCO.mp4,RREEPPLLAACCEE/DX/P7/DXP7ks0d2BCO_small.mp4
Unavailable,40.7052,74.0081,0,Above Sea Level,2020-04-30,23:09:49,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXPiSqcRJzSv.json,DX,RREEPPLLAACCEE/DX/Pi/DXPiSqcRJzSv.mp4,RREEPPLLAACCEE/DX/Pi/DXPiSqcRJzSv_small.mp4
Unavailable,28.5585,80.8100,6.824,Above Sea Level,2020-11-16,00:27:27,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXSLgGKws8rI.json,DX,RREEPPLLAACCEE/DX/SL/DXSLgGKws8rI.mp4,RREEPPLLAACCEE/DX/SL/DXSLgGKws8rI_small.mp4
Unavailable,34.4701,93.1650,120.959,Above Sea Level,2020-07-04,22:49:53,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXVPCtKFtpgi.json,DX,RREEPPLLAACCEE/DX/VP/DXVPCtKFtpgi.mp4,RREEPPLLAACCEE/DX/VP/DXVPCtKFtpgi_small.mp4
Unavailable,40.8898,74.2166,40.142,Above Sea Level,2020-12-03,16:49:42,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXVhs5aR2dFL.json,DX,RREEPPLLAACCEE/DX/Vh/DXVhs5aR2dFL.mp4,RREEPPLLAACCEE/DX/Vh/DXVhs5aR2dFL_small.mp4
Unavailable,35.6836,96.8731,296.798,Above Sea Level,2020-11-26,16:19:04,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXY9Xr0ItET3.json,DX,RREEPPLLAACCEE/DX/Y9/DXY9Xr0ItET3.mp4,RREEPPLLAACCEE/DX/Y9/DXY9Xr0ItET3_small.mp4
Unavailable,33.1383,94.9695,126.97,Above Sea Level,2020-12-11,16:33:32,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXZLUH0Z6R60.json,DX,RREEPPLLAACCEE/DX/ZL/DXZLUH0Z6R60.mp4,RREEPPLLAACCEE/DX/ZL/DXZLUH0Z6R60_small.mp4
Unavailable,36.3953,86.7683,274.787,Above Sea Level,2020-11-10,15:39:16,Apple,iPad Air 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXb63wSrTo93.json,DX,RREEPPLLAACCEE/DX/b6/DXb63wSrTo93.mp4,RREEPPLLAACCEE/DX/b6/DXb63wSrTo93_small.mp4
Unavailable,46.8167,123.0993,0,Unavailable,2020-11-15,20:26:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DXfP4g6Sl14B.json,DX,RREEPPLLAACCEE/DX/fP/DXfP4g6Sl14B.mp4,RREEPPLLAACCEE/DX/fP/DXfP4g6Sl14B_small.mp4
Unavailable,43.1255,75.6741,0,Unavailable,2020-12-26,01:36:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dx3HDAdtvMoG.json,Dx,RREEPPLLAACCEE/Dx/3H/Dx3HDAdtvMoG.mp4,RREEPPLLAACCEE/Dx/3H/Dx3HDAdtvMoG_small.mp4
Unavailable,33.3960,111.7836,376.493,Above Sea Level,2020-11-23,00:13:29,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dx4Kvv0FMWgq.json,Dx,RREEPPLLAACCEE/Dx/4K/Dx4Kvv0FMWgq.mp4,RREEPPLLAACCEE/Dx/4K/Dx4Kvv0FMWgq_small.mp4
Unavailable,42.4377,85.6725,226.393,Above Sea Level,2020-08-04,01:05:45,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dx5ca9NbSD3i.json,Dx,RREEPPLLAACCEE/Dx/5c/Dx5ca9NbSD3i.mp4,RREEPPLLAACCEE/Dx/5c/Dx5ca9NbSD3i_small.mp4
Unavailable,39.8387,74.9943,21.639,Above Sea Level,2020-10-26,20:38:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dx61807z0KAT.json,Dx,RREEPPLLAACCEE/Dx/61/Dx61807z0KAT.mp4,RREEPPLLAACCEE/Dx/61/Dx61807z0KAT_small.mp4
Unavailable,33.3471,84.1212,241,Above Sea Level,2020-10-28,00:36:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dx9052SCpNnn.json,Dx,RREEPPLLAACCEE/Dx/90/Dx9052SCpNnn.mp4,RREEPPLLAACCEE/Dx/90/Dx9052SCpNnn_small.mp4
Unavailable,35.9974,115.1009,728.686,Above Sea Level,2020-11-07,17:38:21,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxBEmWlUP4hI.json,Dx,RREEPPLLAACCEE/Dx/BE/DxBEmWlUP4hI.mp4,RREEPPLLAACCEE/Dx/BE/DxBEmWlUP4hI_small.mp4
Unavailable,26.7431,80.0567,0,Unavailable,2020-07-01,13:09:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxHOhBhprKfU.json,Dx,RREEPPLLAACCEE/Dx/HO/DxHOhBhprKfU.mp4,RREEPPLLAACCEE/Dx/HO/DxHOhBhprKfU_small.mp4
Unavailable,8.9054,79.5902,4.668,Above Sea Level,2020-12-04,03:11:59,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxIyH97jc0gQ.json,Dx,RREEPPLLAACCEE/Dx/Iy/DxIyH97jc0gQ.mp4,RREEPPLLAACCEE/Dx/Iy/DxIyH97jc0gQ_small.mp4
Unavailable,33.7427,112.3328,426.391,Above Sea Level,2020-07-30,20:18:51,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxJnN70A3cPv.json,Dx,RREEPPLLAACCEE/Dx/Jn/DxJnN70A3cPv.mp4,RREEPPLLAACCEE/Dx/Jn/DxJnN70A3cPv_small.mp4
Unavailable,40.5856,124.1578,15.486,Above Sea Level,2020-11-30,03:38:28,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxKcTkpqmCul.json,Dx,RREEPPLLAACCEE/Dx/Kc/DxKcTkpqmCul.mp4,RREEPPLLAACCEE/Dx/Kc/DxKcTkpqmCul_small.mp4
Unavailable,40.7054,74.0081,0,Above Sea Level,2020-04-16,02:36:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxMheoyAuIEC.json,Dx,RREEPPLLAACCEE/Dx/Mh/DxMheoyAuIEC.mp4,RREEPPLLAACCEE/Dx/Mh/DxMheoyAuIEC_small.mp4
Unavailable,45.1687,93.3887,267.511,Above Sea Level,2021-01-08,20:36:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxNxZr2RV23Q.json,Dx,RREEPPLLAACCEE/Dx/Nx/DxNxZr2RV23Q.mp4,RREEPPLLAACCEE/Dx/Nx/DxNxZr2RV23Q_small.mp4
Unavailable,38.8905,77.0157,4.508,Above Sea Level,2020-12-12,17:18:03,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxQ8AuhXNL3W.json,Dx,RREEPPLLAACCEE/Dx/Q8/DxQ8AuhXNL3W.mp4,RREEPPLLAACCEE/Dx/Q8/DxQ8AuhXNL3W_small.mp4
Unavailable,47.7383,122.1369,99.94,Above Sea Level,2020-06-20,20:05:27,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxbHChcsquDu.json,Dx,RREEPPLLAACCEE/Dx/bH/DxbHChcsquDu.mp4,RREEPPLLAACCEE/Dx/bH/DxbHChcsquDu_small.mp4
Unavailable,40.7054,74.0081,0,Above Sea Level,2020-05-14,13:40:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxeixrqDbdBu.json,Dx,RREEPPLLAACCEE/Dx/ei/DxeixrqDbdBu.mp4,RREEPPLLAACCEE/Dx/ei/DxeixrqDbdBu_small.mp4
Unavailable,38.7240,90.2941,176.26,Above Sea Level,2020-11-21,05:43:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxfYtNEFAy0e.json,Dx,RREEPPLLAACCEE/Dx/fY/DxfYtNEFAy0e.mp4,RREEPPLLAACCEE/Dx/fY/DxfYtNEFAy0e_small.mp4
Unavailable,33.3182,111.3709,592.05,Above Sea Level,2020-06-23,01:02:32,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxjTCXfVZYhb.json,Dx,RREEPPLLAACCEE/Dx/jT/DxjTCXfVZYhb.mp4,RREEPPLLAACCEE/Dx/jT/DxjTCXfVZYhb_small.mp4
Unavailable,40.9006,73.0610,0,Unavailable,2020-09-12,10:34:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxvpLCwJcv6d.json,Dx,RREEPPLLAACCEE/Dx/vp/DxvpLCwJcv6d.mp4,RREEPPLLAACCEE/Dx/vp/DxvpLCwJcv6d_small.mp4
Unavailable,39.8876,86.1242,221.904,Above Sea Level,2020-08-28,02:26:28,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxwrMwZtZdeB.json,Dx,RREEPPLLAACCEE/Dx/wr/DxwrMwZtZdeB.mp4,RREEPPLLAACCEE/Dx/wr/DxwrMwZtZdeB_small.mp4
Unavailable,28.6169,81.4490,21.411,Above Sea Level,2020-11-10,21:23:14,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dxy6Cjp5l1aq.json,Dx,RREEPPLLAACCEE/Dx/y6/Dxy6Cjp5l1aq.mp4,RREEPPLLAACCEE/Dx/y6/Dxy6Cjp5l1aq_small.mp4
Unavailable,33.2132,97.1582,206.162,Above Sea Level,2020-07-16,02:54:53,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DxyTOhgETCfb.json,Dx,RREEPPLLAACCEE/Dx/yT/DxyTOhgETCfb.mp4,RREEPPLLAACCEE/Dx/yT/DxyTOhgETCfb_small.mp4
Unavailable,41.3228,74.7974,146.754,Above Sea Level,2020-11-14,15:52:06,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Dxyp9LlPcwbg.json,Dx,RREEPPLLAACCEE/Dx/yp/Dxyp9LlPcwbg.mp4,RREEPPLLAACCEE/Dx/yp/Dxyp9LlPcwbg_small.mp4
Unavailable,33.6369,117.7068,124.045,Above Sea Level,2021-01-01,18:52:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dX3g2JGzFEXv.json,dX,RREEPPLLAACCEE/dX/3g/dX3g2JGzFEXv.mp4,RREEPPLLAACCEE/dX/3g/dX3g2JGzFEXv_small.mp4
Unavailable,29.7911,95.7367,0,Unavailable,2020-10-11,21:14:39,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXBV8ml7nXCn.json,dX,RREEPPLLAACCEE/dX/BV/dXBV8ml7nXCn.mp4,RREEPPLLAACCEE/dX/BV/dXBV8ml7nXCn_small.mp4
Unavailable,38.7070,77.7889,184.323,Above Sea Level,2020-07-11,10:04:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXDakUmPmGoo.json,dX,RREEPPLLAACCEE/dX/Da/dXDakUmPmGoo.mp4,RREEPPLLAACCEE/dX/Da/dXDakUmPmGoo_small.mp4
Unavailable,34.5418,89.9048,89.854,Above Sea Level,2020-11-08,20:01:57,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXHttKeXdgKm.json,dX,RREEPPLLAACCEE/dX/Ht/dXHttKeXdgKm.mp4,RREEPPLLAACCEE/dX/Ht/dXHttKeXdgKm_small.mp4
Unavailable,30.2727,97.7407,159.738,Above Sea Level,2021-01-06,19:29:55,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXO08In0KLQ4.json,dX,RREEPPLLAACCEE/dX/O0/dXO08In0KLQ4.mp4,RREEPPLLAACCEE/dX/O0/dXO08In0KLQ4_small.mp4
Unavailable,37.9272,121.6332,10.289,Above Sea Level,2020-08-04,17:20:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXPTwwaHCWzk.json,dX,RREEPPLLAACCEE/dX/PT/dXPTwwaHCWzk.mp4,RREEPPLLAACCEE/dX/PT/dXPTwwaHCWzk_small.mp4
Unavailable,39.8454,75.7580,108.87,Above Sea Level,2020-02-05,20:33:18,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXPs0EVb0d8m.json,dX,RREEPPLLAACCEE/dX/Ps/dXPs0EVb0d8m.mp4,RREEPPLLAACCEE/dX/Ps/dXPs0EVb0d8m_small.mp4
Unavailable,38.4642,86.0700,216.873,Above Sea Level,2020-01-16,14:57:50,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXXEkLEWUDQW.json,dX,RREEPPLLAACCEE/dX/XE/dXXEkLEWUDQW.mp4,RREEPPLLAACCEE/dX/XE/dXXEkLEWUDQW_small.mp4
Unavailable,33.2100,96.6726,177.704,Above Sea Level,2020-12-25,20:49:12,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXgOJ7szOPhD.json,dX,RREEPPLLAACCEE/dX/gO/dXgOJ7szOPhD.mp4,RREEPPLLAACCEE/dX/gO/dXgOJ7szOPhD_small.mp4
Unavailable,28.6237,81.2072,15.078,Above Sea Level,2020-08-26,19:37:36,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXi503zlMWQ5.json,dX,RREEPPLLAACCEE/dX/i5/dXi503zlMWQ5.mp4,RREEPPLLAACCEE/dX/i5/dXi503zlMWQ5_small.mp4
Unavailable,36.8407,119.8722,98.902,Above Sea Level,2020-11-15,17:18:03,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXir61ub457E.json,dX,RREEPPLLAACCEE/dX/ir/dXir61ub457E.mp4,RREEPPLLAACCEE/dX/ir/dXir61ub457E_small.mp4
Unavailable,30.6692,97.6938,236.497,Above Sea Level,2020-09-25,01:21:09,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXom9glsg3k1.json,dX,RREEPPLLAACCEE/dX/om/dXom9glsg3k1.mp4,RREEPPLLAACCEE/dX/om/dXom9glsg3k1_small.mp4
Unavailable,30.0411,95.4814,39.103,Above Sea Level,2020-10-06,04:32:40,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXuiJ9Gn0hyy.json,dX,RREEPPLLAACCEE/dX/ui/dXuiJ9Gn0hyy.mp4,RREEPPLLAACCEE/dX/ui/dXuiJ9Gn0hyy_small.mp4
Unavailable,42.0856,71.2741,97.209,Above Sea Level,2020-11-02,03:08:08,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dXzY5PSyBVGB.json,dX,RREEPPLLAACCEE/dX/zY/dXzY5PSyBVGB.mp4,RREEPPLLAACCEE/dX/zY/dXzY5PSyBVGB_small.mp4
Unavailable,38.8920,77.0173,3.2,Above Sea Level,2020-11-14,18:52:10,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dx0G5GQMs0nu.json,dx,RREEPPLLAACCEE/dx/0G/dx0G5GQMs0nu.mp4,RREEPPLLAACCEE/dx/0G/dx0G5GQMs0nu_small.mp4
Unavailable,38.9902,84.6680,265.894,Above Sea Level,2021-01-07,23:05:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dx0vkSfhmUIx.json,dx,RREEPPLLAACCEE/dx/0v/dx0vkSfhmUIx.mp4,RREEPPLLAACCEE/dx/0v/dx0vkSfhmUIx_small.mp4
Unavailable,33.9786,118.4569,24.962,Above Sea Level,2020-11-21,07:51:55,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dx4sY4txLolA.json,dx,RREEPPLLAACCEE/dx/4s/dx4sY4txLolA.mp4,RREEPPLLAACCEE/dx/4s/dx4sY4txLolA_small.mp4
Unavailable,32.9651,96.7812,196.13,Above Sea Level,2020-10-30,23:44:02,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dx5LjiVaJD8A.json,dx,RREEPPLLAACCEE/dx/5L/dx5LjiVaJD8A.mp4,RREEPPLLAACCEE/dx/5L/dx5LjiVaJD8A_small.mp4
Unavailable,47.6747,122.1128,0,Unavailable,2020-11-25,07:33:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxEaekYG9OUk.json,dx,RREEPPLLAACCEE/dx/Ea/dxEaekYG9OUk.mp4,RREEPPLLAACCEE/dx/Ea/dxEaekYG9OUk_small.mp4
Unavailable,39.9221,101.0315,910.22,Above Sea Level,2019-12-05,00:33:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxHdvKsXuQY0.json,dx,RREEPPLLAACCEE/dx/Hd/dxHdvKsXuQY0.mp4,RREEPPLLAACCEE/dx/Hd/dxHdvKsXuQY0_small.mp4
Unavailable,42.6429,70.5973,21.721,Above Sea Level,2020-11-09,10:09:45,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxMI2MqhjOvF.json,dx,RREEPPLLAACCEE/dx/MI/dxMI2MqhjOvF.mp4,RREEPPLLAACCEE/dx/MI/dxMI2MqhjOvF_small.mp4
Unavailable,40.6431,111.4956,2159.476,Above Sea Level,2020-12-05,20:53:18,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxR6eJM2VPCK.json,dx,RREEPPLLAACCEE/dx/R6/dxR6eJM2VPCK.mp4,RREEPPLLAACCEE/dx/R6/dxR6eJM2VPCK_small.mp4
Unavailable,28.6169,81.4489,21.389,Above Sea Level,2020-12-17,18:50:23,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxTA5g5CJaqG.json,dx,RREEPPLLAACCEE/dx/TA/dxTA5g5CJaqG.mp4,RREEPPLLAACCEE/dx/TA/dxTA5g5CJaqG_small.mp4
Unavailable,38.8959,77.0312,6.298,Above Sea Level,2020-11-14,16:51:59,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxUnOFCctJ2m.json,dx,RREEPPLLAACCEE/dx/Un/dxUnOFCctJ2m.mp4,RREEPPLLAACCEE/dx/Un/dxUnOFCctJ2m_small.mp4
Unavailable,30.4070,86.8685,9.198,Above Sea Level,2020-07-09,17:01:22,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxVwmQyEZvJI.json,dx,RREEPPLLAACCEE/dx/Vw/dxVwmQyEZvJI.mp4,RREEPPLLAACCEE/dx/Vw/dxVwmQyEZvJI_small.mp4
Unavailable,26.3568,80.0738,0,Unavailable,2020-06-25,19:25:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxaPRjPITSOE.json,dx,RREEPPLLAACCEE/dx/aP/dxaPRjPITSOE.mp4,RREEPPLLAACCEE/dx/aP/dxaPRjPITSOE_small.mp4
Unavailable,40.9149,73.8372,39.818,Above Sea Level,2016-02-21,15:48:46,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxdhjezfwHLd.json,dx,RREEPPLLAACCEE/dx/dh/dxdhjezfwHLd.mp4,RREEPPLLAACCEE/dx/dh/dxdhjezfwHLd_small.mp4
Unavailable,30.2827,89.3821,0,Unavailable,2020-12-13,15:47:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxelj1x9sarJ.json,dx,RREEPPLLAACCEE/dx/el/dxelj1x9sarJ.mp4,RREEPPLLAACCEE/dx/el/dxelj1x9sarJ_small.mp4
Unavailable,44.0242,88.5246,0,Unavailable,2020-11-27,01:14:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-dxl6OayIgSMC.json,dx,RREEPPLLAACCEE/dx/l6/dxl6OayIgSMC.mp4,RREEPPLLAACCEE/dx/l6/dxl6OayIgSMC_small.mp4
