Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
jmzuc,0,0,0,Unavailable,2020-08-22,09:22:31,Unavailable,,Unavailable,Unavailable,jmzuc,jmzuc,jmzuc,meta-QDt6Bdz9Ap3Z.json,QD,RREEPPLLAACCEE/QD/t6/QDt6Bdz9Ap3Z.mp4,RREEPPLLAACCEE/QD/t6/QDt6Bdz9Ap3Z_small.mp4
Shane,0,0,0,Unavailable,2020-12-07,09:08:16,Unavailable,Unavailable,Unavailable,Unavailable,Shane,Shane,Shane,meta-Qd6vAn8njmbb.json,Qd,RREEPPLLAACCEE/Qd/6v/Qd6vAn8njmbb.mp4,RREEPPLLAACCEE/Qd/6v/Qd6vAn8njmbb_small.mp4
Admin,0,0,0,Unavailable,2020-12-18,17:33:37,Unavailable,,Unavailable,Unavailable,Admin,Admin,Admin,meta-QdvzItjADeXk.json,Qd,RREEPPLLAACCEE/Qd/vz/QdvzItjADeXk.mp4,RREEPPLLAACCEE/Qd/vz/QdvzItjADeXk_small.mp4
Admin,0,0,0,Unavailable,2020-10-09,15:23:21,Unavailable,Unavailable,Unavailable,Unavailable,drumm,drumm,drumm,meta-qDFV62PNC3RZ.json,qD,RREEPPLLAACCEE/qD/FV/qDFV62PNC3RZ.mp4,RREEPPLLAACCEE/qD/FV/qDFV62PNC3RZ_small.mp4
F8005,0,0,0,Unavailable,2020-12-03,12:00:17,Unavailable,Unavailable,Unavailable,Unavailable,F8005,F8005,F8005,meta-qDIbFL7Fu32v.json,qD,RREEPPLLAACCEE/qD/Ib/qDIbFL7Fu32v.mp4,RREEPPLLAACCEE/qD/Ib/qDIbFL7Fu32v_small.mp4
Boots,0,0,0,Unavailable,2020-11-30,23:34:21,Panasonic,,Unavailable,Unavailable,Boots,Boots,Boots,meta-qDPsXAIYd3PU.json,qD,RREEPPLLAACCEE/qD/Ps/qDPsXAIYd3PU.mp4,RREEPPLLAACCEE/qD/Ps/qDPsXAIYd3PU_small.mp4
Bgregg,0,0,0,Unavailable,2020-11-02,18:53:22,Unavailable,Unavailable,Unavailable,Unavailable,Bgregg,Bgregg,Bgregg,meta-qdleIzMAVmbG.json,qd,RREEPPLLAACCEE/qd/le/qdleIzMAVmbG.mp4,RREEPPLLAACCEE/qd/le/qdleIzMAVmbG_small.mp4
Unavailable,34.8078,114.5747,145.877,Above Sea Level,2020-11-03,23:49:54,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDAJIoYNHI9U.json,QD,RREEPPLLAACCEE/QD/AJ/QDAJIoYNHI9U.mp4,RREEPPLLAACCEE/QD/AJ/QDAJIoYNHI9U_small.mp4
Unavailable,26.5891,81.7488,8.761,Above Sea Level,2020-11-11,11:09:02,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDDyZda0hSJC.json,QD,RREEPPLLAACCEE/QD/Dy/QDDyZda0hSJC.mp4,RREEPPLLAACCEE/QD/Dy/QDDyZda0hSJC_small.mp4
Unavailable,33.4323,83.2771,155.656,Above Sea Level,2020-11-14,23:57:35,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDF6kh5jhBr0.json,QD,RREEPPLLAACCEE/QD/F6/QDF6kh5jhBr0.mp4,RREEPPLLAACCEE/QD/F6/QDF6kh5jhBr0_small.mp4
Unavailable,35.8765,80.0481,277.659,Above Sea Level,2020-12-25,15:18:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDHi5PhjBMSA.json,QD,RREEPPLLAACCEE/QD/Hi/QDHi5PhjBMSA.mp4,RREEPPLLAACCEE/QD/Hi/QDHi5PhjBMSA_small.mp4
Unavailable,27.5501,82.5060,8.899,Above Sea Level,2020-12-31,15:13:07,Apple,iPad Air (4th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDItf3vjukmt.json,QD,RREEPPLLAACCEE/QD/It/QDItf3vjukmt.mp4,RREEPPLLAACCEE/QD/It/QDItf3vjukmt_small.mp4
Unavailable,32.5294,97.3491,0,Unavailable,2020-11-30,13:39:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDQra9bIsevc.json,QD,RREEPPLLAACCEE/QD/Qr/QDQra9bIsevc.mp4,RREEPPLLAACCEE/QD/Qr/QDQra9bIsevc_small.mp4
Unavailable,39.4245,105.0321,1873.669,Above Sea Level,2020-12-10,18:04:36,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDRspKGDog7q.json,QD,RREEPPLLAACCEE/QD/Rs/QDRspKGDog7q.mp4,RREEPPLLAACCEE/QD/Rs/QDRspKGDog7q_small.mp4
Unavailable,26.7297,80.1039,5.548,Above Sea Level,2020-11-03,01:41:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDUmO3XcQukM.json,QD,RREEPPLLAACCEE/QD/Um/QDUmO3XcQukM.mp4,RREEPPLLAACCEE/QD/Um/QDUmO3XcQukM_small.mp4
Unavailable,33.4473,112.0959,328.493,Above Sea Level,2020-11-14,21:37:22,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDYhVi14uaCt.json,QD,RREEPPLLAACCEE/QD/Yh/QDYhVi14uaCt.mp4,RREEPPLLAACCEE/QD/Yh/QDYhVi14uaCt_small.mp4
Unavailable,40.7792,84.1938,248.965,Above Sea Level,2021-01-07,19:19:25,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDYrCqvDJIbW.json,QD,RREEPPLLAACCEE/QD/Yr/QDYrCqvDJIbW.mp4,RREEPPLLAACCEE/QD/Yr/QDYrCqvDJIbW_small.mp4
Unavailable,39.7647,105.6137,2434.891,Above Sea Level,2020-07-10,22:30:08,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDZJwLyZmorJ.json,QD,RREEPPLLAACCEE/QD/ZJ/QDZJwLyZmorJ.mp4,RREEPPLLAACCEE/QD/ZJ/QDZJwLyZmorJ_small.mp4
Unavailable,33.6933,117.8483,16,Above Sea Level,2017-07-21,13:30:43,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDe2GBVwTUIH.json,QD,RREEPPLLAACCEE/QD/e2/QDe2GBVwTUIH.mp4,RREEPPLLAACCEE/QD/e2/QDe2GBVwTUIH_small.mp4
Unavailable,35.4747,80.8958,0,Unavailable,2020-11-18,12:17:35,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDemTlS3wrrZ.json,QD,RREEPPLLAACCEE/QD/em/QDemTlS3wrrZ.mp4,RREEPPLLAACCEE/QD/em/QDemTlS3wrrZ_small.mp4
Unavailable,29.6467,82.3727,0,Unavailable,2020-03-30,01:01:04,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDfVTktTnqpy.json,QD,RREEPPLLAACCEE/QD/fV/QDfVTktTnqpy.mp4,RREEPPLLAACCEE/QD/fV/QDfVTktTnqpy_small.mp4
Unavailable,23.4808,120.4477,0,Unavailable,2020-06-21,08:15:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDlEnfObitwK.json,QD,RREEPPLLAACCEE/QD/lE/QDlEnfObitwK.mp4,RREEPPLLAACCEE/QD/lE/QDlEnfObitwK_small.mp4
Unavailable,44.9727,93.6230,289.685,Above Sea Level,2020-07-01,23:38:45,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDlUJMQbkzqs.json,QD,RREEPPLLAACCEE/QD/lU/QDlUJMQbkzqs.mp4,RREEPPLLAACCEE/QD/lU/QDlUJMQbkzqs_small.mp4
Unavailable,36.0487,80.3891,231.519,Above Sea Level,2020-06-30,01:52:02,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDrkwBFqPsVq.json,QD,RREEPPLLAACCEE/QD/rk/QDrkwBFqPsVq.mp4,RREEPPLLAACCEE/QD/rk/QDrkwBFqPsVq_small.mp4
Unavailable,53.4300,2.6007,20.289,Above Sea Level,2020-06-25,15:50:38,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDtMeamoNUJu.json,QD,RREEPPLLAACCEE/QD/tM/QDtMeamoNUJu.mp4,RREEPPLLAACCEE/QD/tM/QDtMeamoNUJu_small.mp4
Unavailable,33.3702,117.1721,201.5,Above Sea Level,2020-12-04,16:10:10,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDx13LAXzG3e.json,QD,RREEPPLLAACCEE/QD/x1/QDx13LAXzG3e.mp4,RREEPPLLAACCEE/QD/x1/QDx13LAXzG3e_small.mp4
Unavailable,54.1965,110.7842,588.132,Above Sea Level,2020-06-28,20:19:15,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QDzTJjSypPPN.json,QD,RREEPPLLAACCEE/QD/zT/QDzTJjSypPPN.mp4,RREEPPLLAACCEE/QD/zT/QDzTJjSypPPN_small.mp4
Unavailable,38.2651,122.0275,14.57,Above Sea Level,2020-07-02,04:40:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Qd0dB1NhoHrm.json,Qd,RREEPPLLAACCEE/Qd/0d/Qd0dB1NhoHrm.mp4,RREEPPLLAACCEE/Qd/0d/Qd0dB1NhoHrm_small.mp4
Unavailable,36.0587,115.0739,587.52,Above Sea Level,2020-09-29,04:11:07,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Qd2b2Evb23qU.json,Qd,RREEPPLLAACCEE/Qd/2b/Qd2b2Evb23qU.mp4,RREEPPLLAACCEE/Qd/2b/Qd2b2Evb23qU_small.mp4
Unavailable,40.4117,111.8902,1384.72,Above Sea Level,2020-11-06,01:11:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Qd8SFkzrwJei.json,Qd,RREEPPLLAACCEE/Qd/8S/Qd8SFkzrwJei.mp4,RREEPPLLAACCEE/Qd/8S/Qd8SFkzrwJei_small.mp4
Unavailable,50.4571,4.4498,131.318,Above Sea Level,2020-10-19,08:13:14,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Qd8wVQulfB4T.json,Qd,RREEPPLLAACCEE/Qd/8w/Qd8wVQulfB4T.mp4,RREEPPLLAACCEE/Qd/8w/Qd8wVQulfB4T_small.mp4
Unavailable,33.7291,84.1303,271.82,Above Sea Level,2020-05-05,21:13:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdAGjvf2kSvR.json,Qd,RREEPPLLAACCEE/Qd/AG/QdAGjvf2kSvR.mp4,RREEPPLLAACCEE/Qd/AG/QdAGjvf2kSvR_small.mp4
Unavailable,35.6468,117.6787,698.458,Above Sea Level,2020-11-21,22:26:54,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdDVbvQ8J8sm.json,Qd,RREEPPLLAACCEE/Qd/DV/QdDVbvQ8J8sm.mp4,RREEPPLLAACCEE/Qd/DV/QdDVbvQ8J8sm_small.mp4
Unavailable,38.0132,121.8121,13.017,Above Sea Level,2020-11-26,18:53:58,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdGcsFwnCmQp.json,Qd,RREEPPLLAACCEE/Qd/Gc/QdGcsFwnCmQp.mp4,RREEPPLLAACCEE/Qd/Gc/QdGcsFwnCmQp_small.mp4
Unavailable,21.2898,157.8446,1.17,Above Sea Level,2020-05-31,01:31:10,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdItJWdQmSgL.json,Qd,RREEPPLLAACCEE/Qd/It/QdItJWdQmSgL.mp4,RREEPPLLAACCEE/Qd/It/QdItJWdQmSgL_small.mp4
Unavailable,42.7523,71.8329,0,Unavailable,2020-08-28,20:39:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdJTtGfkGR1J.json,Qd,RREEPPLLAACCEE/Qd/JT/QdJTtGfkGR1J.mp4,RREEPPLLAACCEE/Qd/JT/QdJTtGfkGR1J_small.mp4
Unavailable,59.3845,17.0404,3.01,Above Sea Level,2020-11-18,12:23:46,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdQwN8PwWLx9.json,Qd,RREEPPLLAACCEE/Qd/Qw/QdQwN8PwWLx9.mp4,RREEPPLLAACCEE/Qd/Qw/QdQwN8PwWLx9_small.mp4
Unavailable,45.4799,73.6200,85.565,Above Sea Level,2020-11-16,13:55:57,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdR151ton5ny.json,Qd,RREEPPLLAACCEE/Qd/R1/QdR151ton5ny.mp4,RREEPPLLAACCEE/Qd/R1/QdR151ton5ny_small.mp4
Unavailable,36.8199,121.3652,0,Unavailable,2020-12-06,01:48:55,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdRL7TBlsYfx.json,Qd,RREEPPLLAACCEE/Qd/RL/QdRL7TBlsYfx.mp4,RREEPPLLAACCEE/Qd/RL/QdRL7TBlsYfx_small.mp4
Unavailable,30.3686,95.5873,58,Above Sea Level,2020-02-26,16:11:09,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdSi89GradO0.json,Qd,RREEPPLLAACCEE/Qd/Si/QdSi89GradO0.mp4,RREEPPLLAACCEE/Qd/Si/QdSi89GradO0_small.mp4
Unavailable,34.0232,118.4268,0,Unavailable,2020-11-07,21:41:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdUpHSIVQSbf.json,Qd,RREEPPLLAACCEE/Qd/Up/QdUpHSIVQSbf.mp4,RREEPPLLAACCEE/Qd/Up/QdUpHSIVQSbf_small.mp4
Unavailable,40.7053,74.0083,0,Unavailable,2020-12-16,18:22:44,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdbiuCXBZ1Fv.json,Qd,RREEPPLLAACCEE/Qd/bi/QdbiuCXBZ1Fv.mp4,RREEPPLLAACCEE/Qd/bi/QdbiuCXBZ1Fv_small.mp4
Unavailable,41.7719,71.4627,47.95,Above Sea Level,2020-11-07,20:25:05,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Qddxh03V6p3k.json,Qd,RREEPPLLAACCEE/Qd/dx/Qddxh03V6p3k.mp4,RREEPPLLAACCEE/Qd/dx/Qddxh03V6p3k_small.mp4
Unavailable,55.9346,3.0846,0,Unavailable,2020-11-21,20:27:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdeEgIIVbAQO.json,Qd,RREEPPLLAACCEE/Qd/eE/QdeEgIIVbAQO.mp4,RREEPPLLAACCEE/Qd/eE/QdeEgIIVbAQO_small.mp4
Unavailable,39.7119,104.6891,1712.643,Above Sea Level,2020-11-09,17:18:33,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdgGPFe04lF7.json,Qd,RREEPPLLAACCEE/Qd/gG/QdgGPFe04lF7.mp4,RREEPPLLAACCEE/Qd/gG/QdgGPFe04lF7_small.mp4
Unavailable,37.6584,77.3814,48.74,Above Sea Level,2020-11-26,20:57:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdjFlhp95WtD.json,Qd,RREEPPLLAACCEE/Qd/jF/QdjFlhp95WtD.mp4,RREEPPLLAACCEE/Qd/jF/QdjFlhp95WtD_small.mp4
Unavailable,40.6482,111.9927,0,Unavailable,2020-12-18,13:11:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-QdqDk76Vl5K4.json,Qd,RREEPPLLAACCEE/Qd/qD/QdqDk76Vl5K4.mp4,RREEPPLLAACCEE/Qd/qD/QdqDk76Vl5K4_small.mp4
