Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Mark,0,0,0,Unavailable,2017-04-30,01:45:54,Unavailable,Unavailable,Unavailable,Unavailable,Mark,Mark,Mark,meta-NTVZt7TXOU3H.json,NT,RREEPPLLAACCEE/NT/VZ/NTVZt7TXOU3H.mp4,RREEPPLLAACCEE/NT/VZ/NTVZt7TXOU3H_small.mp4
andre,0,0,0,Unavailable,2020-11-18,00:23:52,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-Nt471kk9Ibcy.json,Nt,RREEPPLLAACCEE/Nt/47/Nt471kk9Ibcy.mp4,RREEPPLLAACCEE/Nt/47/Nt471kk9Ibcy_small.mp4
matt.burks,0,0,0,Unavailable,2020-12-18,15:58:25,Unavailable,Unavailable,Unavailable,Unavailable,matt.burks,matt.burks,matt.burks,meta-NtJ4q093jXs1.json,Nt,RREEPPLLAACCEE/Nt/J4/NtJ4q093jXs1.mp4,RREEPPLLAACCEE/Nt/J4/NtJ4q093jXs1_small.mp4
arnaldobarrios,0,0,0,Unavailable,2020-11-30,23:25:13,Unavailable,,Unavailable,Unavailable,arnaldobarrios,arnaldobarrios,arnaldobarrios,meta-nT36RJNZvrsE.json,nT,RREEPPLLAACCEE/nT/36/nT36RJNZvrsE.mp4,RREEPPLLAACCEE/nT/36/nT36RJNZvrsE_small.mp4
moeinafshari,0,0,0,Unavailable,2020-11-20,09:59:22,Unavailable,Unavailable,Unavailable,Unavailable,moeinafshari,moeinafshari,moeinafshari,meta-nTBO3I1r5yE4.json,nT,RREEPPLLAACCEE/nT/BO/nTBO3I1r5yE4.mp4,RREEPPLLAACCEE/nT/BO/nTBO3I1r5yE4_small.mp4
edito,0,0,0,Unavailable,2020-11-26,22:20:43,Sony,Unavailable,Unavailable,Unavailable,edito,edito,edito,meta-nTHqaR57LYbI.json,nT,RREEPPLLAACCEE/nT/Hq/nTHqaR57LYbI.mp4,RREEPPLLAACCEE/nT/Hq/nTHqaR57LYbI_small.mp4
nvidk,0,0,0,Unavailable,2020-07-19,20:04:02,Unavailable,Unavailable,Unavailable,Unavailable,nvidk,nvidk,nvidk,meta-nTbCOROfjVOu.json,nT,RREEPPLLAACCEE/nT/bC/nTbCOROfjVOu.mp4,RREEPPLLAACCEE/nT/bC/nTbCOROfjVOu_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-10-05,17:56:26,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-nTvsKxLbvdkK.json,nT,RREEPPLLAACCEE/nT/vs/nTvsKxLbvdkK.mp4,RREEPPLLAACCEE/nT/vs/nTvsKxLbvdkK_small.mp4
ReeMachine,0,0,0,Unavailable,2020-11-05,03:42:10,Unavailable,Unavailable,Unavailable,Unavailable,ReeMachine,ReeMachine,ReeMachine,meta-ntaMJYX79eUV.json,nt,RREEPPLLAACCEE/nt/aM/ntaMJYX79eUV.mp4,RREEPPLLAACCEE/nt/aM/ntaMJYX79eUV_small.mp4
GFX1,0,0,0,Unavailable,2020-11-11,11:27:10,Apple,,Unavailable,Unavailable,cyndylou,cyndylou,cyndylou,meta-ntkDqJPSkhre.json,nt,RREEPPLLAACCEE/nt/kD/ntkDqJPSkhre.mp4,RREEPPLLAACCEE/nt/kD/ntkDqJPSkhre_small.mp4
dmitrylipinskiy,0,0,0,Unavailable,2020-10-16,01:38:44,Sony,,,Unavailable,dmitrylipinskiy,dmitrylipinskiy,dmitrylipinskiy,meta-ntzTpjT3zOLK.json,nt,RREEPPLLAACCEE/nt/zT/ntzTpjT3zOLK.mp4,RREEPPLLAACCEE/nt/zT/ntzTpjT3zOLK_small.mp4
Unavailable,38.9652,92.2494,251.031,Above Sea Level,2020-11-18,04:23:15,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTAWV7yAWEg2.json,NT,RREEPPLLAACCEE/NT/AW/NTAWV7yAWEg2.mp4,RREEPPLLAACCEE/NT/AW/NTAWV7yAWEg2_small.mp4
Unavailable,28.6169,81.4490,21.431,Above Sea Level,2020-12-13,07:04:00,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTFRxGCKNadP.json,NT,RREEPPLLAACCEE/NT/FR/NTFRxGCKNadP.mp4,RREEPPLLAACCEE/NT/FR/NTFRxGCKNadP_small.mp4
Unavailable,29.4468,94.6416,4.038,Below Sea Level,2020-07-18,03:03:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTHMuWMghZqH.json,NT,RREEPPLLAACCEE/NT/HM/NTHMuWMghZqH.mp4,RREEPPLLAACCEE/NT/HM/NTHMuWMghZqH_small.mp4
Unavailable,40.6564,73.6617,9.62,Above Sea Level,2018-08-06,14:32:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTLGpOy5VfKu.json,NT,RREEPPLLAACCEE/NT/LG/NTLGpOy5VfKu.mp4,RREEPPLLAACCEE/NT/LG/NTLGpOy5VfKu_small.mp4
Unavailable,26.7214,80.2336,6.393,Above Sea Level,2021-01-02,23:03:48,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTN1KODCh6Do.json,NT,RREEPPLLAACCEE/NT/N1/NTN1KODCh6Do.mp4,RREEPPLLAACCEE/NT/N1/NTN1KODCh6Do_small.mp4
Unavailable,41.8549,71.3941,38.115,Above Sea Level,2020-12-18,16:03:55,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTQaLJYeO1WH.json,NT,RREEPPLLAACCEE/NT/Qa/NTQaLJYeO1WH.mp4,RREEPPLLAACCEE/NT/Qa/NTQaLJYeO1WH_small.mp4
Unavailable,40.2773,76.8996,92.663,Above Sea Level,2020-07-05,01:30:09,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTSlgFznBEvd.json,NT,RREEPPLLAACCEE/NT/Sl/NTSlgFznBEvd.mp4,RREEPPLLAACCEE/NT/Sl/NTSlgFznBEvd_small.mp4
Unavailable,26.8635,80.1328,4.773,Above Sea Level,2020-11-06,12:20:24,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTW9zMjmFoZo.json,NT,RREEPPLLAACCEE/NT/W9/NTW9zMjmFoZo.mp4,RREEPPLLAACCEE/NT/W9/NTW9zMjmFoZo_small.mp4
Unavailable,34.3591,119.0231,87.42,Above Sea Level,2020-08-03,04:54:57,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTXPBwR7j6Ge.json,NT,RREEPPLLAACCEE/NT/XP/NTXPBwR7j6Ge.mp4,RREEPPLLAACCEE/NT/XP/NTXPBwR7j6Ge_small.mp4
Unavailable,26.4289,153.1083,8.557,Above Sea Level,2020-07-05,20:19:06,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NTYGePJLfdVR.json,NT,RREEPPLLAACCEE/NT/YG/NTYGePJLfdVR.mp4,RREEPPLLAACCEE/NT/YG/NTYGePJLfdVR_small.mp4
