Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
One,0,0,0,Unavailable,2020-12-12,21:27:11,Unavailable,Unavailable,Unavailable,Unavailable,One,One,One,meta-RQ5sIImJlaau.json,RQ,RREEPPLLAACCEE/RQ/5s/RQ5sIImJlaau.mp4,RREEPPLLAACCEE/RQ/5s/RQ5sIImJlaau_small.mp4
Nathan,0,0,0,Unavailable,2020-10-22,17:17:45,Unavailable,Unavailable,Unavailable,Unavailable,Nathan,Nathan,Nathan,meta-RQP7Oe7qk6c1.json,RQ,RREEPPLLAACCEE/RQ/P7/RQP7Oe7qk6c1.mp4,RREEPPLLAACCEE/RQ/P7/RQP7Oe7qk6c1_small.mp4
CHRIST~1,0,0,0,Unavailable,2020-11-14,15:16:32,Unavailable,Unavailable,Unavailable,Unavailable,CHRIST~1,CHRIST~1,CHRIST~1,meta-RQuNt8OYYeGM.json,RQ,RREEPPLLAACCEE/RQ/uN/RQuNt8OYYeGM.mp4,RREEPPLLAACCEE/RQ/uN/RQuNt8OYYeGM_small.mp4
zsr9c,0,0,0,Unavailable,2021-01-06,21:27:03,Unavailable,Unavailable,Unavailable,Unavailable,Public,Public,Public,meta-RqDquxaAR86H.json,Rq,RREEPPLLAACCEE/Rq/Dq/RqDquxaAR86H.mp4,RREEPPLLAACCEE/Rq/Dq/RqDquxaAR86H_small.mp4
mwills,0,0,0,Unavailable,2020-11-24,18:30:48,Unavailable,Unavailable,Unavailable,Unavailable,mwills,mwills,mwills,meta-RqSUg0K8XXBG.json,Rq,RREEPPLLAACCEE/Rq/SU/RqSUg0K8XXBG.mp4,RREEPPLLAACCEE/Rq/SU/RqSUg0K8XXBG_small.mp4
josephdavidsantos,0,0,0,Unavailable,2020-09-09,19:47:53,Unavailable,Unavailable,Unavailable,Unavailable,josephdavidsantos,josephdavidsantos,josephdavidsantos,meta-rQU3CwbM29sf.json,rQ,RREEPPLLAACCEE/rQ/U3/rQU3CwbM29sf.mp4,RREEPPLLAACCEE/rQ/U3/rQU3CwbM29sf_small.mp4
andre,0,0,0,Unavailable,2020-12-15,01:52:18,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-rQeOhGWeUJHF.json,rQ,RREEPPLLAACCEE/rQ/eO/rQeOhGWeUJHF.mp4,RREEPPLLAACCEE/rQ/eO/rQeOhGWeUJHF_small.mp4
scottlaptop3,0,0,0,Unavailable,2021-01-05,04:33:30,FUJIFILM,,,Unavailable,scottlaptop3,scottlaptop3,scottlaptop3,meta-rq2Xb8RB6xft.json,rq,RREEPPLLAACCEE/rq/2X/rq2Xb8RB6xft.mp4,RREEPPLLAACCEE/rq/2X/rq2Xb8RB6xft_small.mp4
mikehogan,0,0,0,Unavailable,2020-10-13,17:47:56,Unavailable,Unavailable,Unavailable,Unavailable,mikehogan,mikehogan,mikehogan,meta-rqN9yxxb5B1q.json,rq,RREEPPLLAACCEE/rq/N9/rqN9yxxb5B1q.mp4,RREEPPLLAACCEE/rq/N9/rqN9yxxb5B1q_small.mp4
santo,0,0,0,Unavailable,2020-07-10,11:27:13,Unavailable,Unavailable,Unavailable,Unavailable,santo,santo,santo,meta-rqzyn2PegTst.json,rq,RREEPPLLAACCEE/rq/zy/rqzyn2PegTst.mp4,RREEPPLLAACCEE/rq/zy/rqzyn2PegTst_small.mp4
Unavailable,29.6338,95.0175,0,Unavailable,2021-01-04,15:53:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQ0KzfYtdQ9H.json,RQ,RREEPPLLAACCEE/RQ/0K/RQ0KzfYtdQ9H.mp4,RREEPPLLAACCEE/RQ/0K/RQ0KzfYtdQ9H_small.mp4
Unavailable,38.8955,77.0270,7.681,Above Sea Level,2020-11-14,17:55:02,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQ1x162G7NSN.json,RQ,RREEPPLLAACCEE/RQ/1x/RQ1x162G7NSN.mp4,RREEPPLLAACCEE/RQ/1x/RQ1x162G7NSN_small.mp4
Unavailable,41.6226,83.6731,192.347,Above Sea Level,2020-09-21,23:39:12,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQ3YpxyxAiGM.json,RQ,RREEPPLLAACCEE/RQ/3Y/RQ3YpxyxAiGM.mp4,RREEPPLLAACCEE/RQ/3Y/RQ3YpxyxAiGM_small.mp4
Unavailable,30.3334,97.7160,213.292,Above Sea Level,2020-11-14,21:40:06,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQ8g1g6Cffpe.json,RQ,RREEPPLLAACCEE/RQ/8g/RQ8g1g6Cffpe.mp4,RREEPPLLAACCEE/RQ/8g/RQ8g1g6Cffpe_small.mp4
Unavailable,20.3709,87.3293,5.58,Above Sea Level,2020-12-28,01:19:55,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQ9obNANOf4y.json,RQ,RREEPPLLAACCEE/RQ/9o/RQ9obNANOf4y.mp4,RREEPPLLAACCEE/RQ/9o/RQ9obNANOf4y_small.mp4
Unavailable,38.8970,77.0366,11.884,Above Sea Level,2020-12-02,01:26:21,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQEMiZpIBa1R.json,RQ,RREEPPLLAACCEE/RQ/EM/RQEMiZpIBa1R.mp4,RREEPPLLAACCEE/RQ/EM/RQEMiZpIBa1R_small.mp4
Unavailable,38.8920,77.0173,3.2,Above Sea Level,2020-11-14,18:52:10,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQFewDGUcTUU.json,RQ,RREEPPLLAACCEE/RQ/Fe/RQFewDGUcTUU.mp4,RREEPPLLAACCEE/RQ/Fe/RQFewDGUcTUU_small.mp4
Unavailable,51.0455,114.0575,0,Unavailable,2020-08-29,20:36:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-RQHGlDDZ6w2w.json,RQ,RREEPPLLAACCEE/RQ/HG/RQHGlDDZ6w2w.mp4,RREEPPLLAACCEE/RQ/HG/RQHGlDDZ6w2w_small.mp4
