Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
alice,0,0,0,Unavailable,2020-12-07,15:09:07,Unavailable,Unavailable,Unavailable,Unavailable,alice,alice,alice,meta-HVzro87ooZGv.json,HV,RREEPPLLAACCEE/HV/zr/HVzro87ooZGv.mp4,RREEPPLLAACCEE/HV/zr/HVzro87ooZGv_small.mp4
rees,0,0,0,Unavailable,2020-10-11,16:11:45,Unavailable,Unavailable,Unavailable,Unavailable,Rwhalliday,Rwhalliday,Rwhalliday,meta-hVL5mEnsAJyL.json,hV,RREEPPLLAACCEE/hV/L5/hVL5mEnsAJyL.mp4,RREEPPLLAACCEE/hV/L5/hVL5mEnsAJyL_small.mp4
adamt,0,0,0,Unavailable,2020-09-06,05:36:45,Unavailable,Unavailable,Unavailable,Unavailable,adamt,adamt,adamt,meta-hVRgZJKTaCq2.json,hV,RREEPPLLAACCEE/hV/Rg/hVRgZJKTaCq2.mp4,RREEPPLLAACCEE/hV/Rg/hVRgZJKTaCq2_small.mp4
vincefoxx,0,0,0,Unavailable,2020-08-21,03:59:38,Unavailable,Unavailable,Unavailable,Unavailable,vincefoxx,vincefoxx,vincefoxx,meta-hVl2v7Fx4KSf.json,hV,RREEPPLLAACCEE/hV/l2/hVl2v7Fx4KSf.mp4,RREEPPLLAACCEE/hV/l2/hVl2v7Fx4KSf_small.mp4
Viktor,0,0,0,Unavailable,2020-09-09,11:13:33,Unavailable,Unavailable,Unavailable,Unavailable,Viktor,Viktor,Viktor,meta-hvwsbvX9O2IY.json,hv,RREEPPLLAACCEE/hv/ws/hvwsbvX9O2IY.mp4,RREEPPLLAACCEE/hv/ws/hvwsbvX9O2IY_small.mp4
Unavailable,33.8138,117.5452,390.707,Above Sea Level,2020-12-02,22:45:28,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HV1c0GhudDVh.json,HV,RREEPPLLAACCEE/HV/1c/HV1c0GhudDVh.mp4,RREEPPLLAACCEE/HV/1c/HV1c0GhudDVh_small.mp4
Unavailable,40.5902,75.4457,118.189,Above Sea Level,2020-10-15,21:14:50,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HV4JXyoTXaZe.json,HV,RREEPPLLAACCEE/HV/4J/HV4JXyoTXaZe.mp4,RREEPPLLAACCEE/HV/4J/HV4JXyoTXaZe_small.mp4
Unavailable,33.4923,101.8466,0,Unavailable,2020-10-18,21:51:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HV6guzmID7fA.json,HV,RREEPPLLAACCEE/HV/6g/HV6guzmID7fA.mp4,RREEPPLLAACCEE/HV/6g/HV6guzmID7fA_small.mp4
Unavailable,22.8790,47.0511,0,Unavailable,2020-11-12,16:28:13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HV6iLTuBNrSE.json,HV,RREEPPLLAACCEE/HV/6i/HV6iLTuBNrSE.mp4,RREEPPLLAACCEE/HV/6i/HV6iLTuBNrSE_small.mp4
Unavailable,31.1876,97.9254,310.196,Above Sea Level,2021-01-03,04:30:08,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HV9stZ7tS6f3.json,HV,RREEPPLLAACCEE/HV/9s/HV9stZ7tS6f3.mp4,RREEPPLLAACCEE/HV/9s/HV9stZ7tS6f3_small.mp4
Unavailable,42.5728,93.1672,352.416,Above Sea Level,2020-07-02,23:12:46,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVBBmIGDygkJ.json,HV,RREEPPLLAACCEE/HV/BB/HVBBmIGDygkJ.mp4,RREEPPLLAACCEE/HV/BB/HVBBmIGDygkJ_small.mp4
Unavailable,37.2414,80.0411,399.914,Above Sea Level,2021-01-09,02:04:35,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVCsrxEBqous.json,HV,RREEPPLLAACCEE/HV/Cs/HVCsrxEBqous.mp4,RREEPPLLAACCEE/HV/Cs/HVCsrxEBqous_small.mp4
Unavailable,44.1751,112.2744,1557.946,Above Sea Level,2020-11-28,20:28:07,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVE3ELznE9Qz.json,HV,RREEPPLLAACCEE/HV/E3/HVE3ELznE9Qz.mp4,RREEPPLLAACCEE/HV/E3/HVE3ELznE9Qz_small.mp4
Unavailable,42.5486,70.9175,18.569,Above Sea Level,2020-11-26,01:07:23,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVF2JggY6OEc.json,HV,RREEPPLLAACCEE/HV/F2/HVF2JggY6OEc.mp4,RREEPPLLAACCEE/HV/F2/HVF2JggY6OEc_small.mp4
Unavailable,40.6768,74.2924,29.278,Above Sea Level,2020-08-19,02:02:44,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVFhcuuDYTW3.json,HV,RREEPPLLAACCEE/HV/Fh/HVFhcuuDYTW3.mp4,RREEPPLLAACCEE/HV/Fh/HVFhcuuDYTW3_small.mp4
Unavailable,31.7315,35.1938,0,Unavailable,2020-11-26,12:06:06,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVHeqOoPxAt2.json,HV,RREEPPLLAACCEE/HV/He/HVHeqOoPxAt2.mp4,RREEPPLLAACCEE/HV/He/HVHeqOoPxAt2_small.mp4
Unavailable,33.7892,117.5086,319.265,Above Sea Level,2020-11-22,23:39:03,Apple,iPhone 12 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVIPXUGIBDgY.json,HV,RREEPPLLAACCEE/HV/IP/HVIPXUGIBDgY.mp4,RREEPPLLAACCEE/HV/IP/HVIPXUGIBDgY_small.mp4
Unavailable,33.4389,111.6590,476.363,Above Sea Level,2020-12-28,15:53:13,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVJ6xzZZnd24.json,HV,RREEPPLLAACCEE/HV/J6/HVJ6xzZZnd24.mp4,RREEPPLLAACCEE/HV/J6/HVJ6xzZZnd24_small.mp4
Unavailable,39.1788,84.2662,0,Unavailable,2020-07-10,02:26:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVONZjCTwIWQ.json,HV,RREEPPLLAACCEE/HV/ON/HVONZjCTwIWQ.mp4,RREEPPLLAACCEE/HV/ON/HVONZjCTwIWQ_small.mp4
Unavailable,40.6682,73.7051,6.926,Above Sea Level,2020-12-09,14:41:03,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVQPXfO2LiSA.json,HV,RREEPPLLAACCEE/HV/QP/HVQPXfO2LiSA.mp4,RREEPPLLAACCEE/HV/QP/HVQPXfO2LiSA_small.mp4
Unavailable,42.3890,122.9231,384.783,Above Sea Level,2020-11-18,02:01:49,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVQzDRWlpo4C.json,HV,RREEPPLLAACCEE/HV/Qz/HVQzDRWlpo4C.mp4,RREEPPLLAACCEE/HV/Qz/HVQzDRWlpo4C_small.mp4
Unavailable,41.8914,87.6181,184.124,Above Sea Level,2020-06-26,02:55:41,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HVVxXTvZZtjU.json,HV,RREEPPLLAACCEE/HV/Vx/HVVxXTvZZtjU.mp4,RREEPPLLAACCEE/HV/Vx/HVVxXTvZZtjU_small.mp4
