Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
CKohl,0,0,0,Unavailable,2020-06-23,08:38:17,Unavailable,Unavailable,Unavailable,Unavailable,CKohl,CKohl,CKohl,meta-UNDMpTEyejrV.json,UN,RREEPPLLAACCEE/UN/DM/UNDMpTEyejrV.mp4,RREEPPLLAACCEE/UN/DM/UNDMpTEyejrV_small.mp4
Ricky,0,0,0,Unavailable,2020-11-03,00:25:37,Unavailable,Unavailable,Unavailable,Unavailable,Ricky,Ricky,Ricky,meta-Un6tyvzhnhVM.json,Un,RREEPPLLAACCEE/Un/6t/Un6tyvzhnhVM.mp4,RREEPPLLAACCEE/Un/6t/Un6tyvzhnhVM_small.mp4
kobes,0,0,0,Unavailable,2020-08-29,16:50:03,Unavailable,Unavailable,Unavailable,Unavailable,kobes,kobes,kobes,meta-uNHddAx1l1Nf.json,uN,RREEPPLLAACCEE/uN/Hd/uNHddAx1l1Nf.mp4,RREEPPLLAACCEE/uN/Hd/uNHddAx1l1Nf_small.mp4
Unavailable,33.7679,118.0805,3.24,Above Sea Level,2021-01-03,20:30:12,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UN4BEq1ZHNzn.json,UN,RREEPPLLAACCEE/UN/4B/UN4BEq1ZHNzn.mp4,RREEPPLLAACCEE/UN/4B/UN4BEq1ZHNzn_small.mp4
Unavailable,33.2543,111.5544,456.219,Above Sea Level,2020-11-09,04:03:39,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UN4nziFrth3P.json,UN,RREEPPLLAACCEE/UN/4n/UN4nziFrth3P.mp4,RREEPPLLAACCEE/UN/4n/UN4nziFrth3P_small.mp4
Unavailable,34.3199,82.7398,210.67,Above Sea Level,2020-11-07,04:35:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNEbq5PuOBlD.json,UN,RREEPPLLAACCEE/UN/Eb/UNEbq5PuOBlD.mp4,RREEPPLLAACCEE/UN/Eb/UNEbq5PuOBlD_small.mp4
Unavailable,29.5320,95.2236,11.463,Above Sea Level,2020-11-23,00:40:45,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNF2sE3Ow1iQ.json,UN,RREEPPLLAACCEE/UN/F2/UNF2sE3Ow1iQ.mp4,RREEPPLLAACCEE/UN/F2/UNF2sE3Ow1iQ_small.mp4
Unavailable,49.0952,122.6636,38.605,Above Sea Level,2020-11-02,20:12:24,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNHrGKLDSlnM.json,UN,RREEPPLLAACCEE/UN/Hr/UNHrGKLDSlnM.mp4,RREEPPLLAACCEE/UN/Hr/UNHrGKLDSlnM_small.mp4
Unavailable,32.3002,96.9774,170.577,Above Sea Level,2020-06-27,14:59:20,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNKUUCaRMkyz.json,UN,RREEPPLLAACCEE/UN/KU/UNKUUCaRMkyz.mp4,RREEPPLLAACCEE/UN/KU/UNKUUCaRMkyz_small.mp4
Unavailable,38.5051,77.6924,126.748,Above Sea Level,2020-06-27,11:43:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNKkeMANLyFc.json,UN,RREEPPLLAACCEE/UN/Kk/UNKkeMANLyFc.mp4,RREEPPLLAACCEE/UN/Kk/UNKkeMANLyFc_small.mp4
Unavailable,36.8555,119.7862,109.9,Above Sea Level,2020-06-10,19:56:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-UNPtiaWWKXyo.json,UN,RREEPPLLAACCEE/UN/Pt/UNPtiaWWKXyo.mp4,RREEPPLLAACCEE/UN/Pt/UNPtiaWWKXyo_small.mp4
