Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Andrew,0,0,0,Unavailable,2020-12-20,11:22:31,Unavailable,Unavailable,Unavailable,Unavailable,Andrew,Andrew,Andrew,meta-FO1toVGrtG7t.json,FO,RREEPPLLAACCEE/FO/1t/FO1toVGrtG7t.mp4,RREEPPLLAACCEE/FO/1t/FO1toVGrtG7t_small.mp4
philw,0,0,0,Unavailable,2020-07-13,11:39:05,Unavailable,Unavailable,Unavailable,Unavailable,philw,philw,philw,meta-FOxkgLT8rNnk.json,FO,RREEPPLLAACCEE/FO/xk/FOxkgLT8rNnk.mp4,RREEPPLLAACCEE/FO/xk/FOxkgLT8rNnk_small.mp4
kcamediavideo,0,0,0,Unavailable,2020-11-15,02:00:21,Unavailable,,Unavailable,Unavailable,kcamediavideo,kcamediavideo,kcamediavideo,meta-Fo98bd4bFVlQ.json,Fo,RREEPPLLAACCEE/Fo/98/Fo98bd4bFVlQ.mp4,RREEPPLLAACCEE/Fo/98/Fo98bd4bFVlQ_small.mp4
paulg,0,0,0,Unavailable,2020-10-17,21:13:34,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-fOAgMGtNrCbK.json,fO,RREEPPLLAACCEE/fO/Ag/fOAgMGtNrCbK.mp4,RREEPPLLAACCEE/fO/Ag/fOAgMGtNrCbK_small.mp4
brandon,0,0,0,Unavailable,2020-04-27,13:02:18,Unavailable,,Unavailable,Unavailable,brandon,brandon,brandon,meta-fOa79cUVt6Xg.json,fO,RREEPPLLAACCEE/fO/a7/fOa79cUVt6Xg.mp4,RREEPPLLAACCEE/fO/a7/fOa79cUVt6Xg_small.mp4
andrea,0,0,0,Unavailable,2020-09-04,20:22:09,Unavailable,Unavailable,Unavailable,Unavailable,andrea,andrea,andrea,meta-fo2sAlxLriDw.json,fo,RREEPPLLAACCEE/fo/2s/fo2sAlxLriDw.mp4,RREEPPLLAACCEE/fo/2s/fo2sAlxLriDw_small.mp4
savanahhernandez,0,0,0,Unavailable,2020-06-27,03:55:44,Unavailable,,Unavailable,Unavailable,savanahhernandez,savanahhernandez,savanahhernandez,meta-fozGLymNXSyX.json,fo,RREEPPLLAACCEE/fo/zG/fozGLymNXSyX.mp4,RREEPPLLAACCEE/fo/zG/fozGLymNXSyX_small.mp4
Unavailable,33.5881,117.6804,163.134,Above Sea Level,2020-11-25,15:04:11,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FO2yFyIBNCt4.json,FO,RREEPPLLAACCEE/FO/2y/FO2yFyIBNCt4.mp4,RREEPPLLAACCEE/FO/2y/FO2yFyIBNCt4_small.mp4
Unavailable,33.6572,118.0022,46.233,Above Sea Level,2020-11-28,22:15:54,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FO7fpquq1rcc.json,FO,RREEPPLLAACCEE/FO/7f/FO7fpquq1rcc.mp4,RREEPPLLAACCEE/FO/7f/FO7fpquq1rcc_small.mp4
Unavailable,38.7239,90.2941,177.105,Above Sea Level,2020-10-22,02:18:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FO9v9gR8j1Cs.json,FO,RREEPPLLAACCEE/FO/9v/FO9v9gR8j1Cs.mp4,RREEPPLLAACCEE/FO/9v/FO9v9gR8j1Cs_small.mp4
Unavailable,28.6706,80.8678,0,Unavailable,2020-11-22,10:57:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FOElV4FR2QeT.json,FO,RREEPPLLAACCEE/FO/El/FOElV4FR2QeT.mp4,RREEPPLLAACCEE/FO/El/FOElV4FR2QeT_small.mp4
Unavailable,29.9966,95.5781,42.273,Above Sea Level,2020-11-08,17:30:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FOGNhSD1mHwc.json,FO,RREEPPLLAACCEE/FO/GN/FOGNhSD1mHwc.mp4,RREEPPLLAACCEE/FO/GN/FOGNhSD1mHwc_small.mp4
Unavailable,41.3250,74.8079,157.509,Above Sea Level,2020-12-18,18:22:33,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FONo1Hv70NYf.json,FO,RREEPPLLAACCEE/FO/No/FONo1Hv70NYf.mp4,RREEPPLLAACCEE/FO/No/FONo1Hv70NYf_small.mp4
Unavailable,30.2727,97.7409,159.211,Above Sea Level,2021-01-06,21:53:03,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FOQxzuAat3k4.json,FO,RREEPPLLAACCEE/FO/Qx/FOQxzuAat3k4.mp4,RREEPPLLAACCEE/FO/Qx/FOQxzuAat3k4_small.mp4
Unavailable,37.9972,84.4563,0,Unavailable,2021-01-03,03:01:30,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FOSBEcHo9wYy.json,FO,RREEPPLLAACCEE/FO/SB/FOSBEcHo9wYy.mp4,RREEPPLLAACCEE/FO/SB/FOSBEcHo9wYy_small.mp4
Unavailable,47.6475,117.2084,0,Unavailable,2020-07-02,00:44:42,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-FOZXSZRFEmYT.json,FO,RREEPPLLAACCEE/FO/ZX/FOZXSZRFEmYT.mp4,RREEPPLLAACCEE/FO/ZX/FOZXSZRFEmYT_small.mp4
