Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
joebiggs,0,0,0,Unavailable,2020-08-28,17:04:42,Unavailable,,Unavailable,Unavailable,joebiggs,joebiggs,joebiggs,meta-GD2I6vKg5vMt.json,GD,RREEPPLLAACCEE/GD/2I/GD2I6vKg5vMt.mp4,RREEPPLLAACCEE/GD/2I/GD2I6vKg5vMt_small.mp4
Courtney Quintero,0,0,0,Unavailable,2020-09-09,17:40:21,Unavailable,Unavailable,Unavailable,Unavailable,Courtney Quintero,Courtney Quintero,Courtney Quintero,meta-GDQ1pgPaaDns.json,GD,RREEPPLLAACCEE/GD/Q1/GDQ1pgPaaDns.mp4,RREEPPLLAACCEE/GD/Q1/GDQ1pgPaaDns_small.mp4
leafa,0,0,0,Unavailable,2020-08-03,18:11:02,Unavailable,,Unavailable,Unavailable,leafa,leafa,leafa,meta-GdzUtq4yaNVZ.json,Gd,RREEPPLLAACCEE/Gd/zU/GdzUtq4yaNVZ.mp4,RREEPPLLAACCEE/Gd/zU/GdzUtq4yaNVZ_small.mp4
ronal,0,0,0,Unavailable,2020-12-30,19:46:59,Unavailable,Unavailable,Unavailable,Unavailable,ronal,ronal,ronal,meta-gD8j8cFpaN6b.json,gD,RREEPPLLAACCEE/gD/8j/gD8j8cFpaN6b.mp4,RREEPPLLAACCEE/gD/8j/gD8j8cFpaN6b_small.mp4
Bojan,0,0,0,Unavailable,2021-01-06,00:33:07,Unavailable,Unavailable,Unavailable,Unavailable,Bojan,Bojan,Bojan,meta-gDF41z7XBLk2.json,gD,RREEPPLLAACCEE/gD/F4/gDF41z7XBLk2.mp4,RREEPPLLAACCEE/gD/F4/gDF41z7XBLk2_small.mp4
katherinelee,0,0,0,Unavailable,2020-08-19,22:57:15,Unavailable,Unavailable,Unavailable,Unavailable,melinachan,melinachan,melinachan,meta-gDh8vWaovhkL.json,gD,RREEPPLLAACCEE/gD/h8/gDh8vWaovhkL.mp4,RREEPPLLAACCEE/gD/h8/gDh8vWaovhkL_small.mp4
marks,0,0,0,Unavailable,2020-07-25,12:49:49,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-gDh9qBCfCv10.json,gD,RREEPPLLAACCEE/gD/h9/gDh9qBCfCv10.mp4,RREEPPLLAACCEE/gD/h9/gDh9qBCfCv10_small.mp4
marcelo,0,0,0,Unavailable,2017-07-19,11:52:56,Unavailable,Unavailable,Unavailable,Unavailable,marcelo,marcelo,marcelo,meta-gDzh6BQE2Wmm.json,gD,RREEPPLLAACCEE/gD/zh/gDzh6BQE2Wmm.mp4,RREEPPLLAACCEE/gD/zh/gDzh6BQE2Wmm_small.mp4
hanso,0,0,0,Unavailable,2021-01-08,00:06:33,Unavailable,Unavailable,Unavailable,Unavailable,hanso,hanso,hanso,meta-gdWA85zh78sP.json,gd,RREEPPLLAACCEE/gd/WA/gdWA85zh78sP.mp4,RREEPPLLAACCEE/gd/WA/gdWA85zh78sP_small.mp4
veey,0,0,0,Unavailable,2020-10-27,19:35:42,Unavailable,Unavailable,Unavailable,Unavailable,veey,veey,veey,meta-gdpgBAHYEshP.json,gd,RREEPPLLAACCEE/gd/pg/gdpgBAHYEshP.mp4,RREEPPLLAACCEE/gd/pg/gdpgBAHYEshP_small.mp4
Unavailable,32.2380,89.0695,117.742,Above Sea Level,2020-10-15,02:48:52,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GD7xL8Ab6SSs.json,GD,RREEPPLLAACCEE/GD/7x/GD7xL8Ab6SSs.mp4,RREEPPLLAACCEE/GD/7x/GD7xL8Ab6SSs_small.mp4
Unavailable,33.7397,118.2838,18.584,Above Sea Level,2020-12-08,19:53:05,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDPNZkqS0ynf.json,GD,RREEPPLLAACCEE/GD/PN/GDPNZkqS0ynf.mp4,RREEPPLLAACCEE/GD/PN/GDPNZkqS0ynf_small.mp4
Unavailable,32.6662,97.1143,196.627,Above Sea Level,2020-11-18,02:37:39,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDQUrtjad3yc.json,GD,RREEPPLLAACCEE/GD/QU/GDQUrtjad3yc.mp4,RREEPPLLAACCEE/GD/QU/GDQUrtjad3yc_small.mp4
Unavailable,40.1525,74.8735,30.431,Above Sea Level,2021-01-10,14:30:29,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDUogO9YBIum.json,GD,RREEPPLLAACCEE/GD/Uo/GDUogO9YBIum.mp4,RREEPPLLAACCEE/GD/Uo/GDUogO9YBIum_small.mp4
Unavailable,47.6837,122.3553,92.15,Above Sea Level,2020-07-22,14:45:54,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDZV11mFHtk3.json,GD,RREEPPLLAACCEE/GD/ZV/GDZV11mFHtk3.mp4,RREEPPLLAACCEE/GD/ZV/GDZV11mFHtk3_small.mp4
Unavailable,32.7311,117.0160,0,Unavailable,2020-11-01,19:29:41,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDdbBj8rshxH.json,GD,RREEPPLLAACCEE/GD/db/GDdbBj8rshxH.mp4,RREEPPLLAACCEE/GD/db/GDdbBj8rshxH_small.mp4
Unavailable,41.6034,83.1969,176.668,Above Sea Level,2020-12-04,02:06:48,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDjm4vO1xgfz.json,GD,RREEPPLLAACCEE/GD/jm/GDjm4vO1xgfz.mp4,RREEPPLLAACCEE/GD/jm/GDjm4vO1xgfz_small.mp4
Unavailable,26.2460,80.0939,2.25,Above Sea Level,2020-12-13,13:34:14,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDkNskzfkfIQ.json,GD,RREEPPLLAACCEE/GD/kN/GDkNskzfkfIQ.mp4,RREEPPLLAACCEE/GD/kN/GDkNskzfkfIQ_small.mp4
Unavailable,32.9165,117.1116,166.018,Above Sea Level,2020-07-23,20:05:43,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDl9Jqpum7TR.json,GD,RREEPPLLAACCEE/GD/l9/GDl9Jqpum7TR.mp4,RREEPPLLAACCEE/GD/l9/GDl9Jqpum7TR_small.mp4
Unavailable,39.7500,121.8547,0,Unavailable,2020-11-21,22:08:40,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDmlqHQhaA5M.json,GD,RREEPPLLAACCEE/GD/ml/GDmlqHQhaA5M.mp4,RREEPPLLAACCEE/GD/ml/GDmlqHQhaA5M_small.mp4
Unavailable,38.8904,77.0109,10.433,Above Sea Level,2021-01-06,19:09:50,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDnybzI29aCx.json,GD,RREEPPLLAACCEE/GD/ny/GDnybzI29aCx.mp4,RREEPPLLAACCEE/GD/ny/GDnybzI29aCx_small.mp4
Unavailable,29.8920,95.6882,0,Unavailable,2020-06-02,00:40:02,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GDogPvmZDJfr.json,GD,RREEPPLLAACCEE/GD/og/GDogPvmZDJfr.mp4,RREEPPLLAACCEE/GD/og/GDogPvmZDJfr_small.mp4
Unavailable,32.8438,97.1404,182.395,Above Sea Level,2020-11-20,02:07:30,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gd0azDYW7S3i.json,Gd,RREEPPLLAACCEE/Gd/0a/Gd0azDYW7S3i.mp4,RREEPPLLAACCEE/Gd/0a/Gd0azDYW7S3i_small.mp4
Unavailable,32.3184,99.7324,575.453,Above Sea Level,2020-11-11,13:04:37,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gd4mD8QUfMof.json,Gd,RREEPPLLAACCEE/Gd/4m/Gd4mD8QUfMof.mp4,RREEPPLLAACCEE/Gd/4m/Gd4mD8QUfMof_small.mp4
Unavailable,33.6583,118.0037,15.559,Above Sea Level,2020-11-21,19:59:22,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gd70sHaBEKlE.json,Gd,RREEPPLLAACCEE/Gd/70/Gd70sHaBEKlE.mp4,RREEPPLLAACCEE/Gd/70/Gd70sHaBEKlE_small.mp4
Unavailable,26.3059,98.1678,29.85,Above Sea Level,2020-10-31,00:19:10,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Gd8MSoYLjjrJ.json,Gd,RREEPPLLAACCEE/Gd/8M/Gd8MSoYLjjrJ.mp4,RREEPPLLAACCEE/Gd/8M/Gd8MSoYLjjrJ_small.mp4
