Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Gabriela Tolentino,0,0,0,Unavailable,2020-05-11,16:51:49,Unavailable,,Unavailable,Unavailable,Gabriela Tolentino,Gabriela Tolentino,Gabriela Tolentino,meta-MXqDbb1WbVT3.json,MX,RREEPPLLAACCEE/MX/qD/MXqDbb1WbVT3.mp4,RREEPPLLAACCEE/MX/qD/MXqDbb1WbVT3_small.mp4
sergiorodriquez,0,0,0,Unavailable,2021-01-08,22:09:40,Unavailable,Unavailable,Unavailable,Unavailable,sergiorodriquez,sergiorodriquez,sergiorodriquez,meta-MxARxKMNS7eX.json,Mx,RREEPPLLAACCEE/Mx/AR/MxARxKMNS7eX.mp4,RREEPPLLAACCEE/Mx/AR/MxARxKMNS7eX_small.mp4
ws26,0,0,0,Unavailable,2020-07-15,21:36:34,Unavailable,Unavailable,Unavailable,Unavailable,ws26,ws26,ws26,meta-MxKnphD9zhN3.json,Mx,RREEPPLLAACCEE/Mx/Kn/MxKnphD9zhN3.mp4,RREEPPLLAACCEE/Mx/Kn/MxKnphD9zhN3_small.mp4
samue,0,0,0,Unavailable,2020-12-20,23:38:02,Unavailable,Unavailable,Unavailable,Unavailable,samue,samue,samue,meta-MxPiGp7cScfd.json,Mx,RREEPPLLAACCEE/Mx/Pi/MxPiGp7cScfd.mp4,RREEPPLLAACCEE/Mx/Pi/MxPiGp7cScfd_small.mp4
Johnson,0,0,0,Unavailable,2020-11-09,14:29:55,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-MxcbRHKPowoS.json,Mx,RREEPPLLAACCEE/Mx/cb/MxcbRHKPowoS.mp4,RREEPPLLAACCEE/Mx/cb/MxcbRHKPowoS_small.mp4
gavinmcinnes,0,0,0,Unavailable,2020-12-08,22:57:26,Unavailable,Unavailable,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-MxdRqGUzPdj3.json,Mx,RREEPPLLAACCEE/Mx/dR/MxdRqGUzPdj3.mp4,RREEPPLLAACCEE/Mx/dR/MxdRqGUzPdj3_small.mp4
jeana,0,0,0,Unavailable,2021-01-02,17:43:22,Unavailable,Unavailable,Unavailable,Unavailable,jeana,jeana,jeana,meta-mxcGXVM6vbCT.json,mx,RREEPPLLAACCEE/mx/cG/mxcGXVM6vbCT.mp4,RREEPPLLAACCEE/mx/cG/mxcGXVM6vbCT_small.mp4
zhangxiaorui,0,0,0,Unavailable,2020-11-17,06:01:39,Unavailable,Unavailable,Unavailable,Unavailable,zhangxiaorui,zhangxiaorui,zhangxiaorui,meta-mxkKrTHpTLXN.json,mx,RREEPPLLAACCEE/mx/kK/mxkKrTHpTLXN.mp4,RREEPPLLAACCEE/mx/kK/mxkKrTHpTLXN_small.mp4
Unavailable,39.7790,77.8116,182.914,Above Sea Level,2020-11-15,17:15:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MX4BlvNPMDPF.json,MX,RREEPPLLAACCEE/MX/4B/MX4BlvNPMDPF.mp4,RREEPPLLAACCEE/MX/4B/MX4BlvNPMDPF_small.mp4
Unavailable,64.0497,145.6443,380.548,Above Sea Level,2020-11-09,04:44:48,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MX6mWbu4qv76.json,MX,RREEPPLLAACCEE/MX/6m/MX6mWbu4qv76.mp4,RREEPPLLAACCEE/MX/6m/MX6mWbu4qv76_small.mp4
Unavailable,33.0826,97.3590,243.836,Above Sea Level,2020-07-01,19:40:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXIeVBbQzrKf.json,MX,RREEPPLLAACCEE/MX/Ie/MXIeVBbQzrKf.mp4,RREEPPLLAACCEE/MX/Ie/MXIeVBbQzrKf_small.mp4
Unavailable,39.2765,75.4780,0.169,Above Sea Level,2020-06-26,09:44:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXLDaUBEsXdh.json,MX,RREEPPLLAACCEE/MX/LD/MXLDaUBEsXdh.mp4,RREEPPLLAACCEE/MX/LD/MXLDaUBEsXdh_small.mp4
Unavailable,42.9117,71.3783,120.522,Above Sea Level,2020-12-20,12:43:22,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXQdp6X7XTko.json,MX,RREEPPLLAACCEE/MX/Qd/MXQdp6X7XTko.mp4,RREEPPLLAACCEE/MX/Qd/MXQdp6X7XTko_small.mp4
Unavailable,42.0506,88.0447,228.864,Above Sea Level,2020-10-24,19:15:12,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXRdOSi44pEm.json,MX,RREEPPLLAACCEE/MX/Rd/MXRdOSi44pEm.mp4,RREEPPLLAACCEE/MX/Rd/MXRdOSi44pEm_small.mp4
Unavailable,44.3166,69.9363,0,Unavailable,2020-10-26,10:29:26,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXRsT0jLphoU.json,MX,RREEPPLLAACCEE/MX/Rs/MXRsT0jLphoU.mp4,RREEPPLLAACCEE/MX/Rs/MXRsT0jLphoU_small.mp4
Unavailable,37.5299,121.9685,3.95,Above Sea Level,2020-05-30,17:23:50,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXTBZOdsPFus.json,MX,RREEPPLLAACCEE/MX/TB/MXTBZOdsPFus.mp4,RREEPPLLAACCEE/MX/TB/MXTBZOdsPFus_small.mp4
Unavailable,48.4712,122.3463,11.168,Above Sea Level,2020-12-25,23:53:29,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXVSWaOckx6q.json,MX,RREEPPLLAACCEE/MX/VS/MXVSWaOckx6q.mp4,RREEPPLLAACCEE/MX/VS/MXVSWaOckx6q_small.mp4
Unavailable,40.7054,74.0082,0,Unavailable,2020-11-27,04:19:01,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXVtvqO3lhAA.json,MX,RREEPPLLAACCEE/MX/Vt/MXVtvqO3lhAA.mp4,RREEPPLLAACCEE/MX/Vt/MXVtvqO3lhAA_small.mp4
Unavailable,33.6821,112.3167,375.781,Above Sea Level,2020-09-23,05:27:53,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXWwmsQsPx47.json,MX,RREEPPLLAACCEE/MX/Ww/MXWwmsQsPx47.mp4,RREEPPLLAACCEE/MX/Ww/MXWwmsQsPx47_small.mp4
Unavailable,33.7168,117.8287,22.357,Above Sea Level,2020-10-20,17:57:48,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXXVGGZIaova.json,MX,RREEPPLLAACCEE/MX/XV/MXXVGGZIaova.mp4,RREEPPLLAACCEE/MX/XV/MXXVGGZIaova_small.mp4
Unavailable,36.2787,119.7863,65.144,Above Sea Level,2020-11-07,17:47:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXaPmWyha56T.json,MX,RREEPPLLAACCEE/MX/aP/MXaPmWyha56T.mp4,RREEPPLLAACCEE/MX/aP/MXaPmWyha56T_small.mp4
Unavailable,36.0447,95.9391,211.131,Above Sea Level,2020-11-25,21:53:57,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXcdn6MR8w1w.json,MX,RREEPPLLAACCEE/MX/cd/MXcdn6MR8w1w.mp4,RREEPPLLAACCEE/MX/cd/MXcdn6MR8w1w_small.mp4
Unavailable,42.9052,71.5172,58.7,Above Sea Level,2021-01-09,13:51:48,Apple,iPhone 12 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-MXfOLW90JWLQ.json,MX,RREEPPLLAACCEE/MX/fO/MXfOLW90JWLQ.mp4,RREEPPLLAACCEE/MX/fO/MXfOLW90JWLQ_small.mp4
