Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
paulg,0,0,0,Unavailable,2021-01-05,12:51:21,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-Js9pBTVuOrRN.json,Js,RREEPPLLAACCEE/Js/9p/Js9pBTVuOrRN.mp4,RREEPPLLAACCEE/Js/9p/Js9pBTVuOrRN_small.mp4
samuraisunshine,0,0,0,Unavailable,2020-06-15,19:02:18,Unavailable,Unavailable,Unavailable,Unavailable,samuraisunshine,samuraisunshine,samuraisunshine,meta-JsKfApg7Wm9U.json,Js,RREEPPLLAACCEE/Js/Kf/JsKfApg7Wm9U.mp4,RREEPPLLAACCEE/Js/Kf/JsKfApg7Wm9U_small.mp4
ryanclo,0,0,0,Unavailable,2020-08-13,21:20:30,Unavailable,Unavailable,Unavailable,Unavailable,ryanclo,ryanclo,ryanclo,meta-JsrXHBSi038C.json,Js,RREEPPLLAACCEE/Js/rX/JsrXHBSi038C.mp4,RREEPPLLAACCEE/Js/rX/JsrXHBSi038C_small.mp4
Johnson,0,0,0,Unavailable,2020-12-16,11:45:04,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-JstDAr3qcEtp.json,Js,RREEPPLLAACCEE/Js/tD/JstDAr3qcEtp.mp4,RREEPPLLAACCEE/Js/tD/JstDAr3qcEtp_small.mp4
cjanderson,0,0,0,Unavailable,2020-12-04,00:08:44,Unavailable,Unavailable,Unavailable,Unavailable,cjanderson,cjanderson,cjanderson,meta-jSD0eFKzRWyQ.json,jS,RREEPPLLAACCEE/jS/D0/jSD0eFKzRWyQ.mp4,RREEPPLLAACCEE/jS/D0/jSD0eFKzRWyQ_small.mp4
andre,0,0,0,Unavailable,2020-12-01,00:09:21,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-jSWxzLmAST3C.json,jS,RREEPPLLAACCEE/jS/Wx/jSWxzLmAST3C.mp4,RREEPPLLAACCEE/jS/Wx/jSWxzLmAST3C_small.mp4
jasonstapleton,0,0,0,Unavailable,2020-12-03,22:49:32,Unavailable,Unavailable,Unavailable,Unavailable,jasonstapleton,jasonstapleton,jasonstapleton,meta-js2lQwFXD1vI.json,js,RREEPPLLAACCEE/js/2l/js2lQwFXD1vI.mp4,RREEPPLLAACCEE/js/2l/js2lQwFXD1vI_small.mp4
uif,0,0,0,Unavailable,2020-11-25,20:21:33,Unavailable,Unavailable,Unavailable,Unavailable,uif,uif,uif,meta-jsvR0rgSxM5W.json,js,RREEPPLLAACCEE/js/vR/jsvR0rgSxM5W.mp4,RREEPPLLAACCEE/js/vR/jsvR0rgSxM5W_small.mp4
Unavailable,30.1523,95.5265,45.013,Above Sea Level,2020-11-26,21:00:19,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JS0fqmk78LT0.json,JS,RREEPPLLAACCEE/JS/0f/JS0fqmk78LT0.mp4,RREEPPLLAACCEE/JS/0f/JS0fqmk78LT0_small.mp4
Unavailable,46.0720,84.7739,223.16,Above Sea Level,2020-11-13,04:03:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JS2Ai7vw7P0Y.json,JS,RREEPPLLAACCEE/JS/2A/JS2Ai7vw7P0Y.mp4,RREEPPLLAACCEE/JS/2A/JS2Ai7vw7P0Y_small.mp4
Unavailable,33.4922,112.5131,398.585,Above Sea Level,2020-11-09,03:57:23,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JS3viDll5AYu.json,JS,RREEPPLLAACCEE/JS/3v/JS3viDll5AYu.mp4,RREEPPLLAACCEE/JS/3v/JS3viDll5AYu_small.mp4
Unavailable,40.7777,86.7602,194.301,Above Sea Level,2020-11-13,19:41:49,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JS9WQMiL8QH2.json,JS,RREEPPLLAACCEE/JS/9W/JS9WQMiL8QH2.mp4,RREEPPLLAACCEE/JS/9W/JS9WQMiL8QH2_small.mp4
Unavailable,37.2012,112.9884,1199.241,Above Sea Level,2020-05-30,18:57:29,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JSCgonYNnShu.json,JS,RREEPPLLAACCEE/JS/Cg/JSCgonYNnShu.mp4,RREEPPLLAACCEE/JS/Cg/JSCgonYNnShu_small.mp4
Unavailable,26.0026,80.1776,4.396,Above Sea Level,2020-08-09,00:37:51,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JSNq00DNGNNG.json,JS,RREEPPLLAACCEE/JS/Nq/JSNq00DNGNNG.mp4,RREEPPLLAACCEE/JS/Nq/JSNq00DNGNNG_small.mp4
Unavailable,38.6355,84.7828,0,Unavailable,2020-06-25,23:46:59,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JSROlXFCdcCk.json,JS,RREEPPLLAACCEE/JS/RO/JSROlXFCdcCk.mp4,RREEPPLLAACCEE/JS/RO/JSROlXFCdcCk_small.mp4
Unavailable,38.3939,82.5626,168.409,Above Sea Level,2020-12-07,01:03:53,Apple,iPhone 12 mini,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JSTQFu5G64dr.json,JS,RREEPPLLAACCEE/JS/TQ/JSTQFu5G64dr.mp4,RREEPPLLAACCEE/JS/TQ/JSTQFu5G64dr_small.mp4
Unavailable,37.8936,89.0557,131.08,Above Sea Level,2020-01-03,20:06:30,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-JSZEhGivJrxB.json,JS,RREEPPLLAACCEE/JS/ZE/JSZEhGivJrxB.mp4,RREEPPLLAACCEE/JS/ZE/JSZEhGivJrxB_small.mp4
