Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
zannanovik,0,0,0,Unavailable,2020-11-15,11:29:10,Unavailable,Unavailable,Unavailable,Unavailable,zannanovik,zannanovik,zannanovik,meta-NLY0yNzNKE3v.json,NL,RREEPPLLAACCEE/NL/Y0/NLY0yNzNKE3v.mp4,RREEPPLLAACCEE/NL/Y0/NLY0yNzNKE3v_small.mp4
Arelis,0,0,0,Unavailable,2020-11-23,21:01:55,Unavailable,Unavailable,Unavailable,Unavailable,aeda31,ddelgado,ddelgado,meta-NLjDO1FboF8r.json,NL,RREEPPLLAACCEE/NL/jD/NLjDO1FboF8r.mp4,RREEPPLLAACCEE/NL/jD/NLjDO1FboF8r_small.mp4
Vakars,0,0,0,Unavailable,2020-08-07,08:07:41,Unavailable,Unavailable,Unavailable,Unavailable,Vakars,Vakars,Vakars,meta-NLnzItD6rQZp.json,NL,RREEPPLLAACCEE/NL/nz/NLnzItD6rQZp.mp4,RREEPPLLAACCEE/NL/nz/NLnzItD6rQZp_small.mp4
Ali Uluisik,0,0,0,Unavailable,2020-12-31,18:21:20,Unavailable,Unavailable,Unavailable,Unavailable,Ali Uluisik,Ali Uluisik,Ali Uluisik,meta-NLr5tn9x8sYx.json,NL,RREEPPLLAACCEE/NL/r5/NLr5tn9x8sYx.mp4,RREEPPLLAACCEE/NL/r5/NLr5tn9x8sYx_small.mp4
marks,0,0,0,Unavailable,2020-11-21,13:20:32,Unavailable,Unavailable,Unavailable,Unavailable,markstout,markstout,markstout,meta-Nl5IJ2FwQfKQ.json,Nl,RREEPPLLAACCEE/Nl/5I/Nl5IJ2FwQfKQ.mp4,RREEPPLLAACCEE/Nl/5I/Nl5IJ2FwQfKQ_small.mp4
Magne,0,0,0,Unavailable,2020-11-18,21:50:31,Unavailable,Unavailable,Unavailable,Unavailable,Magne,Magne,Magne,meta-Nl69aW670oRo.json,Nl,RREEPPLLAACCEE/Nl/69/Nl69aW670oRo.mp4,RREEPPLLAACCEE/Nl/69/Nl69aW670oRo_small.mp4
NEW,0,0,0,Unavailable,2020-12-04,13:48:17,Unavailable,Unavailable,Unavailable,Unavailable,NEW,NEW,NEW,meta-nLgSJvv0BjEy.json,nL,RREEPPLLAACCEE/nL/gS/nLgSJvv0BjEy.mp4,RREEPPLLAACCEE/nL/gS/nLgSJvv0BjEy_small.mp4
erickrodriguez,0,0,0,Unavailable,2021-01-06,13:54:41,Unavailable,,Unavailable,Unavailable,erickrodriguez,erickrodriguez,erickrodriguez,meta-nl4M8dRr7S4d.json,nl,RREEPPLLAACCEE/nl/4M/nl4M8dRr7S4d.mp4,RREEPPLLAACCEE/nl/4M/nl4M8dRr7S4d_small.mp4
Unavailable,38.8930,77.0218,4.467,Above Sea Level,2020-11-14,17:16:01,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NL152Y9yb2Tb.json,NL,RREEPPLLAACCEE/NL/15/NL152Y9yb2Tb.mp4,RREEPPLLAACCEE/NL/15/NL152Y9yb2Tb_small.mp4
Unavailable,38.8285,104.7861,0,Unavailable,2020-11-15,02:15:01,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLAJN8hmlqOP.json,NL,RREEPPLLAACCEE/NL/AJ/NLAJN8hmlqOP.mp4,RREEPPLLAACCEE/NL/AJ/NLAJN8hmlqOP_small.mp4
Unavailable,35.5953,97.4364,336.465,Above Sea Level,2020-06-26,18:19:58,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLDXOElemvuX.json,NL,RREEPPLLAACCEE/NL/DX/NLDXOElemvuX.mp4,RREEPPLLAACCEE/NL/DX/NLDXOElemvuX_small.mp4
Unavailable,34.0683,84.3087,336.991,Above Sea Level,2020-12-02,19:26:22,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLH5trXsjqhf.json,NL,RREEPPLLAACCEE/NL/H5/NLH5trXsjqhf.mp4,RREEPPLLAACCEE/NL/H5/NLH5trXsjqhf_small.mp4
Unavailable,37.9471,121.9850,107.163,Above Sea Level,2020-11-17,18:07:22,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLHzx0Ss5VQB.json,NL,RREEPPLLAACCEE/NL/Hz/NLHzx0Ss5VQB.mp4,RREEPPLLAACCEE/NL/Hz/NLHzx0Ss5VQB_small.mp4
Unavailable,39.1954,77.2813,146.638,Above Sea Level,2020-07-22,05:01:05,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLLZLt132Rgx.json,NL,RREEPPLLAACCEE/NL/LZ/NLLZLt132Rgx.mp4,RREEPPLLAACCEE/NL/LZ/NLLZLt132Rgx_small.mp4
Unavailable,40.6961,73.6010,16.946,Above Sea Level,2020-07-31,06:04:33,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLMHbp8r7DPy.json,NL,RREEPPLLAACCEE/NL/MH/NLMHbp8r7DPy.mp4,RREEPPLLAACCEE/NL/MH/NLMHbp8r7DPy_small.mp4
Unavailable,33.3233,111.7092,400.19,Above Sea Level,2020-11-16,02:14:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLNSxPmtkt4q.json,NL,RREEPPLLAACCEE/NL/NS/NLNSxPmtkt4q.mp4,RREEPPLLAACCEE/NL/NS/NLNSxPmtkt4q_small.mp4
Unavailable,40.4117,111.8909,1243.74,Above Sea Level,2020-12-07,18:32:15,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLRgMYi2q7eG.json,NL,RREEPPLLAACCEE/NL/Rg/NLRgMYi2q7eG.mp4,RREEPPLLAACCEE/NL/Rg/NLRgMYi2q7eG_small.mp4
Unavailable,50.8066,4.3563,123.305,Above Sea Level,2021-01-06,15:58:32,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLYgDPxYU1ND.json,NL,RREEPPLLAACCEE/NL/Yg/NLYgDPxYU1ND.mp4,RREEPPLLAACCEE/NL/Yg/NLYgDPxYU1ND_small.mp4
Unavailable,40.6967,73.9065,20.847,Above Sea Level,2020-10-10,13:43:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLYmahJjrOyY.json,NL,RREEPPLLAACCEE/NL/Ym/NLYmahJjrOyY.mp4,RREEPPLLAACCEE/NL/Ym/NLYmahJjrOyY_small.mp4
Unavailable,38.8908,77.0359,1.56,Below Sea Level,2021-01-06,16:51:27,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLbwqxP0yA6f.json,NL,RREEPPLLAACCEE/NL/bw/NLbwqxP0yA6f.mp4,RREEPPLLAACCEE/NL/bw/NLbwqxP0yA6f_small.mp4
Unavailable,38.8922,77.0363,0,Unavailable,2021-01-06,18:21:36,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLdnthc2Ml6j.json,NL,RREEPPLLAACCEE/NL/dn/NLdnthc2Ml6j.mp4,RREEPPLLAACCEE/NL/dn/NLdnthc2Ml6j_small.mp4
Unavailable,30.1713,95.4116,0,Unavailable,2020-10-29,15:49:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLdotO9sc8ku.json,NL,RREEPPLLAACCEE/NL/do/NLdotO9sc8ku.mp4,RREEPPLLAACCEE/NL/do/NLdotO9sc8ku_small.mp4
Unavailable,26.4612,80.0583,4.048,Above Sea Level,2020-11-14,18:03:14,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-NLg9fxAMyPG0.json,NL,RREEPPLLAACCEE/NL/g9/NLg9fxAMyPG0.mp4,RREEPPLLAACCEE/NL/g9/NLg9fxAMyPG0_small.mp4
