Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vatan,0,0,0,Unavailable,2020-08-18,19:47:07,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-dD1zEaTlb1ih.json,dD,RREEPPLLAACCEE/dD/1z/dD1zEaTlb1ih.mp4,RREEPPLLAACCEE/dD/1z/dD1zEaTlb1ih_small.mp4
grind,0,0,0,Unavailable,2020-05-10,08:31:42,Unavailable,Unavailable,Unavailable,Unavailable,grind,grind,grind,meta-dDLsb7x7X9bX.json,dD,RREEPPLLAACCEE/dD/Ls/dDLsb7x7X9bX.mp4,RREEPPLLAACCEE/dD/Ls/dDLsb7x7X9bX_small.mp4
Tommy,0,0,0,Unavailable,2020-07-09,02:49:57,Unavailable,Unavailable,Unavailable,Unavailable,Tommy,Tommy,Tommy,meta-dDcXNjGaDEFb.json,dD,RREEPPLLAACCEE/dD/cX/dDcXNjGaDEFb.mp4,RREEPPLLAACCEE/dD/cX/dDcXNjGaDEFb_small.mp4
jmzuc,0,0,0,Unavailable,2020-09-03,18:03:03,Unavailable,,Unavailable,Unavailable,jmzuc,jmzuc,jmzuc,meta-ddTh3o5ejEEH.json,dd,RREEPPLLAACCEE/dd/Th/ddTh3o5ejEEH.mp4,RREEPPLLAACCEE/dd/Th/ddTh3o5ejEEH_small.mp4
Chris,0,0,0,Unavailable,2020-11-09,07:59:01,Unavailable,Unavailable,Unavailable,Unavailable,Chris,Chris,Chris,meta-ddtuVTjIS5Wm.json,dd,RREEPPLLAACCEE/dd/tu/ddtuVTjIS5Wm.mp4,RREEPPLLAACCEE/dd/tu/ddtuVTjIS5Wm_small.mp4
philw,0,0,0,Unavailable,2020-07-19,20:37:45,Unavailable,Unavailable,Unavailable,Unavailable,philw,philw,philw,meta-ddvX0z8czM1m.json,dd,RREEPPLLAACCEE/dd/vX/ddvX0z8czM1m.mp4,RREEPPLLAACCEE/dd/vX/ddvX0z8czM1m_small.mp4
Unavailable,38.6066,121.4168,16.093,Above Sea Level,2020-11-27,19:24:32,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DD5L6dG5Y8X0.json,DD,RREEPPLLAACCEE/DD/5L/DD5L6dG5Y8X0.mp4,RREEPPLLAACCEE/DD/5L/DD5L6dG5Y8X0_small.mp4
Unavailable,37.8748,87.8748,0,Unavailable,2020-11-08,20:17:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DD7KOK2k5Gtf.json,DD,RREEPPLLAACCEE/DD/7K/DD7KOK2k5Gtf.mp4,RREEPPLLAACCEE/DD/7K/DD7KOK2k5Gtf_small.mp4
Unavailable,33.5001,117.6944,0,Unavailable,2020-12-09,02:57:52,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DDM0UYgb4ajO.json,DD,RREEPPLLAACCEE/DD/M0/DDM0UYgb4ajO.mp4,RREEPPLLAACCEE/DD/M0/DDM0UYgb4ajO_small.mp4
Unavailable,38.8945,77.0273,5.498,Above Sea Level,2020-11-14,15:16:46,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DDM3Bxaa2mIx.json,DD,RREEPPLLAACCEE/DD/M3/DDM3Bxaa2mIx.mp4,RREEPPLLAACCEE/DD/M3/DDM3Bxaa2mIx_small.mp4
