Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
enee,0,0,0,Unavailable,2020-07-07,17:53:46,NIKON,,Unavailable,Unavailable,enee,enee,enee,meta-SS0lhnl0fZbU.json,SS,RREEPPLLAACCEE/SS/0l/SS0lhnl0fZbU.mp4,RREEPPLLAACCEE/SS/0l/SS0lhnl0fZbU_small.mp4
marianitote,0,0,0,Unavailable,2020-08-12,19:34:55,NIKON CORPORATION,,Unavailable,Unavailable,marianitote,marianitote,marianitote,meta-SSABl9RfmmCD.json,SS,RREEPPLLAACCEE/SS/AB/SSABl9RfmmCD.mp4,RREEPPLLAACCEE/SS/AB/SSABl9RfmmCD_small.mp4
emilyjiao,0,0,0,Unavailable,2020-09-18,23:11:07,Canon,,,,melinachan,melinachan,melinachan,meta-SSsFQLdrmoz5.json,SS,RREEPPLLAACCEE/SS/sF/SSsFQLdrmoz5.mp4,RREEPPLLAACCEE/SS/sF/SSsFQLdrmoz5_small.mp4
melinachan,0,0,0,Unavailable,2020-08-20,15:37:27,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-Sslfr734FW0S.json,Ss,RREEPPLLAACCEE/Ss/lf/Sslfr734FW0S.mp4,RREEPPLLAACCEE/Ss/lf/Sslfr734FW0S_small.mp4
Neurotoxin001,0,0,0,Unavailable,2020-02-03,08:45:44,Unavailable,Unavailable,Unavailable,Unavailable,Neurotoxin001,Neurotoxin001,Neurotoxin001,meta-SspdNgVdC2u0.json,Ss,RREEPPLLAACCEE/Ss/pd/SspdNgVdC2u0.mp4,RREEPPLLAACCEE/Ss/pd/SspdNgVdC2u0_small.mp4
andre,0,0,0,Unavailable,2020-11-17,23:24:37,Unavailable,Unavailable,Unavailable,Unavailable,andre,andre,andre,meta-sSEbk0ipe82N.json,sS,RREEPPLLAACCEE/sS/Eb/sSEbk0ipe82N.mp4,RREEPPLLAACCEE/sS/Eb/sSEbk0ipe82N_small.mp4
vatan,0,0,0,Unavailable,2020-07-26,06:56:47,Unavailable,Unavailable,Unavailable,Unavailable,vatan,vatan,vatan,meta-ss2LxEoCWS2A.json,ss,RREEPPLLAACCEE/ss/2L/ss2LxEoCWS2A.mp4,RREEPPLLAACCEE/ss/2L/ss2LxEoCWS2A_small.mp4
Unavailable,31.5632,97.1952,170.911,Above Sea Level,2020-11-26,09:20:44,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SSAeeGyqVHNV.json,SS,RREEPPLLAACCEE/SS/Ae/SSAeeGyqVHNV.mp4,RREEPPLLAACCEE/SS/Ae/SSAeeGyqVHNV_small.mp4
Unavailable,33.1808,96.6797,211.374,Above Sea Level,2020-04-02,23:36:23,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SSFfTocpyGDB.json,SS,RREEPPLLAACCEE/SS/Ff/SSFfTocpyGDB.mp4,RREEPPLLAACCEE/SS/Ff/SSFfTocpyGDB_small.mp4
Unavailable,38.8957,77.0296,6.098,Above Sea Level,2020-11-15,00:49:42,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SSJHFZV8STfi.json,SS,RREEPPLLAACCEE/SS/JH/SSJHFZV8STfi.mp4,RREEPPLLAACCEE/SS/JH/SSJHFZV8STfi_small.mp4
Unavailable,30.1106,92.0005,8.131,Above Sea Level,2020-11-19,18:05:06,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-SSKHRpyme1rN.json,SS,RREEPPLLAACCEE/SS/KH/SSKHRpyme1rN.mp4,RREEPPLLAACCEE/SS/KH/SSKHRpyme1rN_small.mp4
