Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Johnson,0,0,0,Unavailable,2020-11-10,23:13:50,Unavailable,Unavailable,Unavailable,Unavailable,Johnson,Johnson,Johnson,meta-K3bo2BRKii9k.json,K3,RREEPPLLAACCEE/K3/bo/K3bo2BRKii9k.mp4,RREEPPLLAACCEE/K3/bo/K3bo2BRKii9k_small.mp4
jordi,0,0,0,Unavailable,2020-09-13,08:58:12,Unavailable,Unavailable,Unavailable,Unavailable,jordi,jordi,jordi,meta-k3M7vWUlMm5P.json,k3,RREEPPLLAACCEE/k3/M7/k3M7vWUlMm5P.mp4,RREEPPLLAACCEE/k3/M7/k3M7vWUlMm5P_small.mp4
Tara,0,0,0,Unavailable,2020-10-27,16:36:33,Unavailable,Unavailable,Unavailable,Unavailable,Tara,Tara,Tara,meta-k3sA4U1IfMkY.json,k3,RREEPPLLAACCEE/k3/sA/k3sA4U1IfMkY.mp4,RREEPPLLAACCEE/k3/sA/k3sA4U1IfMkY_small.mp4
Unavailable,36.0006,90.5311,0,Unavailable,2020-08-28,00:23:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K305CB5h1bcq.json,K3,RREEPPLLAACCEE/K3/05/K305CB5h1bcq.mp4,RREEPPLLAACCEE/K3/05/K305CB5h1bcq_small.mp4
Unavailable,42.3388,71.0473,4.555,Above Sea Level,2020-12-08,02:04:28,Apple,iPad Pro (12.9-inch) (3rd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K30BCQ52TH1S.json,K3,RREEPPLLAACCEE/K3/0B/K30BCQ52TH1S.mp4,RREEPPLLAACCEE/K3/0B/K30BCQ52TH1S_small.mp4
Unavailable,28.7768,81.2491,0,Unavailable,2020-10-12,23:05:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K31t1OBiO8uK.json,K3,RREEPPLLAACCEE/K3/1t/K31t1OBiO8uK.mp4,RREEPPLLAACCEE/K3/1t/K31t1OBiO8uK_small.mp4
Unavailable,25.6890,80.2930,1.752,Above Sea Level,2020-10-23,15:43:46,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K34tPUwDQcfW.json,K3,RREEPPLLAACCEE/K3/4t/K34tPUwDQcfW.mp4,RREEPPLLAACCEE/K3/4t/K34tPUwDQcfW_small.mp4
Unavailable,38.6761,97.9065,446.683,Above Sea Level,2021-01-09,16:13:12,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K36R27GFPOUh.json,K3,RREEPPLLAACCEE/K3/6R/K36R27GFPOUh.mp4,RREEPPLLAACCEE/K3/6R/K36R27GFPOUh_small.mp4
Unavailable,36.0835,86.6613,179.955,Above Sea Level,2020-11-15,04:38:17,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K36mnS0Z4jqr.json,K3,RREEPPLLAACCEE/K3/6m/K36mnS0Z4jqr.mp4,RREEPPLLAACCEE/K3/6m/K36mnS0Z4jqr_small.mp4
Unavailable,34.9360,80.8428,189.809,Above Sea Level,2020-11-05,22:20:22,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K36ynpGexzBg.json,K3,RREEPPLLAACCEE/K3/6y/K36ynpGexzBg.mp4,RREEPPLLAACCEE/K3/6y/K36ynpGexzBg_small.mp4
Unavailable,30.5994,87.1798,16.529,Above Sea Level,2020-12-20,01:54:29,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K3H42UsmJyCb.json,K3,RREEPPLLAACCEE/K3/H4/K3H42UsmJyCb.mp4,RREEPPLLAACCEE/K3/H4/K3H42UsmJyCb_small.mp4
Unavailable,47.3782,122.2654,0,Unavailable,2020-10-08,05:49:26,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-K3IZARn7o8yU.json,K3,RREEPPLLAACCEE/K3/IZ/K3IZARn7o8yU.mp4,RREEPPLLAACCEE/K3/IZ/K3IZARn7o8yU_small.mp4
