Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
vittoriocazzadore,0,0,0,Unavailable,2020-10-03,21:42:40,Unavailable,Unavailable,Unavailable,Unavailable,admin,admin,admin,meta-DQHum0N4LHNR.json,DQ,RREEPPLLAACCEE/DQ/Hu/DQHum0N4LHNR.mp4,RREEPPLLAACCEE/DQ/Hu/DQHum0N4LHNR_small.mp4
1Mill_Mo20Hours_Wk,0,0,0,Unavailable,2021-01-01,20:50:12,Unavailable,Unavailable,Unavailable,Unavailable,1Mill_Mo20Hours_Wk,1Mill_Mo20Hours_Wk,1Mill_Mo20Hours_Wk,meta-DQVcyjo05iJ3.json,DQ,RREEPPLLAACCEE/DQ/Vc/DQVcyjo05iJ3.mp4,RREEPPLLAACCEE/DQ/Vc/DQVcyjo05iJ3_small.mp4
arobinson,0,0,0,Unavailable,2020-12-30,12:41:35,Unavailable,Unavailable,Unavailable,Unavailable,arobinson,arobinson,arobinson,meta-DQcLqLYr89zN.json,DQ,RREEPPLLAACCEE/DQ/cL/DQcLqLYr89zN.mp4,RREEPPLLAACCEE/DQ/cL/DQcLqLYr89zN_small.mp4
Colin,0,0,0,Unavailable,2020-07-24,14:44:51,Unavailable,Unavailable,Unavailable,Unavailable,Colin,Colin,Colin,meta-DqH4Y7WRSTbm.json,Dq,RREEPPLLAACCEE/Dq/H4/DqH4Y7WRSTbm.mp4,RREEPPLLAACCEE/Dq/H4/DqH4Y7WRSTbm_small.mp4
andrewmanuel,0,0,0,Unavailable,2020-12-18,00:19:28,FUJIFILM,,,,andrewmanuel,andrewmanuel,andrewmanuel,meta-dQn5uLh55GDm.json,dQ,RREEPPLLAACCEE/dQ/n5/dQn5uLh55GDm.mp4,RREEPPLLAACCEE/dQ/n5/dQn5uLh55GDm_small.mp4
mattgiles,0,0,0,Unavailable,2020-09-08,20:28:16,Unavailable,Unavailable,Unavailable,Unavailable,mattgiles,mattgiles,mattgiles,meta-dQohKWU52bV6.json,dQ,RREEPPLLAACCEE/dQ/oh/dQohKWU52bV6.mp4,RREEPPLLAACCEE/dQ/oh/dQohKWU52bV6_small.mp4
jeanalawrence,0,0,0,Unavailable,2020-11-18,00:31:54,Unavailable,Unavailable,Unavailable,Unavailable,jeanalawrence,jeanalawrence,jeanalawrence,meta-dqBZj8k1ZkLi.json,dq,RREEPPLLAACCEE/dq/BZ/dqBZj8k1ZkLi.mp4,RREEPPLLAACCEE/dq/BZ/dqBZj8k1ZkLi_small.mp4
Unavailable,30.0805,51.2199,0,Unavailable,2020-09-16,20:31:53,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DQ00XzruwjuZ.json,DQ,RREEPPLLAACCEE/DQ/00/DQ00XzruwjuZ.mp4,RREEPPLLAACCEE/DQ/00/DQ00XzruwjuZ_small.mp4
Unavailable,34.5743,117.1972,904.746,Above Sea Level,2020-10-09,21:06:15,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DQ1PXjxrb4ye.json,DQ,RREEPPLLAACCEE/DQ/1P/DQ1PXjxrb4ye.mp4,RREEPPLLAACCEE/DQ/1P/DQ1PXjxrb4ye_small.mp4
Unavailable,33.4421,112.0777,0,Unavailable,2020-11-09,20:02:17,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-DQ8M2pxJImQy.json,DQ,RREEPPLLAACCEE/DQ/8M/DQ8M2pxJImQy.mp4,RREEPPLLAACCEE/DQ/8M/DQ8M2pxJImQy_small.mp4
