Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
Yanky,0,0,0,Unavailable,2021-01-06,18:04:16,Unavailable,Unavailable,Unavailable,Unavailable,Yanky,Yanky,Yanky,meta-HZFZEcTOvZVH.json,HZ,RREEPPLLAACCEE/HZ/FZ/HZFZEcTOvZVH.mp4,RREEPPLLAACCEE/HZ/FZ/HZFZEcTOvZVH_small.mp4
df.pberaldo,0,0,0,Unavailable,2020-09-11,21:15:51,Unavailable,Unavailable,Unavailable,Unavailable,df.pberaldo,df.pberaldo,df.pberaldo,meta-Hz1hv0g0UBWw.json,Hz,RREEPPLLAACCEE/Hz/1h/Hz1hv0g0UBWw.mp4,RREEPPLLAACCEE/Hz/1h/Hz1hv0g0UBWw_small.mp4
dombr,0,0,0,Unavailable,2020-12-09,08:30:17,Unavailable,Unavailable,Unavailable,Unavailable,michelcardon,michelcardon,michelcardon,meta-hzy8BJHCfqdG.json,hz,RREEPPLLAACCEE/hz/y8/hzy8BJHCfqdG.mp4,RREEPPLLAACCEE/hz/y8/hzy8BJHCfqdG_small.mp4
Unavailable,38.8960,77.0302,8.673,Above Sea Level,2020-11-14,23:01:38,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZ2kN1ny5lyY.json,HZ,RREEPPLLAACCEE/HZ/2k/HZ2kN1ny5lyY.mp4,RREEPPLLAACCEE/HZ/2k/HZ2kN1ny5lyY_small.mp4
Unavailable,30.1554,98.0991,0,Unavailable,2020-11-03,01:35:28,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZ5gvwZ0yzfg.json,HZ,RREEPPLLAACCEE/HZ/5g/HZ5gvwZ0yzfg.mp4,RREEPPLLAACCEE/HZ/5g/HZ5gvwZ0yzfg_small.mp4
Unavailable,40.7540,73.9673,0,Unavailable,2020-11-26,14:00:11,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZ7W2JuI8M4N.json,HZ,RREEPPLLAACCEE/HZ/7W/HZ7W2JuI8M4N.mp4,RREEPPLLAACCEE/HZ/7W/HZ7W2JuI8M4N_small.mp4
Unavailable,28.5492,81.3870,33.239,Above Sea Level,2020-12-16,16:52:31,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZJXK5GOtAq0.json,HZ,RREEPPLLAACCEE/HZ/JX/HZJXK5GOtAq0.mp4,RREEPPLLAACCEE/HZ/JX/HZJXK5GOtAq0_small.mp4
Unavailable,30.2082,85.8635,0,Unavailable,2020-11-10,17:43:29,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZUE04mxaxY8.json,HZ,RREEPPLLAACCEE/HZ/UE/HZUE04mxaxY8.mp4,RREEPPLLAACCEE/HZ/UE/HZUE04mxaxY8_small.mp4
Unavailable,38.9323,105.2136,2747.944,Above Sea Level,2020-01-23,19:46:27,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZpftyxeJcmI.json,HZ,RREEPPLLAACCEE/HZ/pf/HZpftyxeJcmI.mp4,RREEPPLLAACCEE/HZ/pf/HZpftyxeJcmI_small.mp4
Unavailable,30.5994,87.1799,16.505,Above Sea Level,2020-12-15,20:39:22,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZsue2rthq91.json,HZ,RREEPPLLAACCEE/HZ/su/HZsue2rthq91.mp4,RREEPPLLAACCEE/HZ/su/HZsue2rthq91_small.mp4
Unavailable,35.2442,81.0699,0,Unavailable,2020-09-01,14:40:25,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZtCJWnhyKkH.json,HZ,RREEPPLLAACCEE/HZ/tC/HZtCJWnhyKkH.mp4,RREEPPLLAACCEE/HZ/tC/HZtCJWnhyKkH_small.mp4
Unavailable,33.5162,101.9355,902.361,Above Sea Level,2020-11-24,03:51:57,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HZu5RKdDnBtz.json,HZ,RREEPPLLAACCEE/HZ/u5/HZu5RKdDnBtz.mp4,RREEPPLLAACCEE/HZ/u5/HZu5RKdDnBtz_small.mp4
Unavailable,27.9782,81.9791,41.368,Above Sea Level,2020-08-26,13:14:31,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Hz1u4kbMRTLM.json,Hz,RREEPPLLAACCEE/Hz/1u/Hz1u4kbMRTLM.mp4,RREEPPLLAACCEE/Hz/1u/Hz1u4kbMRTLM_small.mp4
Unavailable,27.6515,80.3548,2.989,Above Sea Level,2020-12-27,20:40:04,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzFGN2pfc5Vy.json,Hz,RREEPPLLAACCEE/Hz/FG/HzFGN2pfc5Vy.mp4,RREEPPLLAACCEE/Hz/FG/HzFGN2pfc5Vy_small.mp4
Unavailable,45.3329,122.7669,61.57,Above Sea Level,2020-10-18,20:04:52,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzG34eBodbXY.json,Hz,RREEPPLLAACCEE/Hz/G3/HzG34eBodbXY.mp4,RREEPPLLAACCEE/Hz/G3/HzG34eBodbXY_small.mp4
Unavailable,36.6984,95.5890,225.62,Above Sea Level,2020-12-06,21:38:10,Apple,iPhone SE (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzXCPfkesx2i.json,Hz,RREEPPLLAACCEE/Hz/XC/HzXCPfkesx2i.mp4,RREEPPLLAACCEE/Hz/XC/HzXCPfkesx2i_small.mp4
Unavailable,38.1285,84.3022,285.677,Above Sea Level,2020-12-13,14:25:31,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzZYa3rbMaXU.json,Hz,RREEPPLLAACCEE/Hz/ZY/HzZYa3rbMaXU.mp4,RREEPPLLAACCEE/Hz/ZY/HzZYa3rbMaXU_small.mp4
Unavailable,34.3858,84.3133,403.194,Above Sea Level,2021-01-06,23:03:33,Apple,iPad Air 2,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzdUpITvoE1p.json,Hz,RREEPPLLAACCEE/Hz/dU/HzdUpITvoE1p.mp4,RREEPPLLAACCEE/Hz/dU/HzdUpITvoE1p_small.mp4
Unavailable,40.3196,79.9065,285.814,Above Sea Level,2020-08-01,01:52:44,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HzlBIwyNPhKX.json,Hz,RREEPPLLAACCEE/Hz/lB/HzlBIwyNPhKX.mp4,RREEPPLLAACCEE/Hz/lB/HzlBIwyNPhKX_small.mp4
Unavailable,35.8234,80.1550,223.16,Above Sea Level,2020-11-12,13:22:24,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Hzp7FdhtMHDw.json,Hz,RREEPPLLAACCEE/Hz/p7/Hzp7FdhtMHDw.mp4,RREEPPLLAACCEE/Hz/p7/Hzp7FdhtMHDw_small.mp4
Unavailable,33.6570,118.0016,8.653,Above Sea Level,2020-11-14,20:08:38,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-HztGdP4CWdgb.json,Hz,RREEPPLLAACCEE/Hz/tG/HztGdP4CWdgb.mp4,RREEPPLLAACCEE/Hz/tG/HztGdP4CWdgb_small.mp4
Unavailable,48.7557,122.4790,0,Unavailable,2020-12-28,18:35:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hZ0Ggn7TZRru.json,hZ,RREEPPLLAACCEE/hZ/0G/hZ0Ggn7TZRru.mp4,RREEPPLLAACCEE/hZ/0G/hZ0Ggn7TZRru_small.mp4
Unavailable,37.7990,122.2886,6.88,Above Sea Level,2020-12-30,13:35:55,Apple,iPad Pro (12.9-inch) (2nd generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-hZ5oMBDSoDvj.json,hZ,RREEPPLLAACCEE/hZ/5o/hZ5oMBDSoDvj.mp4,RREEPPLLAACCEE/hZ/5o/hZ5oMBDSoDvj_small.mp4
