Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
bensp,0,0,0,Unavailable,2020-08-09,05:41:03,Unavailable,Unavailable,Unavailable,Unavailable,bensp,bensp,bensp,meta-GAEpa7g2Kz72.json,GA,RREEPPLLAACCEE/GA/Ep/GAEpa7g2Kz72.mp4,RREEPPLLAACCEE/GA/Ep/GAEpa7g2Kz72_small.mp4
Name,0,0,0,Unavailable,2020-11-12,08:50:36,Unavailable,Unavailable,Unavailable,Unavailable,Name,Name,Name,meta-GAjdzUoSjy0B.json,GA,RREEPPLLAACCEE/GA/jd/GAjdzUoSjy0B.mp4,RREEPPLLAACCEE/GA/jd/GAjdzUoSjy0B_small.mp4
Pablo Cruz,0,0,0,Unavailable,2021-01-06,09:18:47,Unavailable,Unavailable,Unavailable,Unavailable,Pablo Cruz,Pablo Cruz,Pablo Cruz,meta-GAy1xvbx4wfL.json,GA,RREEPPLLAACCEE/GA/y1/GAy1xvbx4wfL.mp4,RREEPPLLAACCEE/GA/y1/GAy1xvbx4wfL_small.mp4
palmetto,0,0,0,Unavailable,2021-01-09,16:30:56,Unavailable,Unavailable,Unavailable,Unavailable,palmetto,palmetto,palmetto,meta-Ga24DvLPp7je.json,Ga,RREEPPLLAACCEE/Ga/24/Ga24DvLPp7je.mp4,RREEPPLLAACCEE/Ga/24/Ga24DvLPp7je_small.mp4
Miki,0,0,0,Unavailable,2020-10-20,20:01:22,Unavailable,Unavailable,Unavailable,Unavailable,Miki,Miki,Miki,meta-GadTQwSEvXK2.json,Ga,RREEPPLLAACCEE/Ga/dT/GadTQwSEvXK2.mp4,RREEPPLLAACCEE/Ga/dT/GadTQwSEvXK2_small.mp4
Wes,0,0,0,Unavailable,2020-11-24,04:26:35,Unavailable,Unavailable,Unavailable,Unavailable,Wes,Wes,Wes,meta-GafCVEz352kR.json,Ga,RREEPPLLAACCEE/Ga/fC/GafCVEz352kR.mp4,RREEPPLLAACCEE/Ga/fC/GafCVEz352kR_small.mp4
Stacy,0,0,0,Unavailable,2021-01-08,15:05:15,Unavailable,Unavailable,Unavailable,Unavailable,Stacy,Stacy,Stacy,meta-gA030HvkWruz.json,gA,RREEPPLLAACCEE/gA/03/gA030HvkWruz.mp4,RREEPPLLAACCEE/gA/03/gA030HvkWruz_small.mp4
wellingtonmacedo,0,0,0,Unavailable,2020-07-15,14:52:18,Unavailable,Unavailable,Unavailable,Unavailable,wellingtonmacedo,wellingtonmacedo,wellingtonmacedo,meta-gAKFFRpJNItf.json,gA,RREEPPLLAACCEE/gA/KF/gAKFFRpJNItf.mp4,RREEPPLLAACCEE/gA/KF/gAKFFRpJNItf_small.mp4
102531,0,0,0,Unavailable,2020-09-22,14:38:11,Unavailable,Unavailable,Unavailable,Unavailable,102531,102531,102531,meta-ga59djisAt1d.json,ga,RREEPPLLAACCEE/ga/59/ga59djisAt1d.mp4,RREEPPLLAACCEE/ga/59/ga59djisAt1d_small.mp4
Unavailable,33.9536,117.3326,328.833,Above Sea Level,2020-12-10,17:00:47,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GA4OlZ6yoryt.json,GA,RREEPPLLAACCEE/GA/4O/GA4OlZ6yoryt.mp4,RREEPPLLAACCEE/GA/4O/GA4OlZ6yoryt_small.mp4
Unavailable,33.9484,117.0173,756.138,Above Sea Level,2020-11-12,14:59:04,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GA5Nb3ghlyl2.json,GA,RREEPPLLAACCEE/GA/5N/GA5Nb3ghlyl2.mp4,RREEPPLLAACCEE/GA/5N/GA5Nb3ghlyl2_small.mp4
Unavailable,47.7255,116.9018,676.626,Above Sea Level,2020-11-08,20:16:46,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GA6XftNvZ7sq.json,GA,RREEPPLLAACCEE/GA/6X/GA6XftNvZ7sq.mp4,RREEPPLLAACCEE/GA/6X/GA6XftNvZ7sq_small.mp4
Unavailable,33.5839,95.9077,210.333,Above Sea Level,2020-11-13,18:07:40,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GA6dxan0U7db.json,GA,RREEPPLLAACCEE/GA/6d/GA6dxan0U7db.mp4,RREEPPLLAACCEE/GA/6d/GA6dxan0U7db_small.mp4
Unavailable,36.1525,95.9953,208.999,Above Sea Level,2020-06-21,00:35:20,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-GA94ewvBoTXh.json,GA,RREEPPLLAACCEE/GA/94/GA94ewvBoTXh.mp4,RREEPPLLAACCEE/GA/94/GA94ewvBoTXh_small.mp4
