Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
grind,0,0,0,Unavailable,2020-05-24,20:25:36,Unavailable,Unavailable,Unavailable,Unavailable,grind,grind,grind,meta-XCE4wjSBe2UW.json,XC,RREEPPLLAACCEE/XC/E4/XCE4wjSBe2UW.mp4,RREEPPLLAACCEE/XC/E4/XCE4wjSBe2UW_small.mp4
marks,0,0,0,Unavailable,2020-04-12,04:45:06,Unavailable,Unavailable,Unavailable,Unavailable,marks,marks,marks,meta-XcMlzcM6VoNn.json,Xc,RREEPPLLAACCEE/Xc/Ml/XcMlzcM6VoNn.mp4,RREEPPLLAACCEE/Xc/Ml/XcMlzcM6VoNn_small.mp4
Jonathan,0,0,0,Unavailable,2020-10-31,16:57:06,Unavailable,,Unavailable,Unavailable,Jonathan,Jonathan,Jonathan,meta-XcpCoZ4IQrv0.json,Xc,RREEPPLLAACCEE/Xc/pC/XcpCoZ4IQrv0.mp4,RREEPPLLAACCEE/Xc/pC/XcpCoZ4IQrv0_small.mp4
Andrés,0,0,0,Unavailable,2020-12-11,12:04:19,Unavailable,Unavailable,Unavailable,Unavailable,Andrés,Andrés,Andrés,meta-xc7NowolQWSU.json,xc,RREEPPLLAACCEE/xc/7N/xc7NowolQWSU.mp4,RREEPPLLAACCEE/xc/7N/xc7NowolQWSU_small.mp4
Nutrimais,0,0,0,Unavailable,2020-11-10,19:20:01,Unavailable,Unavailable,Unavailable,Unavailable,Nutrimais,Nutrimais,Nutrimais,meta-xcKwo2dOek8e.json,xc,RREEPPLLAACCEE/xc/Kw/xcKwo2dOek8e.mp4,RREEPPLLAACCEE/xc/Kw/xcKwo2dOek8e_small.mp4
a_rad,0,0,0,Unavailable,2020-12-31,11:57:30,Unavailable,Unavailable,Unavailable,Unavailable,a_rad,a_rad,a_rad,meta-xcYbDe7kgmel.json,xc,RREEPPLLAACCEE/xc/Yb/xcYbDe7kgmel.mp4,RREEPPLLAACCEE/xc/Yb/xcYbDe7kgmel_small.mp4
Mastison,0,0,0,Unavailable,2018-01-12,13:17:12,Unavailable,Unavailable,Unavailable,Unavailable,Mastison,Mastison,Mastison,meta-xcdq1Tl5wRpu.json,xc,RREEPPLLAACCEE/xc/dq/xcdq1Tl5wRpu.mp4,RREEPPLLAACCEE/xc/dq/xcdq1Tl5wRpu_small.mp4
Unavailable,43.6054,85.8302,289.005,Above Sea Level,2020-09-13,10:22:15,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XC1pDGL98pPU.json,XC,RREEPPLLAACCEE/XC/1p/XC1pDGL98pPU.mp4,RREEPPLLAACCEE/XC/1p/XC1pDGL98pPU_small.mp4
Unavailable,43.1998,82.6221,223.247,Above Sea Level,2020-11-17,08:21:26,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XC3Ymj686SWJ.json,XC,RREEPPLLAACCEE/XC/3Y/XC3Ymj686SWJ.mp4,RREEPPLLAACCEE/XC/3Y/XC3Ymj686SWJ_small.mp4
Unavailable,35.8481,80.8385,255.101,Above Sea Level,2020-09-16,22:28:26,Apple,iPhone 6s,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XC773zl45nQI.json,XC,RREEPPLLAACCEE/XC/77/XC773zl45nQI.mp4,RREEPPLLAACCEE/XC/77/XC773zl45nQI_small.mp4
Unavailable,34.1748,118.5981,262.442,Above Sea Level,2020-11-26,03:49:32,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCCTE8XD1lCq.json,XC,RREEPPLLAACCEE/XC/CT/XCCTE8XD1lCq.mp4,RREEPPLLAACCEE/XC/CT/XCCTE8XD1lCq_small.mp4
Unavailable,39.9922,86.2548,278.419,Above Sea Level,2020-10-24,16:09:29,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCI4u0ghEMTK.json,XC,RREEPPLLAACCEE/XC/I4/XCI4u0ghEMTK.mp4,RREEPPLLAACCEE/XC/I4/XCI4u0ghEMTK_small.mp4
Unavailable,38.8897,77.0102,13.609,Above Sea Level,2021-01-07,20:13:46,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCMfOk219rxY.json,XC,RREEPPLLAACCEE/XC/Mf/XCMfOk219rxY.mp4,RREEPPLLAACCEE/XC/Mf/XCMfOk219rxY_small.mp4
Unavailable,38.7240,90.2941,176.201,Above Sea Level,2020-11-13,05:51:44,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCNYqr5tk936.json,XC,RREEPPLLAACCEE/XC/NY/XCNYqr5tk936.mp4,RREEPPLLAACCEE/XC/NY/XCNYqr5tk936_small.mp4
Unavailable,46.2373,119.1283,0,Unavailable,2020-11-08,22:45:54,Unavailable,,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCSg8q8HZTGf.json,XC,RREEPPLLAACCEE/XC/Sg/XCSg8q8HZTGf.mp4,RREEPPLLAACCEE/XC/Sg/XCSg8q8HZTGf_small.mp4
Unavailable,41.2099,95.9907,0,Unavailable,2020-07-11,17:26:44,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCYmTsBhKTwf.json,XC,RREEPPLLAACCEE/XC/Ym/XCYmTsBhKTwf.mp4,RREEPPLLAACCEE/XC/Ym/XCYmTsBhKTwf_small.mp4
Unavailable,36.1363,95.9771,221.142,Above Sea Level,2020-11-18,18:22:40,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCZJ7DCj0l7X.json,XC,RREEPPLLAACCEE/XC/ZJ/XCZJ7DCj0l7X.mp4,RREEPPLLAACCEE/XC/ZJ/XCZJ7DCj0l7X_small.mp4
Unavailable,40.7451,73.2587,14.7,Above Sea Level,2020-08-04,09:15:02,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCZiw77dOKVE.json,XC,RREEPPLLAACCEE/XC/Zi/XCZiw77dOKVE.mp4,RREEPPLLAACCEE/XC/Zi/XCZiw77dOKVE_small.mp4
Unavailable,22.9840,43.4124,3.489,Above Sea Level,2020-07-02,03:14:36,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCbMjMokenCz.json,XC,RREEPPLLAACCEE/XC/bM/XCbMjMokenCz.mp4,RREEPPLLAACCEE/XC/bM/XCbMjMokenCz_small.mp4
Unavailable,33.8139,117.5452,390.73,Above Sea Level,2021-01-05,10:20:43,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCeykb30yNsf.json,XC,RREEPPLLAACCEE/XC/ey/XCeykb30yNsf.mp4,RREEPPLLAACCEE/XC/ey/XCeykb30yNsf_small.mp4
Unavailable,40.9057,74.1492,26.64,Above Sea Level,2020-06-04,09:05:21,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCiKpXRmXKYa.json,XC,RREEPPLLAACCEE/XC/iK/XCiKpXRmXKYa.mp4,RREEPPLLAACCEE/XC/iK/XCiKpXRmXKYa_small.mp4
Unavailable,48.8321,2.2317,31.407,Above Sea Level,2020-06-27,17:46:37,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XCnoawjrNNmC.json,XC,RREEPPLLAACCEE/XC/no/XCnoawjrNNmC.mp4,RREEPPLLAACCEE/XC/no/XCnoawjrNNmC_small.mp4
