Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
katherinelee,0,0,0,Unavailable,2020-09-05,14:44:40,Unavailable,Unavailable,Unavailable,Unavailable,katherinelee,katherinelee,katherinelee,meta-XS4mjNC7JUnn.json,XS,RREEPPLLAACCEE/XS/4m/XS4mjNC7JUnn.mp4,RREEPPLLAACCEE/XS/4m/XS4mjNC7JUnn_small.mp4
emilyvanderwerken,0,0,0,Unavailable,2020-12-13,06:27:31,BeFunky,,Unavailable,Unavailable,emilyvanderwerken,emilyvanderwerken,emilyvanderwerken,meta-XSpfFqpZUDtT.json,XS,RREEPPLLAACCEE/XS/pf/XSpfFqpZUDtT.mp4,RREEPPLLAACCEE/XS/pf/XSpfFqpZUDtT_small.mp4
mattgiles,0,0,0,Unavailable,2020-09-08,20:28:16,Unavailable,Unavailable,Unavailable,Unavailable,mattgiles,mattgiles,mattgiles,meta-XsoG08F0O3OY.json,Xs,RREEPPLLAACCEE/Xs/oG/XsoG08F0O3OY.mp4,RREEPPLLAACCEE/Xs/oG/XsoG08F0O3OY_small.mp4
bbarr,0,0,0,Unavailable,2020-08-28,20:10:17,Sony,,,Unavailable,bbarr,bbarr,bbarr,meta-XsqwJrXkh0lE.json,Xs,RREEPPLLAACCEE/Xs/qw/XsqwJrXkh0lE.mp4,RREEPPLLAACCEE/Xs/qw/XsqwJrXkh0lE_small.mp4
Admin,0,0,0,Unavailable,2020-11-17,18:18:14,Unavailable,Unavailable,Unavailable,Unavailable,Admin,Admin,Admin,meta-xsIUBH8f8dMT.json,xs,RREEPPLLAACCEE/xs/IU/xsIUBH8f8dMT.mp4,RREEPPLLAACCEE/xs/IU/xsIUBH8f8dMT_small.mp4
Unavailable,39.2163,121.0620,733.059,Above Sea Level,2020-11-22,00:20:49,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XS0RHNeEosj5.json,XS,RREEPPLLAACCEE/XS/0R/XS0RHNeEosj5.mp4,RREEPPLLAACCEE/XS/0R/XS0RHNeEosj5_small.mp4
Unavailable,37.1924,121.7121,0,Unavailable,2020-10-08,03:53:12,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XS1jq7APUXzg.json,XS,RREEPPLLAACCEE/XS/1j/XS1jq7APUXzg.mp4,RREEPPLLAACCEE/XS/1j/XS1jq7APUXzg_small.mp4
Unavailable,29.5103,95.1788,8.072,Above Sea Level,2020-11-14,13:51:36,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XS2xJ7MIjOiM.json,XS,RREEPPLLAACCEE/XS/2x/XS2xJ7MIjOiM.mp4,RREEPPLLAACCEE/XS/2x/XS2xJ7MIjOiM_small.mp4
Unavailable,23.4785,46.5751,0,Unavailable,2020-12-22,17:50:07,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XS3t2etewuiA.json,XS,RREEPPLLAACCEE/XS/3t/XS3t2etewuiA.mp4,RREEPPLLAACCEE/XS/3t/XS3t2etewuiA_small.mp4
Unavailable,29.6345,95.0171,0,Unavailable,2020-12-30,02:08:58,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSBZPZ4svyud.json,XS,RREEPPLLAACCEE/XS/BZ/XSBZPZ4svyud.mp4,RREEPPLLAACCEE/XS/BZ/XSBZPZ4svyud_small.mp4
Unavailable,29.6990,98.1497,0,Unavailable,2020-11-09,14:38:47,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSCDkEEMRX3A.json,XS,RREEPPLLAACCEE/XS/CD/XSCDkEEMRX3A.mp4,RREEPPLLAACCEE/XS/CD/XSCDkEEMRX3A_small.mp4
Unavailable,30.4101,86.7159,3.259,Above Sea Level,2020-12-22,22:54:28,Apple,iPhone 6s Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSCRYkElfYA6.json,XS,RREEPPLLAACCEE/XS/CR/XSCRYkElfYA6.mp4,RREEPPLLAACCEE/XS/CR/XSCRYkElfYA6_small.mp4
Unavailable,41.7145,83.4771,0,Unavailable,2020-11-04,23:21:18,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSJq76JJgAWs.json,XS,RREEPPLLAACCEE/XS/Jq/XSJq76JJgAWs.mp4,RREEPPLLAACCEE/XS/Jq/XSJq76JJgAWs_small.mp4
Unavailable,41.3391,75.7299,278.578,Above Sea Level,2020-11-02,17:01:44,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSMOW3td5Nrz.json,XS,RREEPPLLAACCEE/XS/MO/XSMOW3td5Nrz.mp4,RREEPPLLAACCEE/XS/MO/XSMOW3td5Nrz_small.mp4
Unavailable,38.8955,77.0307,5.606,Above Sea Level,2020-12-12,23:53:26,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSMtOi8mNV8u.json,XS,RREEPPLLAACCEE/XS/Mt/XSMtOi8mNV8u.mp4,RREEPPLLAACCEE/XS/Mt/XSMtOi8mNV8u_small.mp4
Unavailable,36.0347,77.9016,0,Unavailable,2020-11-28,20:58:19,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSWgExGaW0kQ.json,XS,RREEPPLLAACCEE/XS/Wg/XSWgExGaW0kQ.mp4,RREEPPLLAACCEE/XS/Wg/XSWgExGaW0kQ_small.mp4
Unavailable,33.4888,111.6257,630.753,Above Sea Level,2020-02-23,20:54:01,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSamGi60e1rh.json,XS,RREEPPLLAACCEE/XS/am/XSamGi60e1rh.mp4,RREEPPLLAACCEE/XS/am/XSamGi60e1rh_small.mp4
Unavailable,50.8474,3.3935,52.912,Above Sea Level,2020-11-28,14:20:55,Apple,iPhone 12,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSeu87DOmjaS.json,XS,RREEPPLLAACCEE/XS/eu/XSeu87DOmjaS.mp4,RREEPPLLAACCEE/XS/eu/XSeu87DOmjaS_small.mp4
Unavailable,34.1532,118.2222,0,Unavailable,2020-07-01,17:40:14,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSkojTEfiuHP.json,XS,RREEPPLLAACCEE/XS/ko/XSkojTEfiuHP.mp4,RREEPPLLAACCEE/XS/ko/XSkojTEfiuHP_small.mp4
Unavailable,34.9922,80.7452,184.549,Above Sea Level,2020-10-30,04:26:33,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSl60vnLhD1M.json,XS,RREEPPLLAACCEE/XS/l6/XSl60vnLhD1M.mp4,RREEPPLLAACCEE/XS/l6/XSl60vnLhD1M_small.mp4
Unavailable,39.7638,77.9204,217.531,Above Sea Level,2020-11-07,19:11:34,Apple,iPhone X,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSnLFoVCbX6I.json,XS,RREEPPLLAACCEE/XS/nL/XSnLFoVCbX6I.mp4,RREEPPLLAACCEE/XS/nL/XSnLFoVCbX6I_small.mp4
Unavailable,35.7378,90.5620,72.022,Above Sea Level,2021-01-07,19:26:03,Apple,iPhone 8 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSpKjcrjTzfw.json,XS,RREEPPLLAACCEE/XS/pK/XSpKjcrjTzfw.mp4,RREEPPLLAACCEE/XS/pK/XSpKjcrjTzfw_small.mp4
Unavailable,33.0807,80.0166,5.306,Above Sea Level,2020-09-20,12:45:33,Apple,iPhone XS Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSt4TsSBmvKS.json,XS,RREEPPLLAACCEE/XS/t4/XSt4TsSBmvKS.mp4,RREEPPLLAACCEE/XS/t4/XSt4TsSBmvKS_small.mp4
Unavailable,42.3624,88.2473,224.575,Above Sea Level,2020-09-06,19:43:56,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XStYKJq5Ts0d.json,XS,RREEPPLLAACCEE/XS/tY/XStYKJq5Ts0d.mp4,RREEPPLLAACCEE/XS/tY/XStYKJq5Ts0d_small.mp4
Unavailable,38.8956,77.0306,0,Unavailable,2020-11-14,18:19:56,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSyX2Ne1ncfu.json,XS,RREEPPLLAACCEE/XS/yX/XSyX2Ne1ncfu.mp4,RREEPPLLAACCEE/XS/yX/XSyX2Ne1ncfu_small.mp4
Unavailable,37.7133,97.5021,417.5,Above Sea Level,2021-01-08,01:09:53,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XSzgnqy6sqES.json,XS,RREEPPLLAACCEE/XS/zg/XSzgnqy6sqES.mp4,RREEPPLLAACCEE/XS/zg/XSzgnqy6sqES_small.mp4
Unavailable,42.5798,78.0479,315.105,Above Sea Level,2020-10-09,22:25:27,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xs4U3BditOeN.json,Xs,RREEPPLLAACCEE/Xs/4U/Xs4U3BditOeN.mp4,RREEPPLLAACCEE/Xs/4U/Xs4U3BditOeN_small.mp4
Unavailable,47.0011,122.8212,62.119,Above Sea Level,2020-11-11,20:07:38,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xs4daIFSz9wg.json,Xs,RREEPPLLAACCEE/Xs/4d/Xs4daIFSz9wg.mp4,RREEPPLLAACCEE/Xs/4d/Xs4daIFSz9wg_small.mp4
Unavailable,40.7677,73.9601,21.807,Above Sea Level,2020-11-11,16:11:33,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsGPPh5UHuYO.json,Xs,RREEPPLLAACCEE/Xs/GP/XsGPPh5UHuYO.mp4,RREEPPLLAACCEE/Xs/GP/XsGPPh5UHuYO_small.mp4
Unavailable,40.3196,79.9065,341.24,Above Sea Level,2021-01-08,01:32:21,Apple,iPad (6th generation),Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsJay7MmF4Sw.json,Xs,RREEPPLLAACCEE/Xs/Ja/XsJay7MmF4Sw.mp4,RREEPPLLAACCEE/Xs/Ja/XsJay7MmF4Sw_small.mp4
Unavailable,38.8909,77.0365,5.542,Above Sea Level,2021-01-06,16:58:03,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsOVb0pwRJES.json,Xs,RREEPPLLAACCEE/Xs/OV/XsOVb0pwRJES.mp4,RREEPPLLAACCEE/Xs/OV/XsOVb0pwRJES_small.mp4
Unavailable,35.1630,106.5082,1803.984,Above Sea Level,2020-07-25,22:09:55,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsQ9i43Ox1t0.json,Xs,RREEPPLLAACCEE/Xs/Q9/XsQ9i43Ox1t0.mp4,RREEPPLLAACCEE/Xs/Q9/XsQ9i43Ox1t0_small.mp4
Unavailable,27.2744,82.5640,2.283,Above Sea Level,2020-11-11,01:09:02,Apple,iPhone 11 Pro Max,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsQwF8yls2MT.json,Xs,RREEPPLLAACCEE/Xs/Qw/XsQwF8yls2MT.mp4,RREEPPLLAACCEE/Xs/Qw/XsQwF8yls2MT_small.mp4
Unavailable,42.4860,72.6046,64.513,Above Sea Level,2020-11-19,18:07:21,Apple,iPhone 11,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsRvpWTmiYax.json,Xs,RREEPPLLAACCEE/Xs/Rv/XsRvpWTmiYax.mp4,RREEPPLLAACCEE/Xs/Rv/XsRvpWTmiYax_small.mp4
Unavailable,40.8602,72.5611,14.75,Above Sea Level,2020-08-08,01:00:53,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsWbMtoGGyDe.json,Xs,RREEPPLLAACCEE/Xs/Wb/XsWbMtoGGyDe.mp4,RREEPPLLAACCEE/Xs/Wb/XsWbMtoGGyDe_small.mp4
Unavailable,32.9706,105.9913,0,Unavailable,2019-12-14,19:22:05,Unavailable,Unavailable,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsXD3bDwVuwe.json,Xs,RREEPPLLAACCEE/Xs/XD/XsXD3bDwVuwe.mp4,RREEPPLLAACCEE/Xs/XD/XsXD3bDwVuwe_small.mp4
Unavailable,37.5944,127.0402,32.461,Above Sea Level,2020-11-14,04:57:06,Apple,iPhone XS,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsodvGbm2pyM.json,Xs,RREEPPLLAACCEE/Xs/od/XsodvGbm2pyM.mp4,RREEPPLLAACCEE/Xs/od/XsodvGbm2pyM_small.mp4
Unavailable,33.4480,112.0964,329.424,Above Sea Level,2020-11-07,20:32:20,Apple,iPhone 11 Pro,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-Xsrnm7JBh0P6.json,Xs,RREEPPLLAACCEE/Xs/rn/Xsrnm7JBh0P6.mp4,RREEPPLLAACCEE/Xs/rn/Xsrnm7JBh0P6_small.mp4
Unavailable,35.9502,83.9900,298.92,Above Sea Level,2020-09-17,23:10:25,Apple,iPhone 8,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XssAYgpj9gbx.json,Xs,RREEPPLLAACCEE/Xs/sA/XssAYgpj9gbx.mp4,RREEPPLLAACCEE/Xs/sA/XssAYgpj9gbx_small.mp4
Unavailable,38.0525,122.1585,14.141,Above Sea Level,2020-11-07,21:01:31,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-XsuV7ESJ1Pot.json,Xs,RREEPPLLAACCEE/Xs/uV/XsuV7ESJ1Pot.mp4,RREEPPLLAACCEE/Xs/uV/XsuV7ESJ1Pot_small.mp4
