Username,Latitude,Longitude,Altitude,AltitudeReference,Date,Time,EquipmentMake,EquipmentModel,CameraSerialNumber,LensSerialNumber,Username2,Username3,Username4,MetaDataTag,ArchiveFolder,URL,BackupURL
zannanovik,0,0,0,Unavailable,2020-11-15,11:29:10,Unavailable,Unavailable,Unavailable,Unavailable,zannanovik,zannanovik,zannanovik,meta-VK1JVz7ofQuJ.json,VK,RREEPPLLAACCEE/VK/1J/VK1JVz7ofQuJ.mp4,RREEPPLLAACCEE/VK/1J/VK1JVz7ofQuJ_small.mp4
paulg,0,0,0,Unavailable,2020-12-06,04:16:26,Unavailable,Unavailable,Unavailable,Unavailable,paulg,paulg,paulg,meta-Vk8kkV6J1FIC.json,Vk,RREEPPLLAACCEE/Vk/8k/Vk8kkV6J1FIC.mp4,RREEPPLLAACCEE/Vk/8k/Vk8kkV6J1FIC_small.mp4
anthony072420,0,0,0,Unavailable,2020-12-08,14:07:55,Unavailable,Unavailable,Unavailable,Unavailable,anthony072420,anthony072420,anthony072420,meta-VkT8bPa0fXkr.json,Vk,RREEPPLLAACCEE/Vk/T8/VkT8bPa0fXkr.mp4,RREEPPLLAACCEE/Vk/T8/VkT8bPa0fXkr_small.mp4
gavinmcinnes,0,0,0,Unavailable,2020-09-29,17:38:32,Panasonic,,Unavailable,Unavailable,gavinmcinnes,gavinmcinnes,gavinmcinnes,meta-vKf605aCEIbu.json,vK,RREEPPLLAACCEE/vK/f6/vKf605aCEIbu.mp4,RREEPPLLAACCEE/vK/f6/vKf605aCEIbu_small.mp4
jotac,0,0,0,Unavailable,2020-08-11,17:09:27,Unavailable,Unavailable,Unavailable,Unavailable,jotac,jotac,jotac,meta-vKjOEEr6Bt5m.json,vK,RREEPPLLAACCEE/vK/jO/vKjOEEr6Bt5m.mp4,RREEPPLLAACCEE/vK/jO/vKjOEEr6Bt5m_small.mp4
seansinerius,0,0,0,Unavailable,2020-04-21,22:09:27,Unavailable,Unavailable,Unavailable,Unavailable,seansinerius,seansinerius,seansinerius,meta-vkVCk1aZM2Rc.json,vk,RREEPPLLAACCEE/vk/VC/vkVCk1aZM2Rc.mp4,RREEPPLLAACCEE/vk/VC/vkVCk1aZM2Rc_small.mp4
cgreene34,0,0,0,Unavailable,2020-12-21,05:54:50,Unavailable,Unavailable,Unavailable,Unavailable,cgreene34,cgreene34,cgreene34,meta-vkx7r6GA7yb5.json,vk,RREEPPLLAACCEE/vk/x7/vkx7r6GA7yb5.mp4,RREEPPLLAACCEE/vk/x7/vkx7r6GA7yb5_small.mp4
Unavailable,33.7138,117.9055,14.896,Above Sea Level,2020-11-14,18:29:11,Apple,iPhone 6 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VK53qxfkKynx.json,VK,RREEPPLLAACCEE/VK/53/VK53qxfkKynx.mp4,RREEPPLLAACCEE/VK/53/VK53qxfkKynx_small.mp4
Unavailable,39.5358,119.7478,1344.96,Above Sea Level,2020-10-30,14:07:08,Apple,iPhone 7,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VK8pI11SrnDV.json,VK,RREEPPLLAACCEE/VK/8p/VK8pI11SrnDV.mp4,RREEPPLLAACCEE/VK/8p/VK8pI11SrnDV_small.mp4
Unavailable,47.2118,122.4471,118.707,Above Sea Level,2020-10-30,23:07:10,Apple,iPhone XR,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VKAc9DofxJgD.json,VK,RREEPPLLAACCEE/VK/Ac/VKAc9DofxJgD.mp4,RREEPPLLAACCEE/VK/Ac/VKAc9DofxJgD_small.mp4
Unavailable,37.1994,93.2400,411.527,Above Sea Level,2020-08-06,21:20:37,Apple,iPhone 6,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VKCsF7Q2yyxM.json,VK,RREEPPLLAACCEE/VK/Cs/VKCsF7Q2yyxM.mp4,RREEPPLLAACCEE/VK/Cs/VKCsF7Q2yyxM_small.mp4
Unavailable,47.1563,122.5674,77.863,Above Sea Level,2020-11-08,02:07:30,Apple,iPhone 7 Plus,Unavailable,Unavailable,Unavailble,Unavailable,Unavailable,meta-VKGmlkEW81tu.json,VK,RREEPPLLAACCEE/VK/Gm/VKGmlkEW81tu.mp4,RREEPPLLAACCEE/VK/Gm/VKGmlkEW81tu_small.mp4
